word,acc.before,nbr. of senses before,acc.after,nbr. of senses after
remain,0.7593245967741935,3,0.7434475806451613,2
paris,1.0,2,1.0,1
fall,0.9213900134952767,3,0.993421052631579,2
master,0.8253813696851671,7,0.9079844206426486,5
evening,0.654613960867266,4,0.6787414066631412,3
continue,1.0,2,1.0,1
work,0.6615546218487395,6,0.7048319327731092,4
leave,0.7372346528973035,7,0.740210843373494,5
wall,0.3148784355179704,7,0.41701902748414377,6
reply,0.6148255813953489,5,0.6962209302325582,4
reporter,1.0,3,1.0,1
cry,0.9957627118644068,3,0.9978813559322034,2
turn,0.7435383244206775,5,0.7742869875222818,4
world,1.0,2,1.0,1
return,0.680720338983051,6,0.8064971751412429,4
room,0.6980796586059744,4,0.6979018492176388,3
vessel,0.6827380952380951,4,0.739484126984127,3
face,0.7882290184921764,5,0.8147226173541964,3
