text,ind
""" my dear gladys , i would not alter either name for the world . they are both perfect . i was thinking chiefly of flowers . yesterday i cut an orchid , for my button - hole . it was a marvellous spotted thing , as effective as the seven deadly sins . in a thoughtless moment i asked one of the gardeners what it was called . he told me it was a fine specimen of robinsoniana , or something dreadful of that kind . it is a sad truth , but we have lost the faculty of giving lovely names to things . names are everything . i never quarrel with actions . my one quarrel is with words . that is the reason i hate vulgar realism in literature . the man who could call a spade a spade should be compelled to use one . it is the only thing he is fit for . """,114
""" oh , never mind him . people like him get over the ground without a thought . there is so little action in this man that he will never get tired ; and besides , if he wants it , he shall have my horse . i shall get cramped if i do n't have a little action . the arms are all right , but the legs want exercise . """,22
""" oh , never mind him . people like him get over the ground without a thought . there is so little action in this man that he will never get tired ; and besides , if he wants it , he shall have my horse . i shall get cramped if i do n't have a little action . the arms are all right , but the legs want exercise . """,58
"on the right bank of the river grew magnificent specimens of the ulmaceae tribe , the precious elm , so valuable to builders , and which withstands well the action of water .",29
it was at this moment that people came flocking to the scene of action from all sides .,13
"part of the night passed without incident . we kept watch for an opportunity to take action . we talked little , being too keyed up . ned land was all for jumping overboard . i forced him to wait . as i saw it , the nautilus would attack the double - decker on the surface of the waves , and then it would be not only possible but easy to escape .",16
"gregson and lestrade had watched the manoeuvres of their amateur companion with considerable curiosity and some contempt . they evidently failed to appreciate the fact , which i had begun to realize , that sherlock holmes ' smallest actions were all directed towards some definite and practical end .",38
"i understood this maneuver . it was too late to take action . the nautilus was n't going to strike the double - decker where it was clad in impenetrable iron armor , but below its waterline , where the metal carapace no longer protected its planking .",11
"but as m. de toiras gave information that everything was preparing in the enemy ’s camp for a fresh assault , the king judged that it would be best to put an end to the affair , and gave the necessary orders for a decisive action .",45
""" it was my game to watch stapleton . it was evident , however , that i could not do this if i were with you , since he would be keenly on his guard . i deceived everybody , therefore , yourself included , and i came down secretly when i was supposed to be in london . my hardships were not so great as you imagined , though such trifling details must never interfere with the investigation of a case . i stayed for the most part at coombe tracey , and only used the hut upon the moor when it was necessary to be near the scene of action . cartwright had come down with me , and in his disguise as a country boy he was of great assistance to me . i was dependent upon him for food and clean linen . when i was watching stapleton , cartwright was frequently watching you , so that i was able to keep my hand upon all the strings .",111
"he who is mistaken in an action which he sincerely believes to be right may be an enemy , but retains our esteem .",6
passepartout had a moist sensation about the eyes ; his master 's action touched his susceptible heart .,12
"yet hans did not think it prudent to spend the night upon the sides of the cone . we continued our zigzag climb . the fifteen hundred remaining feet took us five hours to clear ; the circuitous route , the diagonal and the counter marches , must have measured at least three leagues . i could stand it no longer . i was yielding to the effects of hunger and cold . the rarefied air scarcely gave play to the action of my lungs .",81
the action was more frank and fearless than any i was habituated to indulge in : somehow it pleased her .,1
"his action was alternately vivacious and sullen . his voice varied rapidly from a tremulous indecision ( when the animal spirits seemed utterly in abeyance ) to that species of energetic concision — that abrupt , weighty , unhurried , and hollow - sounding enunciation — that leaden , self - balanced and perfectly modulated guttural utterance , which may be observed in the lost drunkard , or the irreclaimable eater of opium , during the periods of his most intense excitement .",1
the taking of the capital of the confederates must have been the last action of this terrible struggle .,13
"in a state between sleeping and waking , you noticed her entrance and her actions ; but feverish , almost delirious as you were , you ascribed to her a goblin appearance different from her own : the long dishevelled hair , the swelled black face , the exaggerated stature , were figments of imagination ; results of nightmare : the spiteful tearing of the veil was real : and it is like her .",14
"i share maury 's view , and i was able to study the phenomenon in this exclusive setting where ships rarely go . above us , huddled among the brown weeds , there floated objects originating from all over : tree trunks ripped from the rocky mountains or the andes and sent floating down the amazon or the mississippi , numerous pieces of wreckage , remnants of keels or undersides , bulwarks staved in and so weighed down with seashells and barnacles , they could n't rise to the surface of the ocean . and the passing years will someday bear out maury 's other view that by collecting in this way over the centuries , these substances will be turned to stone by the action of the waters and will then form inexhaustible coalfields . valuable reserves prepared by farseeing nature for that time when man will have exhausted his mines on the continents .",125
