text,ind
""" we will remain in the background , "" said porthos , "" and he will advance alone . """,17
""" well , then , you and i will go alone , mr . gray . """,10
"and now , what were ned land 's views on this question of a marine monster ? i must admit that he flatly did n't believe in the unicorn , and alone on board , he did n't share the general conviction . he avoided even dealing with the subject , for which one day i felt compelled to take him to task .",31
"leave us alone , then , and you will enjoy a little amusement without cost to yourselves . """,2
""" friend , "" said athos , gravely , "" remember that it is the dead alone with whom we are not likely to meet again on this earth .",16
""" well , that is beautiful , miss jane ! it is as fine a picture as any miss reed 's drawing - master could paint , let alone the young ladies themselves , who could not come near it : and have you learnt french ? """,28
"as we were sure of finding him there , we left him alone . """,12
"it was time ; for athos , whose great courage alone supported him , sank upon his knee .",10
"d’artagnan perceived that it would be disobliging athos not to leave him alone ; and in a few minutes cahusac fell , with a sword thrust through his throat .",12
"though alone against all and with a wound in his thigh , bicarat wished to hold out ; but jussac , who had risen upon his elbow , cried out to him to yield .",1
""" yes , that ’s true ; but alone as you are , you have done much already , and will do still more , i do n’t doubt .",8
"to be sure it is pleasant at any time ; for thornfield is a fine old hall , rather neglected of late years perhaps , but still it is a respectable place ; yet you know in winter - time one feels dreary quite alone in the best quarters .",44
"i say alone -- leah is a nice girl to be sure , and john and his wife are very decent people ; but then you see they are only servants , and one ca n't converse with them on terms of equality : one must keep them at due distance , for fear of losing one 's authority .",2
"arriving at the faubourg st . antoine , he turned round to look gaily at the bastille ; but as it was the bastille alone he looked at , he did not observe milady , who , mounted upon a light chestnut horse , designated him with her finger to two ill - looking men who came close up to the ranks to take notice of him .",24
"indeed , the name of bernajoux was known to all the world , d’artagnan alone excepted , perhaps ; for it was one of those which figured most frequently in the daily brawls which all the edicts of the cardinal could not repress .",14
over all this immense space the ocean alone was visible -- the island occupied the center of a circumference which appeared to be infinite .,7
""" dear basil ! i have not laid eyes on him for a week . it is rather horrid of me , as he has sent me my portrait in the most wonderful frame , specially designed by himself , and , though i am a little jealous of the picture for being a whole month younger than i am , i must admit that i delight in it . perhaps you had better write to him . i do n't want to see him alone . he says things that annoy me . he gives me good advice . """,85
""" there it was an issue of obtaining fresh meat for my crew . here it would be killing for the sake of killing . i 'm well aware that 's a privilege reserved for mankind , but i do n't allow such murderous pastimes . when your peers , mr . land , destroy decent , harmless creatures like the southern right whale or the bowhead whale , they commit a reprehensible offense . thus they 've already depopulated all of baffin bay , and they 'll wipe out a whole class of useful animals . so leave these poor cetaceans alone . they have quite enough natural enemies , such as sperm whales , swordfish , and sawfish , without you meddling with them . """,102
"a quiet wedding we had : he and i , the parson and clerk , were alone present .",16
jup and top alone were left behind .,3
