text,ind
"miss temple told helen burns to be seated in a low arm - chair on one side of the hearth , and herself taking another , she called me to her side .",11
""" ayrton ! "" cried the engineer , seizing the arm of the man whom he had just found again under such unexpected circumstances .",10
""" exactly . my body has remained in this arm - chair and has , i regret to observe , consumed in my absence two large pots of coffee and an incredible amount of tobacco . after you left i sent down to stamford 's for the ordnance map of this portion of the moor , and my spirit has hovered over it all day . i flatter myself that i could find my way about . """,9
""" you will , "" said she , passing her arm round me . "" and now tell me who is the lady whom mr . brocklehurst called your benefactress ? """,10
"the muscular hand broke from my custody ; my arm was seized , my shoulder -- neck -- waist -- i was entwined and gathered to him .",9
"gentle , soft dream , nestling in my arms now , you will fly , too , as your sisters have all fled before you : but kiss me before you go -- embrace me , jane . """,8
""" in essence , the narwhale is armed with a sort of ivory sword , or lance , as certain naturalists have expressed it . it 's a king - sized tooth as hard as steel . some of these teeth have been found buried in the bodies of baleen whales , which the narwhale attacks with invariable success . others have been wrenched , not without difficulty , from the undersides of vessels that narwhales have pierced clean through , as a gimlet pierces a wine barrel . the museum at the faculty of medicine in paris owns one of these tusks with a length of 2.25 meters and a width at its base of forty - eight centimeters !",7
""" so , until information becomes more abundant , i plump for a sea unicorn of colossal dimensions , no longer armed with a mere lance but with an actual spur , like ironclad frigates or those warships called ' rams , ' whose mass and motor power it would possess simultaneously .",21
"so the frigate was equipped for a far - off voyage and armed with fearsome fishing gear , but nobody knew where to steer it . and impatience grew until , on june 2 , word came that the tampico , a steamer on the san francisco line sailing from california to shanghai , had sighted the animal again , three weeks before in the northerly seas of the pacific .",12
"for caresses , too , i now got grimaces ; for a pressure of the hand , a pinch on the arm ; for a kiss on the cheek , a severe tweak of the ear . it was all right : at present i decidedly preferred these fierce favours to anything more tender .",21
"i did so : she put her arm over me , and i nestled close to her .",7
""" yes , ned , i repeat it with a conviction backed by factual logic . i believe in the existence of a mammal with a powerful constitution , belonging to the vertebrate branch like baleen whales , sperm whales , or dolphins , and armed with a tusk made of horn that has tremendous penetrating power . """,45
"nevertheless , his brow was armed with a severity more austere than ever .",5
"wrapped up in a shawl , i still carried the unknown little child : i might not lay it down anywhere , however tired were my arms -- however much its weight impeded my progress , i must retain it .",26
"she felt by intuition the flame of the opposing passions which burned with the blood in the veins of the young fanatic . as a skillful general , seeing the enemy ready to surrender , marches toward him with a cry of victory , she rose , beautiful as an antique priestess , inspired like a christian virgin , her arms extended , her throat uncovered , her hair disheveled , holding with one hand her robe modestly drawn over her breast , her look illumined by that fire which had already created such disorder in the veins of the young puritan , and went toward him , crying out with a vehement air , and in her melodious voice , to which on this occasion she communicated a terrible energy :",60
"it was half - past seven in the morning when the explorers , armed with sticks , left the chimneys .",13
i felt mr . rochester start and shudder ; he hastily flung his arms round me .,13
"they walked arm in arm , occupying the whole width of the street and taking in every musketeer they met , so that in the end it became a triumphal march .",2
"they walked arm in arm , occupying the whole width of the street and taking in every musketeer they met , so that in the end it became a triumphal march .",4
""" forty of us , in forty arm - chairs . we are practising for an english academy of letters . """,7
""" you have arms , i suppose ? """,3
"without speaking , without smiling , without seeming to recognise in me a human being , he only twined my waist with his arm and riveted me to his side .",23
"the host armed himself with a spit , and rushed into the chamber occupied by the two friends .",2
"a group of old fakirs were capering and making a wild ado round the statue ; these were striped with ochre , and covered with cuts whence their blood issued drop by drop -- stupid fanatics , who , in the great indian ceremonies , still throw themselves under the wheels of juggernaut . some brahmins , clad in all the sumptuousness of oriental apparel , and leading a woman who faltered at every step , followed . this woman was young , and as fair as a european . her head and neck , shoulders , ears , arms , hands , and toes were loaded down with jewels and gems with bracelets , earrings , and rings ; while a tunic bordered with gold , and covered with a light muslin robe , betrayed the outline of her form .",99
"the fresh beauty of the following morning did something to efface from our minds the grim and gray impression which had been left upon both of us by our first experience of baskerville hall . as sir henry and i sat at breakfast the sunlight flooded in through the high mullioned windows , throwing watery patches of colour from the coats of arms which covered them . the dark panelling glowed like bronze in the golden rays , and it was hard to realize that this was indeed the chamber which had struck such a gloom into our souls upon the evening before .",62
"at last he mastered her arms ; grace poole gave him a cord , and he pinioned them behind her : with more rope , which was at hand , he bound her to a chair .",5
"at nine o’clock the next morning , the drums beat to arms .",11
""" it 's pointless to run any risks , professor . the nautilus will suffice to disperse these sperm whales . it 's armed with a steel spur quite equal to mr . land 's harpoon , i imagine . """,23
""" mother , mother , i am so happy ! "" whispered the girl , burying her face in the lap of the faded , tired - looking woman who , with back turned to the shrill intrusive light , was sitting in the one arm - chair that their dingy sitting - room contained . "" i am so happy ! "" she repeated , "" and you must be happy , too ! """,45
"then i took a childish pleasure in exploring the city ; my uncle let me take him with me , but he took notice of nothing , neither the insignificant king 's palace , nor the pretty seventeenth century bridge , which spans the canal before the museum , nor that immense cenotaph of thorwaldsen 's , adorned with horrible mural painting , and containing within it a collection of the sculptor 's works , nor in a fine park the toylike chateau of rosenberg , nor the beautiful renaissance edifice of the exchange , nor its spire composed of the twisted tails of four bronze dragons , nor the great windmill on the ramparts , whose huge arms dilated in the sea breeze like the sails of a ship .",118
"he and neb , armed with axes , chose two trees near the water , and began to attack them at the base .",4
"the elder woman grew pale beneath the coarse powder that daubed her cheeks , and her dry lips twitched with a spasm of pain . sybil rushed to her , flung her arms round her neck , and kissed her . "" forgive me , mother . i know it pains you to talk about our father . but it only pains you because you loved him so much . do n't look so sad . i am as happy to - day as you were twenty years ago . ah ! let me be happy for ever ! """,32
""" my dear sir , have you forgotten that the nautilus is armed with a fearsome spur ? could n't it be launched diagonally against those tracts of ice , which would break open from the impact ? """,12
"i sat in the dingy box absolutely enthralled . i forgot that i was in london and in the nineteenth century . i was away with my love in a forest that no man had ever seen . after the performance was over , i went behind and spoke to her . as we were sitting together , suddenly there came into her eyes a look that i had never seen there before . my lips moved towards hers . we kissed each other . i ca n't describe to you what i felt at that moment . it seemed to me that all my life had been narrowed to one perfect point of rose - coloured joy . she trembled all over and shook like a white narcissus . then she flung herself on her knees and kissed my hands . i feel that i should not tell you all this , but i ca n't help it . of course , our engagement is a dead secret . she has not even told her own mother . i do n't know what my guardians will say . lord radley is sure to be furious . i do n't care . i shall be of age in less than a year , and then i can do what i like . i have been right , basil , have n't i , to take my love out of poetry and to find my wife in shakespeare 's plays ? lips that shakespeare taught to speak have whispered their secret in my ear . i have had the arms of rosalind around me , and kissed juliet on the mouth . """,268
"during our absence the nets had been spread , and i observed with fascination the fish just hauled on board . the antarctic seas serve as a refuge for an extremely large number of migratory fish that flee from storms in the subpolar zones , in truth only to slide down the gullets of porpoises and seals . i noted some one - decimeter southern bullhead , a species of whitish cartilaginous fish overrun with bluish gray stripes and armed with stings , then some antarctic rabbitfish three feet long , the body very slender , the skin a smooth silver white , the head rounded , the topside furnished with three fins , the snout ending in a trunk that curved back toward the mouth . i sampled its flesh but found it tasteless , despite conseil 's views , which were largely approving .",79
"and hatchet in hand , he was about to cleave the head of the animal , when cyrus harding seized his arm , saying,--",21
