text,ind
"i bowed in agreement . the commander had n't put a question to me . so no answer was called for . this man expressed himself with perfect ease and without a trace of an accent . his phrasing was clear , his words well chosen , his facility in elocution remarkable . and yet , to me , he did n't have "" the feel "" of a fellow countryman .",40
"towards eleven o'clock , the lower region of the air was sensibly clearer .",12
"an hour after , her table was cleared ; but milady remarked that this time felton did not accompany the soldiers .",7
"had he travelled ? it was likely , for no one seemed to know the world more familiarly ; there was no spot so secluded that he did not appear to have an intimate acquaintance with it . he often corrected , with a few clear words , the thousand conjectures advanced by members of the club as to lost and unheard - of travellers , pointing out the true probabilities , and seeming as if gifted with a sort of second sight , so often did events justify his predictions . he must have travelled everywhere , at least in the spirit .",45
""" et quacumque viam dedent fortuna sequamur . "" "" therever fortune clears a way , thither our ready footsteps stray . """,12
""" let us understand each other , my lord , "" replied d’artagnan , "" and let us make things clear beforehand in order that there may be no mistake .",20
""" i know something of mr . lloyd ; i shall write to him ; if his reply agrees with your statement , you shall be publicly cleared from every imputation ; to me , jane , you are clear now . """,27
""" i know something of mr . lloyd ; i shall write to him ; if his reply agrees with your statement , you shall be publicly cleared from every imputation ; to me , jane , you are clear now . """,39
""" but it must be clear to them , "" i exclaimed , "" that they 're dealing with human beings . """,5
"our breakfast - table was cleared early , and holmes waited in his dressing - gown for the promised interview . our clients were punctual to their appointment , for the clock had just struck ten when dr . mortimer was shown up , followed by the young baronet . the latter was a small , alert , dark - eyed man about thirty years of age , very sturdily built , with thick black eyebrows and a strong , pugnacious face . he wore a ruddy - tinted tweed suit and had the weather - beaten appearance of one who has spent most of his time in the open air , and yet there was something in his steady eye and the quiet assurance of his bearing which indicated the gentleman .",5
"on this occasion pencroft and his companions , who were occupied with loosing themselves , received unexpected aid from the prisoner , who emerged from the hatchway as if his sailor 's instinct had suddenly returned , broke a piece out of the bulwarks with a spar so as to let the water which filled the deck escape . then the vessel being clear , he descended to his cabin without having uttered a word .",63
""" american exchange , strand — to be left till called for . they are both from the guion steamship company , and refer to the sailing of their boats from liverpool . it is clear that this unfortunate man was about to return to new york . """,35
"it took us two hours to reach the summit of this half - crystal , half - basalt peak . from there our eyes scanned a vast sea , which scrawled its boundary line firmly against the background of the northern sky . at our feet : dazzling tracts of white . over our heads : a pale azure , clear of mists . north of us : the sun 's disk , like a ball of fire already cut into by the edge of the horizon . from the heart of the waters : jets of liquid rising like hundreds of magnificent bouquets . far off , like a sleeping cetacean : the nautilus . behind us to the south and east : an immense shore , a chaotic heap of rocks and ice whose limits we could n't see .",60
