text,ind
"when all was finished , i thought moor house as complete a model of bright modest snugness within , as it was , at this season , a specimen of wintry waste and desert dreariness without . the eventful thursday at length came .",10
"soon the canadian announced that the craft was a big battleship , a double - decker ironclad complete with ram . dark , dense smoke burst from its two funnels . its furled sails merged with the lines of its yardarms . the gaff of its fore - and - aft sail flew no flag . its distance still kept us from distinguishing the colors of its pennant , which was fluttering like a thin ribbon .",17
"on the 15th our preparations were all made . our host gave the professor very great pleasure by presenting him with a map of iceland far more complete than that of hendersen . it was the map of m. olaf nikolas olsen , in the proportion of 1 to 480,000 of the actual size of the island , and published by the icelandic literary society . it was a precious document for a mineralogist .",27
"their comfort would have been complete , if complete comfort could ever exist for those who are far from their fellow - creatures , and without any means of communication with them .",8
"there conseil 's work came to a halt . he did n't have time to finish off the class crustacea through an examination of its stomatopods , amphipods , homopods , isopods , trilobites , branchiopods , ostracods , and entomostraceans . and in order to complete his study of marine articulates , he needed to mention the class cirripedia , which contains water fleas and carp lice , plus the class annelida , which he would have divided without fail into tubifex worms and dorsibranchian worms . but having gone past the shallows of the strait of sicily , the nautilus resumed its usual deep - water speed . from then on , no more mollusks , no more zoophytes , no more articulates . just a few large fish sweeping by like shadows .",46
"she spoke the words as though they conveyed no meaning to her . it was not nervousness . indeed , so far from being nervous , she was absolutely self - contained . it was simply bad art . she was a complete failure .",42
"besides , school would be a complete change : it implied a long journey , an entire separation from gateshead , an entrance into a new life .",6
"fix did not look at the state of things in the same light . the storm greatly pleased him . his satisfaction would have been complete had the rangoon been forced to retreat before the violence of wind and waves . each delay filled him with hope , for it became more and more probable that fogg would be obliged to remain some days at hong kong ; and now the heavens themselves became his allies , with the gusts and squalls . it mattered not that they made him sea - sick -- he made no account of this inconvenience ; and , whilst his body was writhing under their effects , his spirit bounded with hopeful exultation .",25
"this verse , into which the terrible enchantress threw her whole soul , completed the trouble which had seized the heart of the young officer . he opened the door quickly ; and milady saw him appear , pale as usual , but with his eye inflamed and almost wild .",13
"after working an hour , pencroft , who was in a complete state of perspiration , threw down the pieces of wood in disgust .",11
