text,sense,label,ind,new_label
perhaps their presence might still be concealed in the event of the pirates contenting themselves with landing on the shore without examining the interior of the island .,"('content', 'contenter', 'contentar')",0,13,0
"as to lord de winter , he contented himself with calling the woman who waited on milady , and when she was come , he recommended the prisoner , who was still fainting , to her care , and left them alone .","('content', 'contenter', 'contentar')",0,7,0
"this last operation cyrus harding had made alone , in a retired place , at a distance from the chimneys , for he feared the danger of an explosion , and when he showed a bottle of this liquid to his friends , he contented himself with saying,-- "" here is nitro - glycerine ! ""","('content', 'contenter', 'contentar')",0,44,0
"generally bricks are formed in molds , but the engineer contented himself with making them by hand .","('content', 'contenter', 'contentar')",0,10,0
"they contented themselves with spreading moss and dry leaves on the sand of the passages , and on these primitive couches the tired workers slept soundly .","('content', 'contenter', 'contentar')",0,1,0
"but not being contented with simply the produce , they made chase after the producers , the result of which was that they were able to bring back to granite house a dozen of these chelonians , which were really valuable from an alimentary point of view .","('content', 'contenter', 'contentar')",0,3,0
"at this moment the steps of lord de winter were heard ; but this time the terrible brother - in - law of milady did not content himself , as on the preceding day , with passing before the door and going away again . he paused , exchanged two words with the sentinel ; then the door opened , and he appeared .","('content', 'contenter', 'contentar')",0,26,0
"at meal times he never came to granite house , although invited several times to do so , but contented himself with eating a few raw vegetables .","('content', 'contenter', 'contentar')",0,19,0
"m. de treville contented himself with asking d’artagnan if he could do anything for him , but d’artagnan answered that he was supplied with all he wanted .","('content', 'contenter', 'contentar')",0,3,0
"as to athos , faithful to his system of reticence , he contented himself with interrogating d’artagnan by a look .","('content', 'contenter', 'contentar')",0,12,0
"with a little more heart , he might have been contented with this new conquest ; but the principal features of his character were ambition and pride .","('content', 'contenter', 'contentar')",0,10,0
grimaud contented himself with pointing d’artagnan out to his master with his finger .,"('content', 'contenter', 'contentar')",0,1,0
"aouda and fix feared that mr . fogg might take it into his head to get out ; but that gentleman contented himself with saying to his servant , "" see what is the matter . ""","('content', 'contenter', 'contentar')",0,21,0
"phileas fogg contented himself with saying that it was impossible . it was quite unlikely that he should be arrested for preventing a suttee . the complainants would not dare present themselves with such a charge . there was some mistake . moreover , he would not , in any event , abandon aouda , but would escort her to hong kong .","('content', 'contenter', 'contentar')",0,2,0
""" another might reply to your eminence that he had his pardon in his pocket . i content myself with saying : command , monseigneur ; i am ready . ""","('content', 'contenter', 'contentar')",0,17,0
"the cave was thus divided into three or four rooms , if such dark dens with which a donkey would scarcely have been contented deserved the name .","('content', 'contenter', 'contentar')",0,23,0
but the abbess contented herself with listening and smiling without replying a word .,"('content', 'contenter', 'contentar')",0,3,0
