text,sense,label,ind,new_label
"lincoln island was there , and this fire , evidently lighted by cyrus harding , showed them the course to be followed .","('course', 'route', 'rumbo')",0,18,0
"but how had i left the course of the stream ? for it was a terrible fact that it no longer ran at my side . then i understood the reason of that fearful , silence , when for the last time i listened to hear if any sound from my companions could reach my ears . at the moment when i left the right road i had not noticed the absence of the stream . it is evident that at that moment a deviation had presented itself before me , whilst the hansbach , following the caprice of another incline , had gone with my companions away into unknown depths .","('course', 'cours', 'cursar')",1,6,1
"the chancellor entered , half smiling , half blushing . as we shall probably meet with him again in the course of our history , it may be well for our readers to be made at once acquainted with him .","('course', 'cours', 'cursar')",1,20,1
milady in the course of the conversation twice or thrice bit her lips ; she had to deal with a gascon who played close .,"('course', 'cours', 'cursar')",1,3,1
"the situation was indeed dangerous , but as if by magic , the nautilus seemed to glide right down the middle of these rampaging reefs . it did n't follow the exact course of the zealous and the new astrolabe , which had proved so ill - fated for captain dumont d'urville . it went more to the north , hugged the murray islands , and returned to the southwest near cumberland passage . i thought it was about to charge wholeheartedly into this opening , but it went up to the northwest , through a large number of little - known islands and islets , and steered toward tound island and the bad channel .","('course', 'route', 'rumbo')",0,32,0
"in the course of my necessary correspondence with mr . briggs about the will , i had inquired if he knew anything of mr . rochester 's present residence and state of health ; but , as st . john had conjectured , he was quite ignorant of all concerning him .","('course', 'cours', 'cursar')",1,2,1
"towards four o'clock , the navigation of the mercy became exceedingly difficult , for its course was obstructed by aquatic plants and rocks .","('course', 'cours', 'cursar')",1,15,1
"this time , the hunters , instead of following the course of the river , plunged straight into the heart of the forest .","('course', 'cours', 'cursar')",1,10,1
"from the turning which directed its course to the southwest , the river narrowed gradually and the channel lay between high banks , over which the trees formed a double arch .","('course', 'cours', 'cursar')",1,6,1
"this was a misfortune . mr . fogg , in order not to deviate from his course , furled his sails and increased the force of the steam ; but the vessel 's speed slackened , owing to the state of the sea , the long waves of which broke against the stern . she pitched violently , and this retarded her progress . the breeze little by little swelled into a tempest , and it was to be feared that the henrietta might not be able to maintain herself upright on the waves .","('course', 'route', 'rumbo')",0,16,0
"passepartout 's visage darkened with the skies , and for two days the poor fellow experienced constant fright . but phileas fogg was a bold mariner , and knew how to maintain headway against the sea ; and he kept on his course , without even decreasing his steam . the henrietta , when she could not rise upon the waves , crossed them , swamping her deck , but passing safely . sometimes the screw rose out of the water , beating its protruding end , when a mountain of water raised the stern above the waves ; but the craft always kept straight ahead .","('course', 'route', 'rumbo')",0,42,0
"near three o'clock in the afternoon on july 6 , fifteen miles south of shore , the abraham lincoln doubled that solitary islet at the tip of the south american continent , that stray rock dutch seamen had named cape horn after their hometown of hoorn . our course was set for the northwest , and the next day our frigate 's propeller finally churned the waters of the pacific .","('course', 'route', 'rumbo')",0,48,0
""" bravo , captain ! "" i exclaimed . "" but in the midst of the waters , how can your helmsman follow the course you 've given him ? ""","('course', 'route', 'rumbo')",0,24,0
"at noon the next day , november 5 , the agreed - upon delay expired . after a position fix , true to his promise , commander farragut would have to set his course for the southeast and leave the northerly regions of the pacific decisively behind .","('course', 'route', 'rumbo')",0,33,0
"besides , it might be supposed that in all probability either the convicts knew of the return of the settlers to granite house , by having seen them pass on the road from the corral , or , after the devastation of the plateau , they had penetrated into jacamar wood , following the course of the mercy , and were thus ignorant of their return .","('course', 'cours', 'cursar')",1,54,1
"the direction was indicated by the river , whose course they had only to follow , and , towards six o'clock , tired enough with their excursion , herbert and pencroft arrived at the chimneys .","('course', 'cours', 'cursar')",1,9,1
"the flag was run up at half - mast , and , this being the signal of distress , it was hoped that the american steamer , perceiving it , would change her course a little , so as to succour the pilot - boat .","('course', 'route', 'rumbo')",0,33,0
"but d’artagnan , whose ideas had taken quite another course , forgot himself like a fool , and answered gallantly that it was too late to think about duels and sword thrusts .","('course', 'cours', 'cursar')",1,9,1
"with this design we changed our course , and steered away n.w . by w. , in order to reach some of our english islands , where i hoped for relief . but our voyage was otherwise determined ; for , being in the latitude of twelve degrees eighteen minutes , a second storm came upon us , which carried us away with the same impetuosity westward , and drove us so out of the way of all human commerce , that , had all our lives been saved as to the sea , we were rather in danger of being devoured by savages than ever returning to our own country .","('course', 'route', 'rumbo')",0,6,0
divine justice pursued its course ; disasters came thick on me : i was forced to pass through the valley of the shadow of death . _ his _ chastisements are mighty ; and one smote me which has humbled me for ever .,"('course', 'cours', 'cursar')",1,4,1
"it was impossible even to follow the course of the mercy , or to ascertain in what part of the mountain it took its source .","('course', 'cours', 'cursar')",1,7,1
"from this point its course was pursued through a forest of magnificent trees . these trees still retained their verdure , notwithstanding the advanced season , for they belonged to the family of "" coniferae , "" which is spread over all the regions of the globe , from northern climates to the tropics .","('course', 'cours', 'cursar')",1,4,1
"for two days no one knew what had become of her , and everything remained in suspense ; but once free , and placed in communication with laporte , matters resumed their course , and she accomplished the perilous enterprise which , but for her arrest , would have been executed three days earlier .","('course', 'cours', 'cursar')",1,32,1
"the favorite of two kings , immensely rich , all - powerful in a kingdom which he disordered at his fancy and calmed again at his caprice , george villiers , duke of buckingham , had lived one of those fabulous existences which survive , in the course of centuries , to astonish posterity .","('course', 'cours', 'cursar')",1,47,1
"cyrus harding expected to reach , without incident , the course of the creek , which he supposed flowed under the trees at the border of the plain , when he saw herbert running hastily back , while neb and the sailor were hiding behind the rocks .","('course', 'cours', 'cursar')",1,10,1
"soon keeling island disappeared below the horizon , and our course was set to the northwest , toward the tip of the indian peninsula .","('course', 'route', 'rumbo')",0,10,0
