text,ind
"' well , perhaps your feelings may be different , ' said alice ; ' all i know is , it would feel very queer to me . '",8
"pardieu ! if we may believe the signs grimaud is making , we are about to have to do with a very different number of people .",22
"the 14th was wholly spent in arranging all our different articles . in the evening we dined with baron tramps ; the mayor of rejkiavik , and dr . hyaltalin , the first medical man of the place , being of the party . m. fridrikssen was not there . i learned afterwards that he and the governor disagreed upon some question of administration , and did not speak to each other . i therefore knew not a single word of all that was said at this semi - official dinner ; but i could not help noticing that my uncle talked the whole time .",9
"' well , i 've tried to say "" how doth the little busy bee , "" but it all came different ! ' alice replied in a very melancholy voice .",21
"immediately two waiters and two servant - girls , dressed in cloth of gold , and their hair braided with ribbons of tissue , accosted the strangers and invited them to sit down to the ordinary . their dinner consisted of four dishes of different soups , each garnished with two young paroquets , a large dish of bouille that weighed two hundred weight , two roasted monkeys of a delicious flavor , three hundred hummingbirds in one dish , and six hundred flybirds in another ; some excellent ragouts , delicate tarts , and the whole served up in dishes of rock - crystal . several sorts of liquors , extracted from the sugarcane , were handed about by the servants who attended .",44
""" what sort of a country is this , "" said the one to the other , "" that is unknown to all the world ; and in which nature has everywhere so different an appearance to what she has in ours ?",33
"cacambo vented all his curiosity upon his landlord by a thousand different questions ; the honest man answered him thus , "" i am very ignorant , sir , but i am contented with my ignorance ; however , we have in this neighborhood an old man retired from court , who is the most learned and communicative person in the whole kingdom . """,11
"striking an average of observations taken at different times-- rejecting those timid estimates that gave the object a length of 200 feet , and ignoring those exaggerated views that saw it as a mile wide and three long -- you could still assert that this phenomenal creature greatly exceeded the dimensions of anything then known to ichthyologists , if it existed at all .",7
""" i believe you will accept the post i offer you , "" said he , "" and hold it for a while : not permanently , though : any more than i could permanently keep the narrow and narrowing -- the tranquil , hidden office of english country incumbent ; for in your nature is an alloy as detrimental to repose as that in mine , though of a different kind . """,70
"harding commenced by manufacturing a drawplate , that is to say , a plate of steel , pierced with conical holes of different sizes , which would successively bring the wire to the wished - for tenacity .",22
"st . john did not rebuke our vivacity ; but he escaped from it : he was seldom in the house ; his parish was large , the population scattered , and he found daily business in visiting the sick and poor in its different districts .",44
"these different plants , which had been carefully rooted up , were carried to the canoe , where cyrus harding had remained buried in thought .",1
""" yes , sir , but that is long ago ; and when her circumstances were very different : i could not be easy to neglect her wishes now . """,17
"merry days were these at thornfield hall ; and busy days too : how different from the first three months of stillness , monotony , and solitude i had passed beneath its roof !",14
"the repast at length terminated ; at the moment when each one was about to give himself up to sleep , cyrus harding drew from his pocket little specimens of different sorts of minerals , and just said,--",30
"as soon as the meal was over the children disappeared , and their elders gathered round the peat fire , which also burnt such miscellaneous fuel as briars , cow - dung , and fishbones . after this little pinch of warmth the different groups retired to their respective rooms . our hostess hospitably offered us her assistance in undressing , according to icelandic usage ; but on our gracefully declining , she insisted no longer , and i was able at last to curl myself up in my mossy bed .",43
"the face of the young woman was entirely unknown to her . each examined the other with great attention , while exchanging the customary compliments ; both were very handsome , but of quite different styles of beauty .",34
"the onagers , who had two pretty colts , were most often mounted by gideon spilett and herbert , who had become an excellent rider under the reporter 's instruction , and they also harnessed them to the cart either for carrying wood and coal to granite house , or different mineral productions required by the engineer .",50
""" no , my friend . that task is performed with eleven strainers , or sieves , that are pierced with different numbers of holes . those pearls staying in the strainers with twenty to eighty holes are in the first order . those not slipping through the sieves pierced with 100 to 800 holes are in the second order . finally , those pearls for which one uses strainers pierced with 900 to 1,000 holes make up the seed pearls . """,21
these different works lasted a week .,1
"they were visited every day , and at three different times , during the first days , specimens of those antarctic foxes which they had already seen on the right bank of the mercy were found in them .",9
"the operation was successfully completed , and on the 20th of may , twelve days after commencing it , the engineer was the possessor of the agent which later he hoped to use in so many different ways .",36
