text,ind
""" laughter is not at all a bad beginning for a friendship , and it is far the best ending for one , "" said the young lord , plucking another daisy .",19
""" the devil 's agents may be of flesh and blood , may they not ? there are two questions waiting for us at the outset . the one is whether any crime has been committed at all ; the second is , what is the crime and how was it committed ? of course , if dr . mortimer 's surmise should be correct , and we are dealing with forces outside the ordinary laws of nature , there is an end of our investigation . but we are bound to exhaust all other hypotheses before falling back upon this one . i think we 'll shut that window again , if you do n't mind . it is a singular thing , but i find that a concentrated atmosphere helps a concentration of thought . i have not pushed it to the length of getting into a box to think , but that is the logical outcome of my convictions . have you turned the case over in your mind ? """,82
"besides , athos was very easy , and a noble to his fingers ’ ends .",14
"and i rushed into my redoubtable master 's study . otto liedenbrock had no mischief in him , i willingly allow that ; but unless he very considerably changes as he grows older , at the end he will be a most original character .",36
when this work was ended my uncle tore the paper from me and examined it attentively for a long time .,4
""" i say , sire , that my health is sinking under these excessive struggles and these never - ending labors .",19
"that knife , which the fatal prudence of the baron deprived me of , because he knows the use i would make of it ! oh , hear me to the end ! that knife , give it to me for a minute only , for mercy ’s , for pity ’s sake !",31
"my uncle raised his spectacles , took up a strong lens , and carefully examined the blank pages of the book . on the front of the second , the title - page , he noticed a sort of stain which looked like an ink blot . but in looking at it very closely he thought he could distinguish some half - effaced letters . my uncle at once fastened upon this as the centre of interest , and he laboured at that blot , until by the help of his microscope he ended by making out the following runic characters which he read without difficulty .",93
"yes -- yes -- the end is not so difficult ; if i had only a brain active enough to ferret out the means of attaining it . """,5
"two hours after leaving the nautilus , we had cleared the timberline , and 100 feet above our heads stood the mountain peak , forming a dark silhouette against the brilliant glare that came from its far slope . petrified shrubs rambled here and there in sprawling zigzags . fish rose in a body at our feet like birds startled in tall grass . the rocky mass was gouged with impenetrable crevices , deep caves , unfathomable holes at whose far ends i could hear fearsome things moving around . my blood would curdle as i watched some enormous antenna bar my path , or saw some frightful pincer snap shut in the shadow of some cavity ! a thousand specks of light glittered in the midst of the gloom . they were the eyes of gigantic crustaceans crouching in their lairs , giant lobsters rearing up like spear carriers and moving their claws with a scrap - iron clanking , titanic crabs aiming their bodies like cannons on their carriages , and hideous devilfish intertwining their tentacles like bushes of writhing snakes .",81
""" four hours ; long enough to get in her coal . it is thirteen hundred and ten miles from suez to aden , at the other end of the red sea , and she has to take in a fresh coal supply . """,27
"i wish this present hour would never end : who knows with what fate the next may come charged ? """,7
"the succeeding week seemed long : it came to an end at last , however , like all sublunary things , and once more , towards the close of a pleasant autumn day , i found myself afoot on the road to lowton .",10
"nightfall did n't interrupt my observations . i was left to myself . conseil had repaired to his cabin . the nautilus slowed down , hovering above the muddled masses on the seafloor , sometimes grazing them as if wanting to come to rest , sometimes rising unpredictably to the surface of the waves . then i glimpsed a few bright constellations through the crystal waters , specifically five or six of those zodiacal stars trailing from the tail end of orion .",79
"a fine breeze blew from the south - west , and the "" bonadventure "" tacked on leaving port balloon so as to reach reptile end .",25
"the next day , when felton entered milady ’s apartment he found her standing , mounted upon a chair , holding in her hands a cord made by means of torn cambric handkerchiefs , twisted into a kind of rope one with another , and tied at the ends . at the noise felton made in entering , milady leaped lightly to the ground , and tried to conceal behind her the improvised cord she held in her hand .",48
""" i will tease you and vex you to your heart 's content , when i have finished my tale : but hear me to the end . """,26
""" well , i can tell you anything that is in an english blue book , harry , although those fellows nowadays write a lot of nonsense . when i was in the diplomatic , things were much better . but i hear they let them in now by examination . what can you expect ? examinations , sir , are pure humbug from beginning to end . if a man is a gentleman , he knows quite enough , and if he is not a gentleman , whatever he knows is bad for him . """,66
the distance which separated falls river from reptile end was about twelve miles .,8
""" in all likelihood , conseil , because some convulsion created an opening below the surface of the ocean , the opening that serves as a passageway for the nautilus . then the waters of the atlantic rushed inside the mountain . there ensued a dreadful struggle between the elements of fire and water , a struggle ending in king neptune 's favor . but many centuries have passed since then , and this submerged volcano has changed into a peaceful cavern . """,57
"they had no doubt that the civil war was at an end , and to them it appeared impossible that the just cause of the north had not triumphed .",11
"jussac , anxious to put an end to this , springing forward , aimed a terrible thrust at his adversary , but the latter parried it ; and while jussac was recovering himself , glided like a serpent beneath his blade , and passed his sword through his body .",6
""" no , nothing until you proceed to read from the end to the beginning . """,11
""" dear me ! "" said lady agatha , "" how you men argue ! i am sure i never can make out what you are talking about . oh ! harry , i am quite vexed with you . why do you try to persuade our nice mr . dorian gray to give up the east end ? i assure you he would be quite invaluable . they would love his playing . """,57
"so ned land had good reason to worry . in these wide seas empty of islands , it was no longer feasible to jump ship . nor did we have any way to counter captain nemo 's whims . we had no choice but to acquiesce ; but if we could n't attain our end through force or cunning , i liked to think we might achieve it through persuasion . once this voyage was over , might not captain nemo consent to set us free in return for our promise never to reveal his existence ? our word of honor , which we sincerely would have kept . however , this delicate question would have to be negotiated with the captain . but how would he receive our demands for freedom ? at the very outset and in no uncertain terms , had n't he declared that the secret of his life required that we be permanently imprisoned on board the nautilus ? would n't he see my four - month silence as a tacit acceptance of this situation ? would my returning to this subject arouse suspicions that could jeopardize our escape plans , if we had promising circumstances for trying again later on ? i weighed all these considerations , turned them over in my mind , submitted them to conseil , but he was as baffled as i was . in short , although i 'm not easily discouraged , i realized that my chances of ever seeing my fellow men again were shrinking by the day , especially at a time when captain nemo was recklessly racing toward the south atlantic !",54
""" still , the east end is a very important problem , "" remarked sir thomas with a grave shake of the head .",5
""" i see a peninsula looking like a thigh bone with the knee bone at the end of it . """,16
""" you are really very comforting , "" warbled the duchess . "" i have always felt rather guilty when i came to see your dear aunt , for i take no interest at all in the east end . for the future i shall be able to look her in the face without a blush . """,38
"i declare our ' bonadventure ' could stay here from one end of the year to the other , without even dragging at her anchor ! """,11
""" yes , treville , yes , "" said the king , in a melancholy tone ; "" and it is very sad , believe me , to see thus two parties in france , two heads to royalty . but all this will come to an end , treville , will come to an end .",47
""" yes , treville , yes , "" said the king , in a melancholy tone ; "" and it is very sad , believe me , to see thus two parties in france , two heads to royalty . but all this will come to an end , treville , will come to an end .",55
"the cabman scratched his head . "" well , he was n't altogether such an easy gentleman to describe . i 'd put him at forty years of age , and he was of a middle height , two or three inches shorter than you , sir . he was dressed like a toff , and he had a black beard , cut square at the end , and a pale face . i do n't know as i could say more than that . """,66
""" snap goes our third thread , and we end where we began , "" said he . "" the cunning rascal ! he knew our number , knew that sir henry baskerville had consulted me , spotted who i was in regent street , conjectured that i had got the number of the cab and would lay my hands on the driver , and so sent back this audacious message . i tell you , watson , this time we have got a foeman who is worthy of our steel . i 've been checkmated in london . i can only wish you better luck in devonshire . but i 'm not easy in my mind about it . """,9
"the reporter 's proposal , so strongly seconded by the sailor , received general approbation , for each wished to have their doubts set at rest , and by returning by claw cape the exploration would be ended .",37
"thus ended this memorable seance . that conversation threw me into a fever . i came out of my uncle 's study as if i had been stunned , and as if there was not air enough in all the streets of hamburg to put me right again . i therefore made for the banks of the elbe , where the steamer lands her passengers , which forms the communication between the city and the hamburg railway .",1
"passepartout was now plunged into absorbing reverie . up to his arrival at bombay , he had entertained hopes that their journey would end there ; but , now that they were plainly whirling across india at full speed , a sudden change had come over the spirit of his dreams . his old vagabond nature returned to him ; the fantastic ideas of his youth once more took possession of him . he came to regard his master 's project as intended in good earnest , believed in the reality of the bet , and therefore in the tour of the world and the necessity of making it without fail within the designated period . already he began to worry about possible delays , and accidents which might happen on the way . he recognised himself as being personally interested in the wager , and trembled at the thought that he might have been the means of losing it by his unpardonable folly of the night before . being much less cool - headed than mr . fogg , he was much more restless , counting and recounting the days passed over , uttering maledictions when the train stopped , and accusing it of sluggishness , and mentally blaming mr . fogg for not having bribed the engineer . the worthy fellow was ignorant that , while it was possible by such means to hasten the rate of a steamer , it could not be done on the railway .",23
"by then i thought our expedition had come to an end , that we would never see this fantastic animal again . i was mistaken .",10
"at last the winter was ended , but an event , the consequences of which might be serious occurred in the first days of the returning spring .",5
but i had not taken into account the professor 's impatience . i found him shouting -- and working himself up amidst a crowd of porters and messengers who were all depositing various loads in the passage . our old servant was at her wits ' end .,46
"all hope was now at an end . my uncle had been all the morning making purchases of a part of the tools and apparatus required for this desperate undertaking . the passage was encumbered with rope ladders , knotted cords , torches , flasks , grappling irons , alpenstocks , pickaxes , iron shod sticks , enough to load ten men .",6
"through the gateway we passed into the avenue , where the wheels were again hushed amid the leaves , and the old trees shot their branches in a sombre tunnel over our heads . baskerville shuddered as he looked up the long , dark drive to where the house glimmered like a ghost at the farther end .",56
