text,ind,sense,label
"these verses were not excellent -- very far from it ; but as it is well known , the puritans did not pique themselves upon their poetry .",4,"('excellent', 'excellent', 'excelente')",0
""" and i hope he will make an excellent servant , "" added herbert .",8,"('excellent', 'excellent', 'excelente')",0
"further on , herbert remarked the lardizabala , a twining shrub which , when bruised in water , furnishes excellent cordage ; and two or three ebony trees of a beautiful black , crossed with capricious veins .",19,"('excellent', 'excellent', 'excelente')",0
"he was a berrichon , thirty - five or forty years old , mild , peaceable , sleek , employing the leisure his master left him in the perusal of pious works , providing rigorously for two a dinner of few dishes , but excellent .",44,"('excellent', 'excellent', 'excelente')",0
""" sir , i understand perfectly how your nets can furnish excellent fish for your table ; i understand less how you can chase aquatic game in your underwater forests ; but how a piece of red meat , no matter how small , can figure in your menu , that i do n't understand at all . """,11,"('excellent', 'excellent', 'excelente')",0
the engineer was right in thinking that the guns were of excellent make .,11,"('excellent', 'excellent', 'excelente')",0
""" and i may add , "" said herbert , "" that the eucalyptus belongs to a family which comprises many useful members ; the guava - tree , from whose fruit guava jelly is made ; the clove - tree , which produces the spice ; the pomegranate - tree , which bears pomegranates ; the eugeacia cauliflora , the fruit of which is used in making a tolerable wine ; the ugui myrtle , which contains an excellent alcoholic liquor ; the caryophyllus myrtle , of which the bark forms an esteemed cinnamon ; the eugenia pimenta , from whence comes jamaica pepper ; the common myrtle , from whose buds and berries spice is sometimes made ; the eucalyptus manifera , which yields a sweet sort of manna ; the guinea eucalyptus , the sap of which is transformed into beer by fermentation ; in short , all those trees known under the name of gum - trees or iron - bark trees in australia , belong to this family of the myrtaceae , which contains forty - six genera and thirteen hundred species ! """,79,"('excellent', 'excellent', 'excelente')",0
"the hard eggs were excellent , and as eggs contain everything indispensable to man 's nourishment , these poor people thought themselves well off , and were much strengthened by them .",4,"('excellent', 'excellent', 'excelente')",0
"under my eyes i had the excellent charts of the torres strait that had been surveyed and drawn up by the hydrographic engineer vincendon dumoulin and sublieutenant ( now admiral ) coupvent - desbois , who were part of dumont d'urville 's general staff during his final voyage to circumnavigate the globe . these , along with the efforts of captain king , are the best charts for untangling the snarl of this narrow passageway , and i consulted them with scrupulous care . around the nautilus the sea was boiling furiously . a stream of waves , bearing from southeast to northwest at a speed of two and a half miles per hour , broke over heads of coral emerging here and there .",6,"('excellent', 'excellent', 'excelente')",0
"we have now to search for athos , "" said d’artagnan to the vivacious aramis , when he had informed him of all that had passed since their departure from the capital , and an excellent dinner had made one of them forget his thesis and the other his fatigue .",35,"('excellent', 'excellent', 'excelente')",0
""" it 's excellent , "" i said , "" but it 's not from the tobacco plant . """,3,"('excellent', 'excellent', 'excelente')",0
"since his first arrival at paris , he had had constant occasion to honor this excellent man , whom he had always found worthy , loyal , and great .",15,"('excellent', 'excellent', 'excelente')",0
"it is true that the sailor considered the monkeys from a purely alimentary point of view , for those animals which are herbivorous make very excellent game ; but since they had an abundant supply of provisions , it was a pity to waste their ammunition .",25,"('excellent', 'excellent', 'excelente')",0
""" excellent ! "" ned land said .",1,"('excellent', 'excellent', '-¡excelente')",1
"evidently the island , with its water , its harbor , its resources of all kinds so increased in value by the colonists , and the concealment afforded by granite house , could not but be convenient for the convicts ; in their hands it would become an excellent place of refuge , and , being unknown , it would assure them , for a long time perhaps , impunity and security .",48,"('excellent', 'excellent', 'excelente')",0
"this was the stone - pine , which produces an excellent almond , very much esteemed in the temperate regions of america and europe .",10,"('excellent', 'excellent', 'excelente')",0
"more than once the king had been humiliated by the cardinal , whose police , without having yet attained the perfection of the modern police , were excellent , being better informed than himself , even upon what was going on in his own household .",27,"('excellent', 'excellent', 'excelente')",0
"this bread was excellent , i must admit , and i ate it with great pleasure .",3,"('excellent', 'excellent', 'excelente')",0
the haste which the young woman was in to convey to the queen the excellent news of the happy return of her messenger prevented the two lovers from exchanging more than a few words .,14,"('excellent', 'excellent', 'excelente')",0
"the host opened the door of a large room , in which an old stove had just been replaced by a large and excellent chimney . "" i have this , "" said he .",23,"('excellent', 'excellent', 'excelente')",0
""" surely . an excellent longboat , light and unsinkable , which is used for excursions and fishing trips . """,4,"('excellent', 'excellent', 'excelente')",0
