text,ind
""" it is difficult to say , "" replied the reporter , "" for it is impossible to see his features under the thick beard which covers his face , but he is no longer young , and i suppose he might be about fifty . """,20
"in fact , in addition to that yellow , sickly paleness which indicates the insinuation of the bile in the blood , and which might , besides , be accidental , d’artagnan remarked something perfidiously significant in the play of the wrinkled features of his countenance .",42
""" then let us go and look at the room . "" with which inconsequent remark he strode on into the house , followed by gregson , whose features expressed his astonishment .",28
a wild look raised his brows -- crossed his features : he rose ; but he forebore yet .,9
"i had indeed levelled at that prominent feature as hard a blow as my knuckles could inflict ; and when i saw that either that or my look daunted him , i had the greatest inclination to follow up my advantage to purpose ; but he was already with his mama . i heard him in a blubbering tone commence the tale of how "" that nasty jane eyre "" had flown at him like a mad cat : he was stopped rather harshly--",7
"both her cast of form and feature , her complexion and her general air , suggested the idea of some israelitish princess of the patriarchal days ; and such was doubtless the character she intended to represent .",6
"we had been left to ourselves for twenty minutes , trying to detect the tiniest noises inside the nautilus , when captain nemo entered . he did n't seem to see us . his facial features , usually so emotionless , revealed a certain uneasiness . he studied the compass and pressure gauge in silence , then went and put his finger on the world map at a spot in the sector depicting the southernmost seas .",35
""" what then , die ? "" he replied , maintaining a marble immobility of feature .",15
"rance gave a violent jump , and stared at sherlock holmes with the utmost amazement upon his features .",17
"pretty , mysterious , initiated in almost all the secrets of the court , which reflected such a charming gravity over her pleasing features , it might be surmised that she was not wholly unmoved ; and this is an irresistible charm to novices in love . moreover , d’artagnan had delivered her from the hands of the demons who wished to search and ill treat her ; and this important service had established between them one of those sentiments of gratitude which so easily assume a more tender character .",23
"it was an insane idea . fortunately i controlled myself and stretched out on the bed to soothe my bodily agitation . my nerves calmed a little , but with my brain so aroused , i did a swift review of my whole existence aboard the nautilus , every pleasant or unpleasant incident that had crossed my path since i went overboard from the abraham lincoln : the underwater hunting trip , the torres strait , our running aground , the savages of papua , the coral cemetery , the suez passageway , the island of santorini , the cretan diver , the bay of vigo , atlantis , the ice bank , the south pole , our imprisonment in the ice , the battle with the devilfish , the storm in the gulf stream , the avenger , and that horrible scene of the vessel sinking with its crew . . . ! all these events passed before my eyes like backdrops unrolling upstage in a theater . in this strange setting captain nemo then grew fantastically . his features were accentuated , taking on superhuman proportions . he was no longer my equal , he was the man of the waters , the spirit of the seas .",180
"sitting on a low stool , a few yards from her arm - chair , i examined her figure ; i perused her features .",23
"i could clearly see the shore , which featured a few sparse trees here and there .",8
i had wakened the glow : his features beamed .,7
"i looked upon the scene before me — upon the mere house , and the simple landscape features of the domain — upon the bleak walls — upon the vacant eye - like windows — upon a few rank sedges — and upon a few white trunks of decayed trees — with an utter depression of soul which i can compare to no earthly sensation more properly than to the after - dream of the reveller upon opium — the bitter lapse into every - day life — the hideous dropping off of the veil .",17
""" yes ; there is a point which i wish to ascertain . it is merely a matter of time . hullo ! we are going to hear some news now with a vengeance ! here is gregson coming down the road with beatitude written upon every feature of his face . bound for us , i know . yes , he is stopping . there he is ! """,47
its principal feature seemed to be that of an excessive antiquity .,2
"before more carefully examining the interior features of this enormous cavern , and before deciding if it was the work of nature or humankind , i went over to captain nemo .",6
""" possibly ; but that is not the question . do you think , consul , that this phlegmatic gentleman resembles , feature by feature , the robber whose description i have received ? """,22
""" a terrible change came over the woman 's face as i asked the question . her features turned perfectly livid . it was some seconds before she could get out the single word ' yes'—and when it did come it was in a husky unnatural tone .",17
"i learned , moreover , at intervals , and through broken and equivocal hints , another singular feature of his mental condition .",17
"his noble features , paled by the approach of death , were perfectly calm .",2
"i sought in her countenance and features a likeness to mr . rochester , but found none : no trait , no turn of expression announced relationship .",6
that feature too is propitious .,1
