text,ind,sense,label
"afterward , monsieur de treville fought with others : in his first journey to paris , five times ; from the death of the late king till the young one came of age , without reckoning wars and sieges , seven times ; and from that date up to the present day , a hundred times , perhaps ! so that in spite of edicts , ordinances , and decrees , there he is , captain of the musketeers ; that is to say , chief of a legion of caesars , whom the king holds in great esteem and whom the cardinal dreads -- he who dreads nothing , as it is said .",5,"('fight', 'battre', 'batir')",0
""" no , "" i said , "" a choir of walruses . "" "" are they fighting with each other ? """,17,"('fight', 'battre', 'batir')",0
"d’artagnan fought three times with rochefort , and wounded him three times .",1,"('fight', 'battre', 'batir')",0
"this caused so rapid and complete a diversion from the attack that d’artagnan ’s adversary , while the latter turned round to face this shower of blows , sheathed his sword with the same precision , and instead of an actor , which he had nearly been , became a spectator of the fight -- a part in which he acquitted himself with his usual impassiveness , muttering , nevertheless , "" a plague upon these gascons !",53,"('fight', 'combat', 'combatir')",1
"thank god , i am not a bravo ! and being a musketeer but for a time , i only fight when i am forced to do so , and always with great repugnance ; but this time the affair is serious , for here is a lady compromised by you . """,20,"('fight', 'battre', 'batir')",0
"the fight was therefore prolonged for some seconds ; but at length d’artagnan dropped his sword , which was broken in two pieces by the blow of a stick .",1,"('fight', 'combat', 'combatir')",1
"besides , his intention was formed to make the brave musketeer all suitable apologies , but without meanness or weakness , fearing that might result from this duel which generally results from an affair of this kind , when a young and vigorous man fights with an adversary who is wounded and weakened -- if conquered , he doubles the triumph of his antagonist ; if a conqueror , he is accused of foul play and want of courage .",44,"('fight', 'battre', 'batir')",0
"the millions lost in the bay of vigo , in 1702 , by the galleons of spain , furnished him with a mine of inexhaustible riches which he devoted always , anonymously , in favor of those nations who fought for the independence of their country .",39,"('fight', 'battre', 'luchar')",2
""" now then , just as this decision was being handed down , english vessels arrived in the bay of vigo on october 22 , 1702 . despite his inferior forces , admiral de chateau - renault fought courageously . but when he saw that the convoy 's wealth was about to fall into enemy hands , he burned and scuttled the galleons , which went to the bottom with their immense treasures . """,37,"('fight', 'battre', 'batir')",0
""" i am on the side of the trojans . they fought for a woman . """,11,"('fight', 'combattre', 'luchar')",3
""" ah , then , "" said lord henry , rising to go , "" then , my dear dorian , you would have to fight for your victories . as it is , they are brought to you . no , you must keep your good looks . we live in an age that reads too much to be wise , and that thinks too much to be beautiful . we can not spare you . and now you had better dress and drive down to the club . we are rather late , as it is . """,25,"('fight', 'combattre', 'luchar')",3
""" this is the gentleman i am going to fight with , "" said athos , pointing to d’artagnan with his hand and saluting him with the same gesture .",9,"('fight', 'battre', 'batir')",0
""" why , it is with him i am also going to fight , "" said porthos .",12,"('fight', 'battre', 'batir')",0
""" and i also am to fight with this gentleman , "" said aramis , coming in his turn onto the place .",6,"('fight', 'battre', 'batir')",0
"therefore , it would be necessary to fight , to destroy every one of these scoundrels , unworthy of pity , and against whom any means would be right .",7,"('fight', 'combattre', 'combatir')",4
"each took out his glass , and they spied two ships warmly engaged at the distance of about three miles . the wind brought them both so near the french ship that those on board her had the pleasure of seeing the fight with great ease .",42,"('fight', 'combat', 'combatir')",1
"the colonists were soon obliged to fight at close quarters , not without receiving some wounds , though happily very slight ones .",6,"('fight', 'lutter', 'luchar')",5
"top fought with actual fury , flying at the throats of the foxes and strangling them instantaneously .",1,"('fight', 'battre', 'pelear')",6
"endowed doubtless with sight which enabled him to pierce the obscurity , he was always in the thick of the fight uttering from time to time -- a sharp hissing sound , which was with him the sign of great rejoicing .",20,"('fight', 'combat', 'combatir')",1
"this scene lasted barely a few seconds . the shark returned , rolled over on its back , and was getting ready to cut the indian in half , when captain nemo , who was stationed beside me , suddenly stood up . then he strode right toward the monster , dagger in hand , ready to fight it at close quarters .",57,"('fight', 'lutter', 'luchar')",5
"the heart of the young gascon beat as if it would burst through his side -- not from fear , god be thanked , he had not the shade of it , but with emulation ; he fought like a furious tiger , turning ten times round his adversary , and changing his ground and his guard twenty times .",37,"('fight', 'battre', 'batir')",0
""" we have still fifteen days before us , "" said he to his friends , "" well , if at the end of a fortnight i have found nothing , or rather if nothing has come to find me , as i , too good a catholic to kill myself with a pistol bullet , i will seek a good quarrel with four of his eminence ’s guards or with eight englishmen , and i will fight until one of them has killed me , which , considering the number , can not fail to happen .",77,"('fight', 'battre', 'batir')",0
"athos , wounded anew by cahusac , became evidently paler , but did not give way a foot . he only changed his sword hand , and fought with his left hand .",27,"('fight', 'battre', 'batir')",0
"it appeared that a more serious malady , the consequence of the profound physiological disturbance he had gone through , threatened to declare itself , and gideon spilett feared such an aggravation of his condition that he would be powerless to fight against it !",41,"('fight', 'combattre', 'combatir')",4
""" ah , monsieur , "" said planchet , "" i saw one fall at each of his two shots , and he appeared to me , through the glass door , to be fighting with his sword with the others . """,34,"('fight', 'ferrailler', 'luchar')",7
"by the time she had caught the flamingo and brought it back , the fight was over , and both the hedgehogs were out of sight : ' but it does n't matter much , ' thought alice , ' as all the arches are gone from this side of the ground . ' so she tucked it away under her arm , that it might not escape again , and went back for a little more conversation with her friend .",14,"('fight', 'flamant', 'pelear')",8
"allow us to observe in passing that in this fight perished the baron de chantal ; that the baron de chantal left a little orphan girl eighteen months old , and that this little girl was afterward mme . de sevigne .",9,"('fight', 'combat', 'combatir')",1
"they fought with the fury of the lions , tigers , and serpents of their country , to decide who should have us .",1,"('fight', 'combattre', 'peleáron')",9
""" oh , that ’s very well , young man , "" continued m. de treville , "" that ’s all very well . i know these airs ; i myself came to paris with four crowns in my purse , and would have fought with anyone who dared to tell me i was not in a condition to purchase the louvre . """,44,"('fight', 'battre', 'batir')",0
"now , as d’artagnan had been the hero of these two fights , it was upon him that all the felicitations fell , which athos , porthos , and aramis abandoned to him , not only as good comrades , but as men who had so often had their turn that could very well afford him his .",11,"('fight', 'journée', 'jornada')",10
"i tried to fight off this drowsiness . it was impossible . my breathing grew weaker . i felt a mortal chill freeze my dull , nearly paralyzed limbs . like little domes of lead , my lids fell over my eyes . i could n't raise them . a morbid sleep , full of hallucinations , seized my whole being . then the visions disappeared and left me in utter oblivion .",3,"('fight', 'résister', 'resistir')",11
