text,sense,label,ind,new_label
""" that , dear friend , is because nobody is more worthy than yourself . ""","('friend', 'ami', 'amigar')",0,4,0
""" i could not get rid of her . she brought me up to royalties , and people with stars and garters , and elderly ladies with gigantic tiaras and parrot noses . she spoke of me as her dearest friend . i had only met her once before , but she took it into her head to lionize me . i believe some picture of mine had made a great success at the time , at least had been chattered about in the penny newspapers , which is the nineteenth - century standard of immortality .","('friend', 'ami', 'amigar')",0,40,0
""" i shall then have no more friends , "" said the young man . "" alas ! nothing but bitter recollections . ""","('friend', 'ami', 'amigo')",1,7,1
"friend d’artagnan , "" continued he , speaking to himself with all the amenity that he thought due himself , "" if you escape , of which there is not much chance , i would advise you to practice perfect politeness for the future .","('friend', 'ami', 'amigar')",0,0,0
""" do not jest about holy things , my friend . ""","('friend', 'ami', 'amigar')",0,9,0
""" yes ; horribly unjust of you . i make a great difference between people . i choose my friends for their good looks , my acquaintances for their good characters , and my enemies for their good intellects . a man can not be too careful in the choice of his enemies . i have not got one who is a fool . they are all men of some intellectual power , and consequently they all appreciate me . is that very vain of me ? i think it is rather vain . ""","('friend', 'ami', 'amigo')",1,19,1
""" exactly . i fancy the yew alley , though not marked under that name , must stretch along this line , with the moor , as you perceive , upon the right of it . this small clump of buildings here is the hamlet of grimpen , where our friend dr . mortimer has his headquarters . within a radius of five miles there are , as you see , only a very few scattered dwellings . here is lafter hall , which was mentioned in the narrative . there is a house indicated here which may be the residence of the naturalist -- stapleton , if i remember right , was his name . here are two moorland farm - houses , high tor and foulmire . then fourteen miles away the great convict prison of princetown . between and around these scattered points extends the desolate , lifeless moor . this , then , is the stage upon which tragedy has been played , and upon which we may help to play it again . ""","('friend', 'ami', 'amigar')",0,50,0
""" and much less than a friend . a sort of brother , i suppose ? ""","('friend', 'ami', 'amigar')",0,6,0
"aramis , after a journey into lorraine , disappeared all at once , and ceased to write to his friends ; they learned at a later period through mme . de chevreuse , who told it to two or three of her intimates , that , yielding to his vocation , he had retired into a convent -- only into which , nobody knew .","('friend', 'ami', 'amigo')",1,19,1
"this time d’artagnan was not hasty . he perceived his mistake ; but the friends of aramis were not at all convinced by his denial , and one of them addressed the young musketeer with affected seriousness .","('friend', 'ami', 'amigo')",1,14,1
""" be ready to fire , my friends ! "" cried harding .","('friend', 'ami', 'amigo')",1,7,1
"then turning toward that one of the guards who had declared himself the friend of bois - tracy , "" besides , "" continued he , "" i have reflected , my dear intimate of bois - tracy , that i am not less tenderly his friend than you can possibly be ; so that decidedly this handkerchief is as likely to have fallen from your pocket as mine . ""","('friend', 'ami', 'amigar')",0,13,0
"then turning toward that one of the guards who had declared himself the friend of bois - tracy , "" besides , "" continued he , "" i have reflected , my dear intimate of bois - tracy , that i am not less tenderly his friend than you can possibly be ; so that decidedly this handkerchief is as likely to have fallen from your pocket as mine . ""","('friend', 'ami', 'amigar')",0,46,0
""" ned my friend , "" i told him , "" i know how you feel , but you must n't blame yourself . given the way the nautilus was navigating , it would have been sheer insanity to think of escaping ! ""","('friend', 'ami', 'amigar')",0,3,0
"there was a rustle of chirruping sparrows in the green lacquer leaves of the ivy , and the blue cloud - shadows chased themselves across the grass like swallows . how pleasant it was in the garden ! and how delightful other people 's emotions were!-- much more delightful than their ideas , it seemed to him . one 's own soul , and the passions of one 's friends -- those were the fascinating things in life . he pictured to himself with silent amusement the tedious luncheon that he had missed by staying so long with basil hallward .","('friend', 'ami', 'amigo')",1,69,1
""" no , i had been staying with a friend , "" said the doctor . "" there was no possible indication that we intended to go to this hotel . ""","('friend', 'ami', 'amigar')",0,9,0
