text,sense,label,ind,new_label
"hallward amused himself with watching the faces in the pit . the heat was terribly oppressive , and the huge sunlight flamed like a monstrous dahlia with petals of yellow fire . the youths in the gallery had taken off their coats and waistcoats and hung them over the side . they talked to each other across the theatre and shared their oranges with the tawdry girls who sat beside them . some women were laughing in the pit . their voices were horribly shrill and discordant . the sound of the popping of corks came from the bar .","('girl', 'fille', 'muchacho')",0,66,1
"the poor girl , under the caresses of d’artagnan , lifted her head .","('girl', 'fille', 'muchacho')",1,2,1
""" do n't pay any attention to him , dorian , "" said the painter . "" i understand what you mean , and i believe in this girl . any one you love must be marvellous , and any girl who has the effect you describe must be fine and noble . to spiritualize one 's age -- that is something worth doing . if this girl can give a soul to those who have lived without one , if she can create the sense of beauty in people whose lives have been sordid and ugly , if she can strip them of their selfishness and lend them tears for sorrows that are not their own , she is worthy of all your adoration , worthy of the adoration of the world . this marriage is quite right . i did not think so at first , but i admit it now . the gods made sibyl vane for you . without her you would have been incomplete . ""","('girl', 'fille', 'muchacho')",0,28,1
""" do n't pay any attention to him , dorian , "" said the painter . "" i understand what you mean , and i believe in this girl . any one you love must be marvellous , and any girl who has the effect you describe must be fine and noble . to spiritualize one 's age -- that is something worth doing . if this girl can give a soul to those who have lived without one , if she can create the sense of beauty in people whose lives have been sordid and ugly , if she can strip them of their selfishness and lend them tears for sorrows that are not their own , she is worthy of all your adoration , worthy of the adoration of the world . this marriage is quite right . i did not think so at first , but i admit it now . the gods made sibyl vane for you . without her you would have been incomplete . ""","('girl', 'fille', 'muchacho')",1,67,1
""" thanks , basil , "" answered dorian gray , pressing his hand . "" i knew that you would understand me . harry is so cynical , he terrifies me . but here is the orchestra . it is quite dreadful , but it only lasts for about five minutes . then the curtain rises , and you will see the girl to whom i am going to give all my life , to whom i have given everything that is good in me . ""","('girl', 'fille', 'muchacho')",1,62,1
"the girl smiled . "" dorian , "" she answered , lingering over his name with long - drawn music in her voice , as though it were sweeter than honey to the red petals of her mouth . "" dorian , you should have understood . but you understand now , do n't you ? ""","('girl', 'fille', 'muchacho')",1,1,1
"has a girl of fourteen a heart large enough , vigorous enough , to hold the swelling spring of pure , full , fervid eloquence ? such was the characteristic of helen 's discourse on that , to me , memorable evening ; her spirit seemed hastening to live within a very brief span as much as many live during a protracted existence .","('girl', 'fille', 'muchacho')",1,2,1
i established one for boys : i mean now to open a second school for girls .,"('girl', 'fille', 'muchacho')",2,15,1
"bessie lee must , i think , have been a girl of good natural capacity , for she was smart in all she did , and had a remarkable knack of narrative ; so , at least , i judge from the impression made on me by her nursery tales .","('girl', 'fille', 'muchacho')",1,10,1
""" so much ? "" was the doubtful answer ; and he prolonged his scrutiny for some minutes . presently he addressed me--""your name , little girl ? ""","('girl', 'enfant', 'niño')",3,26,3
"' i have tasted eggs , certainly , ' said alice , who was a very truthful child ; ' but little girls eat eggs quite as much as serpents do , you know . '","('girl', 'fille', 'muchacho')",2,22,1
"this was such a new idea to alice , that she was quite silent for a minute or two , which gave the pigeon the opportunity of adding , ' you 're looking for eggs , i know that well enough ; and what does it matter to me whether you 're a little girl or a serpent ? '","('girl', 'fille', 'muchacho')",2,54,1
""" my dear dorian , "" answered lord henry , taking a cigarette from his case and producing a gold - latten matchbox , "" the only way a woman can ever reform a man is by boring him so completely that he loses all possible interest in life . if you had married this girl , you would have been wretched . of course , you would have treated her kindly . one can always be kind to people about whom one cares nothing . but she would have soon found out that you were absolutely indifferent to her . and when a woman finds that out about her husband , she either becomes dreadfully dowdy , or wears very smart bonnets that some other woman 's husband has to pay for . i say nothing about the social mistake , which would have been abject -- which , of course , i would not have allowed-- but i assure you that in any case the whole thing would have been an absolute failure . ""","('girl', 'fille', 'muchacho')",0,55,1
"d’artagnan asked the poor girl what was the matter with her ; but she , as her only reply , drew a letter from her pocket and gave it to him .","('girl', 'fille', 'muchacho')",2,4,1
""" you went to the opera ? "" said hallward , speaking very slowly and with a strained touch of pain in his voice . "" you went to the opera while sibyl vane was lying dead in some sordid lodging ? you can talk to me of other women being charming , and of patti singing divinely , before the girl you loved has even the quiet of a grave to sleep in ? why , man , there are horrors in store for that little white body of hers ! ""","('girl', 'fille', 'muchacho')",1,61,1
""" listen to me , my dear girl , "" said the gascon , who sought for an excuse in his own eyes for breaking the promise he had made athos ; "" you must understand it would be impolitic not to accept such a positive invitation .","('girl', 'enfant', 'niño')",3,7,3
""" exactly . she married an artist named lyons , who came sketching on the moor . he proved to be a blackguard and deserted her . the fault from what i hear may not have been entirely on one side . her father refused to have anything to do with her because she had married without his consent , and perhaps for one or two other reasons as well . so , between the old sinner and the young one the girl has had a pretty bad time . ""","('girl', 'fille', 'muchacho')",0,82,1
and he looked down at the pretty girl with the most triumphant air imaginable .,"('girl', 'enfant', 'niño')",3,7,3
""" well , i will ; but mind you are a very good girl , and do n't be afraid of me .","('girl', 'fille', 'muchacho')",2,13,1
"how can i , a man not yet thirty , take out with me to india a girl of nineteen , unless she be married to me ?","('girl', 'fille', 'muchacho')",1,17,1
"do not ask me , reader , to give a minute account of that day ; as before , i sought work ; as before , i was repulsed ; as before , i starved ; but once did food pass my lips . at the door of a cottage i saw a little girl about to throw a mess of cold porridge into a pig trough . "" will you give me that ? "" i asked .","('girl', 'fille', 'muchacho')",2,54,1
"the girl emptied the stiffened mould into my hand , and i devoured it ravenously .","('girl', 'enfant', 'niño')",3,1,3
""" and weep over a faithless florizel , "" said lord henry , laughing , as he leaned back in his chair . "" my dear dorian , you have the most curiously boyish moods . do you think this girl will ever be really content now with any one of her own rank ? i suppose she will be married some day to a rough carter or a grinning ploughman . well , the fact of having met you , and loved you , will teach her to despise her husband , and she will be wretched . from a moral point of view , i can not say that i think much of your great renunciation . even as a beginning , it is poor . besides , how do you know that hetty is n't floating at the present moment in some starlit mill - pond , with lovely water - lilies round her , like ophelia ? ""","('girl', 'fille', 'muchacho')",1,40,1
""" is there a little girl called jane eyre here ? "" she asked .","('girl', 'fille', 'muchacho')",2,5,1
"i wonder if she lives alone except this little girl ; if so , and if she is in any degree amiable , i shall surely be able to get on with her ; i will do my best ; it is a pity that doing one 's best does not always answer .","('girl', 'fille', 'muchacho')",2,9,1
"is this the first time you have left your parents to come to school , my little girl ? ""","('girl', 'enfant', 'niño')",3,17,3
"terror had had such an effect upon the poor girl that she had never ceased walking from paris till she reached burgundy , her native place .","('girl', 'fille', 'muchacho')",1,9,1
