text,ind,sense,label
the tray shook as i held it ; the water spilt from the glass ; my heart struck my ribs loud and fast .,13,"('glass', 'verre', 'vaso')",0
""" to the health of the king , monsieur ; i was going to drink a small glass of it if fourreau had not told me i was called . """,17,"('glass', 'verre', 'vaso')",0
""" good ! we have just time to finish this fowl and to drink one glass of wine to your health , d’artagnan . """,15,"('glass', 'verre', 'vaso')",0
"then , swallowing the contents of his glass , which he put down close to him , athos arose carelessly , took the musket next to him , and drew near to one of the loopholes .",7,"('glass', 'verre', 'vaso')",0
"i approached him with the now only half - filled glass ; pilot followed me , still excited .",10,"('glass', 'verre', 'vaso')",0
"he checked the water on its way to his lips , and seemed to listen : he drank , and put the glass down .",22,"('glass', 'verre', 'vaso')",0
""" madame ! "" said athos , "" madame , in the name of heaven , whose empty glass is this ? """,18,"('glass', 'verre', 'vaso')",0
""" but who poured the wine for you that was in this glass ? """,12,"('glass', 'verre', 'vaso')",0
"when he had finished , he went to a table upon which was a salver with spanish wine and glasses .",19,"('glass', 'verre', 'vaso')",0
"he filled two glasses , and by a sign invited d’artagnan to drink .",3,"('glass', 'verre', 'vaso')",0
he therefore drew near to the table and took the second glass .,11,"('glass', 'verre', 'vaso')",0
a number of glass bottles were made and filled with azotic acid .,3,"('glass', 'verre', 'vidriar')",1
""" pardon , my dear monsieur bonacieux , if i do n’t stand upon ceremony , "" said d’artagnan , "" but nothing makes one so thirsty as want of sleep . i am parched with thirst . allow me to take a glass of water in your apartment ; you know that is never refused among neighbors . """,43,"('glass', 'verre', 'vaso')",0
""" thanks , monsieur bonacieux , "" said d’artagnan , emptying his glass , "" that is all i wanted of you .",12,"('glass', 'verre', 'vaso')",0
and athos threw fifteen paces from him an empty bottle from which he had poured the last drop into his glass .,20,"('glass', 'verre', 'vaso')",0
""" a serious talk ! "" cried passepartout , drinking up the little wine that was left in the bottom of his glass . "" well , we 'll talk about it to - morrow ; i have n't time now . """,22,"('glass', 'verre', 'vaso')",0
"georgiana sat on a high stool , dressing her hair at the glass , and interweaving her curls with artificial flowers and faded feathers , of which she had found a store in a drawer in the attic .",12,"('glass', 'glace', 'espejar')",2
"thousands of threads like glass , formed of fluid lava , fell like rain upon the island .",4,"('glass', 'verre', 'cristal')",3
"substances necessary for the photographic reproduction , collodion for preparing the glass plate , nitrate of silver to render it sensitive , hyposulfate of soda to fix the prints obtained , chloride of ammonium in which to soak the paper destined to give the positive proof , acetate of soda and chloride of gold in which to immerse the paper , nothing was wanting .",11,"('glass', 'verre', 'cristal')",3
""" nothing , "" replied passepartout , again emptying his glass .",10,"('glass', 'verre', 'vaso')",0
"i stretched my hand to take a glass of water from a hireling , and it was given me by you : i asked a question , expecting john 's wife to answer me , and your voice spoke at my ear . """,7,"('glass', 'verre', 'vaso')",0
"the host desired himself to serve him ; which d’artagnan perceiving , ordered two glasses to be brought , and commenced the following conversation .",14,"('glass', 'verre', 'vaso')",0
""" my faith , my good host , "" said d’artagnan , filling the two glasses , "" i asked for a bottle of your best wine , and if you have deceived me , you will be punished in what you have sinned ; for seeing that i hate drinking my myself , you shall drink with me .",15,"('glass', 'verre', 'vaso')",0
"take your glass , then , and let us drink .",2,"('glass', 'verre', 'vaso')",0
"she placed herself before the glass , and regarded herself attentively ; never had she appeared more beautiful .",5,"('glass', 'glace', 'espejar')",2
"m. coquenard poured from a very small stone bottle the third of a glass for each of the young men , served himself in about the same proportion , and passed the bottle to porthos and mme . coquenard .",13,"('glass', 'verre', 'vaso')",0
"the young men filled up their third of a glass with water ; then , when they had drunk half the glass , they filled it up again , and continued to do so . this brought them , by the end of the repast , to swallowing a drink which from the color of the ruby had passed to that of a pale topaz .",21,"('glass', 'verre', 'vaso')",0
"his head hanging down , his eye dull , his speech slow and painful , athos would look for hours together at his bottle , his glass , or at grimaud , who , accustomed to obey him by signs , read in the faint glance of his master his least desire , and satisfied it immediately .",26,"('glass', 'verre', 'vaso')",0
it was simply two glasses which he had taken from his own and the reporter 's watches .,4,"('glass', 'verre', 'cristal')",3
"as the glasses had been returned to the watches of the engineer and reporter , pencroft burned a little linen to serve as tinder .",2,"('glass', 'verre', 'cristal')",3
""" good - day , dr . watson , "" cried he with unwonted good humour , "" you must really give your horses a rest , and come in to have a glass of wine and to congratulate me . """,33,"('glass', 'verre', 'vaso')",0
""" nothing of any importance . the man 's novel , with which he had read himself to sleep was lying upon the bed , and his pipe was on a chair beside him . there was a glass of water on the table , and on the window - sill a small chip ointment box containing a couple of pills . """,38,"('glass', 'verre', 'vaso')",0
"once more she found herself in the long hall , and close to the little glass table . ' now , i 'll manage better this time , ' she said to herself , and began by taking the little golden key , and unlocking the door that led into the garden . then she went to work nibbling at the mushroom ( she had kept a piece of it in her pocket ) till she was about a foot high : then she walked down the little passage : and then -- she found herself at last in the beautiful garden , among the bright flower - beds and the cool fountains .",15,"('glass', 'verre', 'cristal')",3
""" a charming woman ! "" said athos , sipping a glass of sparkling wine .",11,"('glass', 'verre', 'vaso')",0
"about this time , too , cyrus harding attempted to manufacture glass , and he at first put the old pottery - kiln to this new use .",11,"('glass', 'verre', 'vidriar')",1
"as to the substances used in the composition of glass , they are simply sand , chalk , and soda , either carbonate or sulphate .",9,"('glass', 'verre', 'cristal')",3
"the blowing operation had given a cylinder of glass terminated by two hemispheric caps , which were easily detached by means of a sharp iron dipped in cold water ; then , by the same proceeding , this cylinder was cut lengthways , and after having been rendered malleable by a second heating , it was extended on a plate and spread out with a wooden roller .",8,"('glass', 'verre', 'vidriar')",1
"i filled a wine - glass ( i saw miss ingram watch me frowningly as i did so : she thought i was taking a liberty , i daresay ) , and i returned to the library .",5,"('glass', 'verre', 'vaso')",0
"mr . rochester 's extreme pallor had disappeared , and he looked once more firm and stern . he took the glass from my hand .",21,"('glass', 'verre', 'vaso')",0
"our ship was about one hundred and twenty tons burden , carried six guns and fourteen men , besides the master , his boy , and myself . we had on board no large cargo of goods , except of such toys as were fit for our trade with the negroes , such as beads , bits of glass , shells , and other trifles , especially little looking - glasses , knives , scissors , hatchets , and the like .",58,"('glass', 'verre', 'cristal')",3
"my uncle has had no dreams , but he is out of temper . he examines the horizon all round with his glass , and folds his arms with the air of an injured man .",22,"('glass', 'lunette', 'anteojo')",4
""" -you seem anxious , my uncle , "" i said , seeing him continually with his glass to his eye .",17,"('glass', 'lunette', 'anteojo')",4
"he made a sign for grimaud to bring a glass for d’artagnan , and grimaud obeyed as usual .",9,"('glass', 'verre', 'vaso')",0
"gideon spilett with his glass eagerly scanned the shore , though without perceiving anything .",4,"('glass', 'lunette', 'anteojo')",4
""" as a punishment for having spoken without permission , my friend , you will please to eat this piece of paper ; then to recompense you for the service you will have rendered us , you shall afterward drink this glass of wine . first , here is the letter . eat heartily . """,41,"('glass', 'verre', 'vaso')",0
"grimaud smiled ; and with his eyes fixed upon the glass which athos held in his hand , he ground the paper well between his teeth and then swallowed it .",10,"('glass', 'verre', 'vaso')",0
""" that ’s well ! "" said athos , filling his glass and that of his friend ; "" here ’s to porthos and aramis ! but you , d’artagnan , what is the matter with you , and what has happened to you personally ?",11,"('glass', 'verre', 'vaso')",0
"grimaud silently swallowed the glass of bordeaux wine ; but his eyes , raised toward heaven during this delicious occupation , spoke a language which , though mute , was not the less expressive .",4,"('glass', 'verre', 'vaso')",0
"half - an - hour 's recreation succeeded , then study ; then the glass of water and the piece of oat - cake , prayers , and bed .",14,"('glass', 'verre', 'vaso')",0
"thick shutters closed the windows of the facade , until the engineer had time to make glass .",16,"('glass', 'verre', 'vidriar')",1
""" it is a flaw in the glass , "" he thought .",7,"('glass', 'verre', 'vidriar')",1
"i must have been mad to allow myself to be carried away so , "" says she , gazing into the glass , which reflects back to her eyes the burning glance by which she appears to interrogate herself .",21,"('glass', 'glace', 'espejar')",2
"d’artagnan , his eye moist with gratitude though beaming with joy , went back to athos , whom he found still at table contemplating the charms of his last glass of malaga by the light of his lamp .",29,"('glass', 'verre', 'vaso')",0
"then , seizing his glass , he gazes attentively for a minute , which seems to me an age .",4,"('glass', 'lunette', 'anteojo')",4
""" listen , then , jane eyre , to your sentence : to - morrow , place the glass before you , and draw in chalk your own picture , faithfully , without softening one defect ; omit no harsh line , smooth away no displeasing irregularity ; write under it , ' portrait of a governess , disconnected , poor , and plain . '",18,"('glass', 'glace', 'espejar')",2
""" ah , yes , "" said a light - horseman , with a glass of brandy in his hand , which he sipped slowly . "" i hear you gentlemen of the guards have been in the trenches tonight , and that you did not get much the best of the rochellais . """,14,"('glass', 'verre', 'vaso')",0
""" have you not taken a bastion ? "" said a swiss , who was drinking rum out of a beer glass .",21,"('glass', 'verre', 'vaso')",0
""" with the ruhmkorff device , professor aronnax . if the first is carried on the back , the second is fastened to the belt . it consists of a bunsen battery that i activate not with potassium dichromate but with sodium . an induction coil gathers the electricity generated and directs it to a specially designed lantern . in this lantern one finds a glass spiral that contains only a residue of carbon dioxide gas . when the device is operating , this gas becomes luminous and gives off a continuous whitish light . thus provided for , i breathe and i see . """,65,"('glass', 'verre', 'vidriar')",1
""" not a bad idea ! "" said athos , emptying and refilling his glass . "" the two things agree marvelously well . """,14,"('glass', 'verre', 'vaso')",0
""" may i not drink to your health , and you to mine ? "" said d’artagnan , filling two glasses with the beaugency wine which he had obtained from the liberality of m. bonacieux .",20,"('glass', 'verre', 'vaso')",0
"suddenly she came upon a little three - legged table , all made of solid glass ; there was nothing on it except a tiny golden key , and alice 's first thought was that it might belong to one of the doors of the hall ; but , alas ! either the locks were too large , or the key was too small , but at any rate it would not open any of them . however , on the second time round , she came upon a low curtain she had not noticed before , and behind it was a little door about fifteen inches high : she tried the little golden key in the lock , and to her great delight it fitted !",15,"('glass', 'verre', 'cristal')",3
athos emptied at a single draught the glass he held in his hand .,7,"('glass', 'verre', 'vaso')",0
"while arranging my hair , i looked at my face in the glass , and felt it was no longer plain : there was hope in its aspect and life in its colour ; and my eyes seemed as if they had beheld the fount of fruition , and borrowed beams from the lustrous ripple .",12,"('glass', 'glace', 'espejar')",2
"i obeyed him ; then he put the glass on the table , stood before me , and looked at me attentively .",8,"('glass', 'verre', 'vaso')",0
"after a while , finding that nothing more happened , she decided on going into the garden at once ; but , alas for poor alice ! when she got to the door , she found she had forgotten the little golden key , and when she went back to the table for it , she found she could not possibly reach it : she could see it quite plainly through the glass , and she tried her best to climb up one of the legs of the table , but it was too slippery ; and when she had tired herself out with trying , the poor little thing sat down and cried .",72,"('glass', 'verre', 'cristal')",3
"do not cast yourself against such a rock ; he would break you like glass . """,14,"('glass', 'verre', 'vaso')",0
"soon her eye fell on a little glass box that was lying under the table : she opened it , and found in it a very small cake , on which the words ' eat me ' were beautifully marked in currants . ' well , i 'll eat it , ' said alice , ' and if it makes me grow larger , i can reach the key ; and if it makes me grow smaller , i can creep under the door ; so either way i 'll get into the garden , and i do n't care which happens ! '",7,"('glass', 'verre', 'cristal')",3
"george villiers placed himself before the glass , as we have said , restored the undulations to his beautiful hair , which the weight of his hat had disordered , twisted his mustache , and , his heart swelling with joy , happy and proud at being near the moment he had so long sighed for , he smiled upon himself with pride and hope .",6,"('glass', 'glace', 'espejar')",2
""" but methinks i need wine ! "" and he seized by the neck the last bottle that was left , put it to his mouth , and emptied it at a single draught , as he would have emptied an ordinary glass .",42,"('glass', 'verre', 'vaso')",0
""" only i concealed a glass of water , which remained after my breakfast , thirst having been the chief of my sufferings when i remained forty - eight hours without eating or drinking .",5,"('glass', 'verre', 'vaso')",0
""" but hold out your glass .",5,"('glass', 'verre', 'vaso')",0
"i only ate some fruit . i pretended to pour out water from the jug , but i only drank that which i had saved in my glass . the substitution was made so carefully that my spies , if i had any , could have no suspicion of it .",27,"('glass', 'verre', 'vaso')",0
"' that was a narrow escape ! ' said alice , a good deal frightened at the sudden change , but very glad to find herself still in existence ; ' and now for the garden ! ' and she ran with all speed back to the little door : but , alas ! the little door was shut again , and the little golden key was lying on the glass table as before , ' and things are worse than ever , ' thought the poor child , ' for i never was so small as this before , never ! and i declare it 's too bad , that it is ! '",70,"('glass', 'verre', 'cristal')",3
"i handed him the glass , and he drank it down .",4,"('glass', 'verre', 'vaso')",0
""" tell me where i can get you a glass of water , "" said st . john ; "" you must really make an effort to tranquillise your feelings . """,9,"('glass', 'verre', 'vaso')",0
"on the evening of the twenty - fifth , as they were entering arras , and as d’artagnan was dismounting at the inn of the golden harrow to drink a glass of wine , a horseman came out of the post yard , where he had just had a relay , started off at a gallop , and with a fresh horse took the road to paris .",30,"('glass', 'verre', 'vaso')",0
"d’artagnan , who had his eyes fixed upon this man , became very pale , and let his glass fall .",18,"('glass', 'verre', 'vaso')",0
"what an indescribable sight ! oh , if only we could share our feelings ! why were we imprisoned behind these masks of metal and glass ! why were we forbidden to talk with each other ! at least let us lead the lives of the fish that populate this liquid element , or better yet , the lives of amphibians , which can spend long hours either at sea or on shore , traveling through their double domain as their whims dictate !",25,"('glass', 'verre', 'vidriar')",1
"of this wine , the first bottle being a little thick at the bottom , brisemont poured the lees into a glass , and d’artagnan desired him to drink it , for the poor devil had not yet recovered his strength .",21,"('glass', 'verre', 'vaso')",0
"the guests having eaten the soup , were about to lift the first glass of wine to their lips , when all at once the cannon sounded from fort louis and fort neuf . the guardsmen , imagining this to be caused by some unexpected attack , either of the besieged or the english , sprang to their swords . d’artagnan , not less forward than they , did likewise , and all ran out , in order to repair to their posts .",13,"('glass', 'verre', 'vaso')",0
""" oh , she is better than good -- she is beautiful , "" murmured lord henry , sipping a glass of vermouth and orange - bitters . "" dorian says she is beautiful , and he is not often wrong about things of that kind . your portrait of him has quickened his appreciation of the personal appearance of other people . it has had that excellent effect , amongst others . we are to see her to - night , if that boy does n't forget his appointment . """,20,"('glass', 'verre', 'vaso')",0
"neb and pencroft put off their departure , therefore , and the glass was put into ayrton 's hands , that he might ascertain for certain whether the ship was or was not the "" duncan . """,12,"('glass', 'lunette', 'anteojo')",4
"mme . bonacieux ate a few mouthfuls mechanically , and just touched the glass with her lips .",13,"('glass', 'verre', 'vaso')",0
"and , while thus speaking , the sailor never left the glass .",11,"('glass', 'lunette', 'anteojo')",4
"be philosophers , as i am , gentlemen ; sit down at the table and let us drink . nothing makes the future look so bright as surveying it through a glass of chambertin . """,31,"('glass', 'verre', 'vaso')",0
"he found him clothed in a magnificent dress covered with splendid embroidery , admiring himself before a glass .",17,"('glass', 'glace', 'espejar')",2
"d’artagnan was lifting a glass to his lips ; but at the name of milady , his hand trembled so , that he was obliged to put the glass on the ground again for fear of spilling the contents . """,4,"('glass', 'verre', 'vaso')",0
"this wine will give you strength , drink ! "" and she put the glass to the lips of the young woman , who drank mechanically .",14,"('glass', 'verre', 'vaso')",0
""" this is not the way that i wished to avenge myself , "" said milady , replacing the glass upon the table , with an infernal smile , "" but , my faith ! we do what we can ! """,19,"('glass', 'verre', 'vaso')",0
5 . a night glass .,4,"('glass', 'lunette', 'anteojo')",4
