text,sense,label,ind,new_label
"but the dam held firm , and after a moment of terrible suspense the torrent precipitated itself into grant lake from a height of twenty feet .","('grant', 'grant', 'grant')",0,18,0
"in the valleys of the falls and mercy rivers no drop of water now flowed towards the sea , and should lake grant be entirely dried up , the colonists would have no means of quenching their thirst .","('grant', 'grant', 'grant')",0,22,0
"they continued then to follow the shores of lake grant by climbing the plateau ; but , after having gone a mile in this direction , cyrus harding had not been able to discover the overfall , which , however , must exist somewhere .","('grant', 'grant', 'grant')",0,9,0
"but heaven had reserved them for a strange destiny , and after having , on the 20th of march , escaped from richmond , besieged by the troops of general ulysses grant , they found themselves seven thousand miles from the capital of virginia , which was the principal stronghold of the south , during the terrible war of secession .","('grant', 'grant', 'grant')",0,31,0
"the stream , flowing this time towards the southwest shore of lake grant , stretched beyond creek glycerine , and invaded the plateau of prospect heights .","('grant', 'grant', 'grant')",0,12,0
"the next day , the 21st of may , at daybreak , the miners went to the point which formed the eastern shore of lake grant , and was only five hundred feet from the coast .","('grant', 'grant', 'grant')",0,25,0
"soon their common aim had but one object , that of escaping , rejoining grant 's army , and fighting together in the ranks of the federals .","('grant', 'grant', 'grant')",0,14,0
"however , the siege continued ; and if the prisoners were anxious to escape and join grant 's army , certain of the besieged were no less anxious to join the southern forces . among them was one jonathan forster , a determined southerner .","('grant', 'grant', 'grant')",0,16,0
robert grant was now made acquainted with the strange history of captain nemo and the colonists of lincoln island .,"('grant', 'grant', 'grant')",0,1,0
"there cyrus harding and his companions received at intervals visits from lord and lady glenarvan , captain john mangles and his wife , the sister of robert grant , robert grant himself , major mcnab , and all those who had taken part in the history both of captain grant and captain nemo .","('grant', 'grant', 'grant')",0,27,0
"the steamer which was about to depart from yokohama to san francisco belonged to the pacific mail steamship company , and was named the general grant . she was a large paddle - wheel steamer of two thousand five hundred tons ; well equipped and very fast . the massive walking - beam rose and fell above the deck ; at one end a piston - rod worked up and down ; and at the other was a connecting - rod which , in changing the rectilinear motion to a circular one , was directly connected with the shaft of the paddles . the general grant was rigged with three masts , giving a large capacity for sails , and thus materially aiding the steam power . by making twelve miles an hour , she would cross the ocean in twenty - one days . phileas fogg was therefore justified in hoping that he would reach san francisco by the 2nd of december , new york by the 11th , and london on the 20th -- thus gaining several hours on the fatal date of the 21st of december .","('grant', 'grant', 'grant')",0,25,0
"maple sugar , medicinal plants , the same which the lad had gathered on the banks of lake grant , enabled them to make some refreshing drinks , which they gave him without his taking any notice of it .","('grant', 'grant', 'grant')",0,18,0
"we might give to that vast bay on the east the name of union bay , for example ; to that large hollow on the south , washington bay ; to the mountain upon which we are standing , that of mount franklin ; to that lake which is extended under our eyes , that of lake grant ; nothing could be better , my friends .","('grant', 'grant', 'grant')",0,57,0
"here , on the contrary , we are placed between the mercy and lake grant , an advantage which must not be neglected .","('grant', 'grant', 'grant')",0,14,0
"he communicated with mary and robert grant , who joined him .","('grant', 'grant', 'grant')",0,6,0
"if captain grant is still living , he is living on the australian shores . '","('grant', 'grant', 'grant')",0,2,0
""" ' only , ' he added , ' it was not on the west coast , but on the east coast of australia that the vessel was lost , and if captain grant is still living , as his document indicates , he is a prisoner among the natives , and it is on the other coast that he must be looked for . '","('grant', 'grant', 'grant')",0,33,0
"lake grant was viewed from thence in all its extent , and no breath disturbed the surface of its waters .","('grant', 'grant', 'grant')",0,1,0
"he wished to reconnoiter lake grant , so magnificently framed in trees .","('grant', 'grant', 'grant')",0,5,0
"it will be impossible to lose ourselves , my boy , since , whether we follow the way to lake grant , or whether we join the mercy through the woods of the far west , we shall be certain to arrive at prospect heights , and , consequently , at union bay ! ""","('grant', 'grant', 'grant')",0,20,0
"during this period of cold , cyrus harding had great cause to congratulate himself on having brought to granite house the little stream of water from lake grant .","('grant', 'grant', 'grant')",0,27,0
