text,ind,sense,label
""" you 're mighty close about this affair , mr . holmes . what 's the game now ? """,11,"('holmes', 'holme', 'holmes')",0
"we moved cautiously along the track as if we were bound for the house , but holmes halted us when we were about two hundred yards from it .",16,"('holmes', 'holme', 'holmes')",0
"holmes glanced at me and raised his eyebrows sardonically . "" with two such men as yourself and lestrade upon the ground , there will not be much for a third party to find out , "" he said .",0,"('holmes', 'holme', 'holmes')",0
""" you did not come here in a cab ? "" asked sherlock holmes .",13,"('holmes', 'holme', 'holmes')",0
""" you say , watson , that the lady is not there ? "" holmes asked , when i had finished my report .",14,"('holmes', 'holme', 'holmes')",0
"our breakfast - table was cleared early , and holmes waited in his dressing - gown for the promised interview . our clients were punctual to their appointment , for the clock had just struck ten when dr . mortimer was shown up , followed by the young baronet . the latter was a small , alert , dark - eyed man about thirty years of age , very sturdily built , with thick black eyebrows and a strong , pugnacious face . he wore a ruddy - tinted tweed suit and had the weather - beaten appearance of one who has spent most of his time in the open air , and yet there was something in his steady eye and the quiet assurance of his bearing which indicated the gentleman .",9,"('holmes', 'holme', 'holmes')",0
""" nothing of much importance , mr . holmes . only a joke , as like as not . it was this letter , if you can call it a letter , which reached me this morning . """,8,"('holmes', 'holme', 'holmes')",0
""" hist ! "" cried holmes , and i heard the sharp click of a cocking pistol . "" look out ! it 's coming ! """,5,"('holmes', 'holme', 'holmes')",0
""" who knew that you were going to the northumberland hotel ? "" asked holmes , glancing keenly across at our visitor .",14,"('holmes', 'holme', 'holmes')",0
"sir henry lay insensible where he had fallen . we tore away his collar , and holmes breathed a prayer of gratitude when we saw that there was no sign of a wound and that the rescue had been in time . already our friend 's eyelids shivered and he made a feeble effort to move . lestrade thrust his brandy - flask between the baronet 's teeth , and two frightened eyes were looking up at us .",16,"('holmes', 'holme', 'holmes')",0
""" a cunning preparation of it , "" said holmes , sniffing at the dead animal . "" there is no smell which might have interfered with his power of scent . we owe you a deep apology , sir henry , for having exposed you to this fright . i was prepared for a hound , but not for such a creature as this . and the fog gave us little time to receive him . """,9,"('holmes', 'holme', 'holmes')",0
""" now , "" said sir henry baskerville , "" perhaps you will tell me , mr . holmes , what in thunder is the meaning of that , and who it is that takes so much interest in my affairs ? """,18,"('holmes', 'holme', 'holmes')",0
""" you shall share our knowledge before you leave this room , sir henry . i promise you that , "" said sherlock holmes . "" we will confine ourselves for the present with your permission to this very interesting document , which must have been put together and posted yesterday evening . have you yesterday 's times , watson ? """,23,"('holmes', 'holme', 'holmes-')",1
"dr . mortimer looked at holmes with an air of professional interest , and sir henry baskerville turned a pair of puzzled dark eyes upon me .",5,"('holmes', 'holme', 'holmes')",0
"the front door was open , so we rushed in and hurried from room to room to the amazement of a doddering old manservant , who met us in the passage . there was no light save in the dining - room , but holmes caught up the lamp and left no corner of the house unexplored . no sign could we see of the man whom we were chasing . on the upper floor , however , one of the bedroom doors was locked .",44,"('holmes', 'holme', 'holmes')",0
"a faint moaning and rustling came from within . holmes struck the door just over the lock with the flat of his foot and it flew open . pistol in hand , we all three rushed into the room .",9,"('holmes', 'holme', 'holmes')",0
""" the brute ! "" cried holmes . "" here , lestrade , your brandy - bottle ! put her in the chair ! she has fainted from ill - usage and exhaustion . """,6,"('holmes', 'holme', 'holmes-')",1
""" really , mr . holmes , this exceeds anything which i could have imagined , "" said dr . mortimer , gazing at my friend in amazement . "" i could understand anyone saying that the words were from a newspaper ; but that you should name which , and add that it came from the leading article , is really one of the most remarkable things which i have ever known . how did you do it ? """,5,"('holmes', 'holme', 'holmes')",0
"gregson and lestrade had watched the manoeuvres of their amateur companion with considerable curiosity and some contempt . they evidently failed to appreciate the fact , which i had begun to realize , that sherlock holmes ' smallest actions were all directed towards some definite and practical end .",35,"('holmes', 'holme', 'holmes')",0
""" so far as i can follow you , then , mr . holmes , "" said sir henry baskerville , "" someone cut out this message with a scissors-- """,13,"('holmes', 'holme', 'holmes')",0
holmes took a note of the address .,0,"('holmes', 'holme', 'holmes')",0
""" why , of course , that would explain it . have you read anything else in this message , mr . holmes ? """,22,"('holmes', 'holme', 'holmes')",0
the fog - bank lay like white wool against the window . holmes held the lamp towards it .,12,"('holmes', 'holme', 'holmes')",0
