text,sense,label,ind,new_label
' come back ! ' the caterpillar called after her . ' i 've something important to say ! ',"('important', 'important', 'importante')",0,15,0
""" why should not australia , new ireland , australasia , united to the archipelagoes of the pacific , have once formed a sixth part of the world , as important as europe or asia , as africa or the two americas ?","('important', 'important', 'importante')",0,30,0
"she calculated that to cross this corner of france and return to the cardinal it would take her at least three days . add another day for landing , and that would make four . add these four to the nine others , that would be thirteen days lost -- thirteen days , during which so many important events might pass in london .","('important', 'important', 'importante')",0,57,0
"you are our companion ; you have already endangered your life several times for us , and you , as well as the rest , ought to be consulted in the matter of any important decision .","('important', 'important', 'importante')",0,34,0
"the most important and most urgent was the establishment of a bridge over the mercy , so as to form a communication with the southern part of the island and granite house ; then the making of an enclosure for the musmons or other woolly animals which they wished to capture .","('important', 'important', 'importante')",0,2,0
"the next day , the 3rd of november , the new works were begun by the construction of the bridge , and all hands were required for this important task .","('important', 'important', 'importante')",0,28,0
for form ’s sake the chancellor paid a visit to the pieces of furniture named ; but he well knew that it was not in a piece of furniture that the queen would place the important letter she had written that day .,"('important', 'important', 'importante')",0,35,0
"the prairie , across which the sledge was moving in a straight line , was as flat as a sea . it seemed like a vast frozen lake . the railroad which ran through this section ascended from the south - west to the north - west by great island , columbus , an important nebraska town , schuyler , and fremont , to omaha . it followed throughout the right bank of the platte river . the sledge , shortening this route , took a chord of the arc described by the railway . mudge was not afraid of being stopped by the platte river , because it was frozen . the road , then , was quite clear of obstacles , and phileas fogg had but two things to fear -- an accident to the sledge , and a change or calm in the wind .","('important', 'important', 'importante')",0,54,0
"as d’artagnan so constantly frequented the hotel , no difficulty was made in complying with his request , and a servant went to inform m. de treville that his young compatriot , having something important to communicate , solicited a private audience .","('important', 'important', 'importante')",0,34,0
"these attempts did not prevent the cardinal , to whom his most inveterate detractors have never denied personal bravery , from making nocturnal excursions , sometimes to communicate to the duc d’angouleme important orders , sometimes to confer with the king , and sometimes to have an interview with a messenger whom he did not wish to see at home .","('important', 'important', 'importante')",0,32,0
"pretty , mysterious , initiated in almost all the secrets of the court , which reflected such a charming gravity over her pleasing features , it might be surmised that she was not wholly unmoved ; and this is an irresistible charm to novices in love . moreover , d’artagnan had delivered her from the hands of the demons who wished to search and ill treat her ; and this important service had established between them one of those sentiments of gratitude which so easily assume a more tender character .","('important', 'important', 'importante')",0,70,0
at the same time and on the same day another important personage fell into the hands of the southerners .,"('important', 'important', 'importante')",0,10,0
"certainly if neb had any important matter to communicate to his master he could not employ a more sure or more rapid messenger , who could pass where neither the colonists could , nor even top himself .","('important', 'important', 'importante')",0,5,0
"he did not fatigue the wires with incessant telegrams , like those who speak when they have nothing to say , but each of his notes , short , decisive , and clear , threw light on some important point .","('important', 'important', 'importante')",0,38,0
""" i can not understand , barrymore , how you came to conceal this important information . ""","('important', 'important', 'importante')",0,14,0
"tranquil on this important point , aramis continued his way with d’artagnan , and both soon arrived at athos ’s dwelling .","('important', 'important', 'importante')",0,3,0
""" you will tell him that you want to see the waste - paper of yesterday . you will say that an important telegram has miscarried and that you are looking for it . you understand ? ""","('important', 'important', 'importante')",0,22,0
"planchet , by way of dessert , would have liked to hear the conversation ; but the citizen declared to d’artagnan that what he had to say being important and confidential , he desired to be left alone with him .","('important', 'important', 'importante')",0,28,0
"this must be , then , an affair of importance ; and what is the most important affair to a woman of twenty - five !","('important', 'important', 'importante')",0,16,0
but i will not believe it to be anything important . i warn you of incredulity beforehand .,"('important', 'important', 'importante')",0,9,0
""" indeed , "" remarked the reporter , "" it will be important to take a document there which will make known the situation of lincoln island , and ayrton 's new residence , in case the scotch yacht returns to fetch him . ""","('important', 'important', 'importante')",0,12,0
"an enclosure for the domestic animals , a poultry - yard for the birds , in a word to establish a sort of farm in the island , such were the two important projects for the fine season .","('important', 'important', 'importante')",0,32,0
"after leaving this gulf we raised muscat for an instant , the most important town in the country of oman . i marveled at its strange appearance in the midst of the black rocks surrounding it , against which the white of its houses and forts stood out sharply . i spotted the rounded domes of its mosques , the elegant tips of its minarets , and its fresh , leafy terraces . but it was only a fleeting vision , and the nautilus soon sank beneath the dark waves of these waterways .","('important', 'important', 'importante')",0,13,0
"the red sea : that great lake so famous in biblical traditions , seldom replenished by rains , fed by no important rivers , continually drained by a high rate of evaporation , its water level dropping a meter and a half every year ! if it were fully landlocked like a lake , this odd gulf might dry up completely ; on this score it 's inferior to its neighbors , the caspian sea and the dead sea , whose levels lower only to the point where their evaporation exactly equals the amounts of water they take to their hearts .","('important', 'important', 'importante')",0,21,0
"on february 8 , as early as the first hours of daylight , mocha appeared before us : a town now in ruins , whose walls would collapse at the mere sound of a cannon , and which shelters a few leafy date trees here and there . this once - important city used to contain six public marketplaces plus twenty - six mosques , and its walls , protected by fourteen forts , fashioned a three - kilometer girdle around it .","('important', 'important', 'importante')",0,51,0
""" ha , ha , my boy , a very much more important matter than that ! what about the convict on the moor ? ""","('important', 'important', 'importante')",0,12,0
""" still , the east end is a very important problem , "" remarked sir thomas with a grave shake of the head .","('important', 'important', 'importante')",0,9,0
"at dawn on the 13th the carnatic entered the port of yokohama . this is an important port of call in the pacific , where all the mail - steamers , and those carrying travellers between north america , china , japan , and the oriental islands put in . it is situated in the bay of yeddo , and at but a short distance from that second capital of the japanese empire , and the residence of the tycoon , the civil emperor , before the mikado , the spiritual emperor , absorbed his office in his own . the carnatic anchored at the quay near the custom - house , in the midst of a crowd of ships bearing the flags of all nations .","('important', 'important', 'importante')",0,16,0
"was this barren spot the desolate refuge of sea - birds , strewn with stones and destitute of vegetation , attached to a more important archipelago ?","('important', 'important', 'importante')",0,24,0
we would soon settle this important point . the nautilus traveled swiftly . soon we had cleared the antarctic circle plus the promontory of cape horn . we were abreast of the tip of south america by march 31 at seven o'clock in the evening .,"('important', 'important', 'importante')",0,5,0
"while they were disputing on this important subject , and still expecting miss cunegund , candide perceived a young theatin friar in the piazza san marco , with a girl under his arm . the theatin looked fresh - colored , plump , and vigorous ; his eyes sparkled ; his air and gait were bold and lofty . the girl was pretty , and was singing a song ; and every now and then gave her theatin an amorous ogle and wantonly pinched his ruddy cheeks .","('important', 'important', 'importante')",0,6,0
"it was important to ascertain the channels between the sandbanks and reefs , that buoys might be laid down since this little creek was to be the harbor .","('important', 'important', 'importante')",0,2,0
this letter was so important that it made them forsake their cards and their dice on the drumhead .,"('important', 'important', 'importante')",0,4,0
"the end of the year 1868 found them occupied by these important labors , to the exclusion of almost all others .","('important', 'important', 'importante')",0,11,0
""" that is all very well , "" then said the reporter , "" but i must point out to pencroft that his harbor is wanting in one very important respect ! ""","('important', 'important', 'importante')",0,29,0
"d’artagnan had more than once related to his friends his adventure with the stranger , as well as the apparition of the beautiful foreigner , to whom this man had confided some important missive .","('important', 'important', 'importante')",0,32,0
""" the truth is , my friends , we must not conceal from ourselves that an important change is going forward .","('important', 'important', 'importante')",0,16,0
""" my officer , "" said athos , "" has forgotten to give a piece of very important information to the lady , and has sent me back to repair his forgetfulness . ""","('important', 'important', 'importante')",0,17,0
