text,ind,sense,label
"d’artagnan himself was frightened by the change in her countenance . she joined her hands with a suppliant air , but without venturing to speak a word .",12,"('join', 'joindre', 'juntar')",0
"a richly - ornamented room , quickly traversed by the colonists , was joined to a library , over which a luminous ceiling shed a flood of light .",13,"('join', 'confiner', 'confinar')",1
why did jup join top in a sort of common anxiety ?,3,"('join', 'joindre', 'acompañar')",2
""" certainly , harry . just touch the bell , and when parker comes i will tell him what you want . i have got to work up this background , so i will join you later on . do n't keep dorian too long . i have never been in better form for painting than i am to - day . this is going to be my masterpiece . it is my masterpiece as it stands . """,34,"('join', 'rejoindre', 'reunir')",3
""" snow at this time ? "" answered the reporter , joining the boy .",11,"('join', 'rejoindre', 'acercar')",4
ten minutes afterward planchet joined him at the stables of the hotel des gardes .,4,"('join', 'rejoindre', 'reunir')",3
""" i 'll join you in a walk , with pleasure , "" said his companion .",3,"('join', 'accompagner', 'acompañar')",5
""" i think i shall join you at the opera , harry . i feel too tired to eat anything . what is the number of your sister 's box ? """,5,"('join', 'rejoindre', 'reunir')",3
"sometimes one of his companions , sometimes another , sometimes all joined him .",11,"('join', 'joindre', 'unir')",6
his three companions joined him .,3,"('join', 'rapprocher', 'acercar')",7
"the colonists were then on the shore of an unimportant little harbor , which would scarcely have contained even two or three fishing - boats . it served as a neck to the new creek , of which the curious thing was that its waters , instead of joining the sea by a gentle slope , fell from a height of more than forty feet , which explained why the rising tide was not felt up the stream .",48,"('join', 'jeter', 'entrar')",8
"despite the powerful pressures it was undergoing , the nautilus sank still deeper . i could feel its sheet - iron plates trembling down to their riveted joins ; metal bars arched ; bulkheads groaned ; the lounge windows seemed to be warping inward under the water 's pressure . and this whole sturdy mechanism would surely have given way , if , as its captain had said , it were n't capable of resisting like a solid block .",27,"('join', 'boulon', 'tuerca')",9
"below this fall the engineer fixed a cylinder with paddles , which was joined on the exterior with a strong cable rolled on a wheel , supporting a basket .",13,"('join', 'raccorder', 'relacionar')",10
"' come on , then ! ' roared the queen , and alice joined the procession , wondering very much what would happen next .",13,"('join', 'joindre', 'unir')",6
"while d’artagnan was running through the streets and knocking at doors , aramis had joined his companions ; so that on returning home d’artagnan found the reunion complete .",14,"('join', 'rejoindre', 'reunir')",3
"and cyrus harding , hurrying away the reporter and ayrton , joined pencroft , neb , and herbert on the beach .",11,"('join', 'rejoindre', 'bajar')",11
"ayrton , alone , under the circumstances which have been related , had come to join the little colony .",15,"('join', 'adjoindre', 'reunir')",12
"the canadian might have quoted a much lower price . so it was imperative to make contact with whatever beings were confined inside the plating of this machine . i searched its surface for an opening or a hatch , a "" manhole , "" to use the official term ; but the lines of rivets had been firmly driven into the sheet - iron joins and were straight and uniform .",65,"('join', 'tôle', 'continuo')",13
""" gentlemen , "" said he , "" if monsieur d’artagnan will surrender his sword to me and join his word to yours , i shall be satisfied with your promise to convey monsieur d’artagnan to the quarters of monseigneur the cardinal . """,18,"('join', 'joindre', 'unir')",6
"herbert and gideon spilett , who were just about to set out hunting , left their guns , pencroft threw down his ax , and harding and neb joining their companions , all rushed towards the scene of action .",28,"('join', 'rejoindre', 'unir')",14
"just then captain nemo stopped . he waited until i joined him , then he pointed a finger at some dark masses outlined in the shadows a short distance away .",10,"('join', 'rejoindre', 'unir')",14
"a silent party soon drew near to the same enclosure , entered , and joined the musketeers . then , according to foreign custom , the presentations took place .",14,"('join', 'joindre', 'unir')",6
"it will be impossible to lose ourselves , my boy , since , whether we follow the way to lake grant , or whether we join the mercy through the woods of the far west , we shall be certain to arrive at prospect heights , and , consequently , at union bay ! """,25,"('join', 'rejoindre', 'tomar')",15
""" pardon me for having joined with your persecutors . """,5,"('join', 'joindre', 'unir')",6
