text,sense,label,ind,new_label
it was easy to descend to the bottom of the well by employing the rope ladder which had not been used since the establishment of the lift .,"('lift', 'ascenseur', 'ascensor')",0,26,0
"and all arming themselves with hatchets , carbines , and revolvers , threw themselves into the lift and soon set foot on the shore .","('lift', 'ascenseur', 'ascensor')",0,16,0
"arrived at the door , harding and pencroft made him take his place in the lift , while neb , herbert , and gideon spilett waited for them before granite house .","('lift', 'ascenseur', 'ascensor')",0,15,0
"the lift was put in motion , and herbert was soon stretched on his bed in granite house .","('lift', 'ascenseur', 'ascensor')",0,1,0
"of course the little stream which fed the reservoir of granite house and worked the lift , had been carefully preserved , and the water could not fail .","('lift', 'ascenseur', 'ascensor')",0,15,0
"it was on the 17th of march that the lift acted for the first time , and gave universal satisfaction .","('lift', 'ascenseur', 'ascensor')",0,9,0
"the ladders , which were formerly used for the ascent , were brought to the chimneys and buried deep in the sand , so that they might be available on the return of the colonists , for the machinery of the lift had been taken to pieces , and nothing of the apparatus remained .","('lift', 'ascenseur', 'ascensor')",0,41,0
"to spring into the lift , hoist themselves up to the door of granite house , where top and jup had been shut up since the evening before , to rush into the large room , was the work of a minute only .","('lift', 'ascenseur', 'ascensor')",0,4,0
""" yes ! blown up , just as if ayrton had set fire to the powder ! "" returned pencroft , throwing himself into the lift together with neb and the lad .","('lift', 'ascenseur', 'ascensor')",0,25,0
""" poor man ! "" said herbert , who had rushed to the door , but returned , having seen ayrton slide down the rope on the lift and disappear in the darkness .","('lift', 'ascenseur', 'ascensor')",0,27,0
