text,ind
"in the event of this , the cart would have been of more use than the light canoe , but it was heavy and clumsy to drag , and therefore more difficult to use ; this led pencroft to express his regret that the chest had not contained , besides "" his halfpound of tobacco , "" a pair of strong new jersey horses , which would have been very useful to the colony !",16
""" ah , my dear basil , that is exactly why i can feel it . those who are faithful know only the trivial side of love : it is the faithless who know love 's tragedies . "" and lord henry struck a light on a dainty silver case and began to smoke a cigarette with a self - conscious and satisfied air , as if he had summed up the world in a phrase .",44
""" i can never be made to believe that savages light their fires in this way , let them say what they will , "" he exclaimed .",10
""" i could sooner light my arms by rubbing them against each other ! """,4
"it was very probable that ayrton would not be able to throw any light on the circumstances under which the bodies had been found , since he himself was not aware that he was in the corral .",13
"i opened the door leading to the library . the same inadequate light , the same solitude . i went to man my post near the door opening into the well of the central companionway . i waited for ned land 's signal .",12
"on sped my rainbow , fast as light ; i flew as in a dream ; for glorious rose upon my sight that child of shower and gleam .",7
"around the nautilus for a half - mile radius , the waters seemed saturated with electric light . the sandy bottom was clear and bright . dressed in diving suits , crewmen were busy clearing away half - rotted barrels and disemboweled trunks in the midst of the dingy hulks of ships . out of these trunks and kegs spilled ingots of gold and silver , cascades of jewels , pieces of eight . the sand was heaped with them . then , laden with these valuable spoils , the men returned to the nautilus , dropped off their burdens inside , and went to resume this inexhaustible fishing for silver and gold .",16
delightful consciousness ! it brought to life and light my whole nature : in his presence i thoroughly lived ; and he lived in mine .,8
""" if , on my return , i find a fire at the house , i shall believe that the thunder itself came to light it . """,24
"after half an hour of walking , the seafloor grew rocky . jellyfish , microscopic crustaceans , and sea - pen coral lit it faintly with their phosphorescent glimmers . i glimpsed piles of stones covered by a couple million zoophytes and tangles of algae . my feet often slipped on this viscous seaweed carpet , and without my alpenstock i would have fallen more than once . when i turned around , i could still see the nautilus 's whitish beacon , which was starting to grow pale in the distance .",22
"the escort of boats and tenders still followed the frigate and only left us when we came abreast of the lightship , whose two signal lights mark the entrance of the narrows to upper new york bay .",25
"three o'clock then sounded . the harbor pilot went down into his dinghy and rejoined a little schooner waiting for him to leeward . the furnaces were stoked ; the propeller churned the waves more swiftly ; the frigate skirted the flat , yellow coast of long island ; and at eight o'clock in the evening , after the lights of fire island had vanished into the northwest , we ran at full steam onto the dark waters of the atlantic .",59
"miss gryce snored at last ; she was a heavy welshwoman , and till now her habitual nasal strains had never been regarded by me in any other light than as a nuisance ; to - night i hailed the first deep notes with satisfaction ; i was debarrassed of interruption ; my half - effaced thought instantly revived .",28
"two hours after leaving the nautilus , we had cleared the timberline , and 100 feet above our heads stood the mountain peak , forming a dark silhouette against the brilliant glare that came from its far slope . petrified shrubs rambled here and there in sprawling zigzags . fish rose in a body at our feet like birds startled in tall grass . the rocky mass was gouged with impenetrable crevices , deep caves , unfathomable holes at whose far ends i could hear fearsome things moving around . my blood would curdle as i watched some enormous antenna bar my path , or saw some frightful pincer snap shut in the shadow of some cavity ! a thousand specks of light glittered in the midst of the gloom . they were the eyes of gigantic crustaceans crouching in their lairs , giant lobsters rearing up like spear carriers and moving their claws with a scrap - iron clanking , titanic crabs aiming their bodies like cannons on their carriages , and hideous devilfish intertwining their tentacles like bushes of writhing snakes .",122
"this quadruped was a sort of pig nearly two feet and a half long , of a blackish brown color , lighter below , having hard scanty hair ; its toes , then strongly fixed in the ground , seemed to be united by a membrane .",21
