text,ind,sense,label
"try and keep mr . rochester at a distance : distrust yourself as well as him . gentlemen in his station are not accustomed to marry their governesses . """,25,"('marry', 'épouser', 'casarse')",0
"porthos left the service , and in the course of the following year married mme . coquenard ; the coffer so much coveted contained eight hundred thousand livres .",13,"('marry', 'épouser', 'desposar')",1
""" it was because i felt and knew this , that i resolved to marry you . to tell me that i had already a wife is empty mockery : you know now that i had but a hideous demon .",14,"('marry', 'épouser', 'casarme')",2
"she told d’artagnan that lord de winter was her brother - in - law , and not her brother . she had married a younger brother of the family , who had left her a widow with one child .",22,"('marry', 'épouser', 'casar')",3
"this child was the only heir to lord de winter , if lord de winter did not marry .",17,"('marry', 'marier', 'casar')",4
""" my inquiries show beyond all question that the family portrait did not lie , and that this fellow was indeed a baskerville . he was a son of that rodger baskerville , the younger brother of sir charles , who fled with a sinister reputation to south america , where he was said to have died unmarried . he did , as a matter of fact , marry , and had one child , this fellow , whose real name is the same as his father 's . he married beryl garcia , one of the beauties of costa rica , and , having purloined a considerable sum of public money , he changed his name to vandeleur and fled to england , where he established a school in the east of yorkshire . his reason for attempting this special line of business was that he had struck up an acquaintance with a consumptive tutor upon the voyage home , and that he had used this man 's ability to make the undertaking a success . fraser , the tutor , died however , and the school which had begun well sank from disrepute into infamy . the vandeleurs found it convenient to change their name to stapleton , and he brought the remains of his fortune , his schemes for the future , and his taste for entomology to the south of england . i learned at the british museum that he was a recognized authority upon the subject , and that the name of vandeleur has been permanently attached to a certain moth which he had , in his yorkshire days , been the first to describe .",90,"('marry', 'épouser', 'casar')",3
""" well , whatever i am , remember you are my wife ; we were married an hour since , in the presence of all these witnesses . """,15,"('marry', 'marier', 'casar')",4
""" but you can not always be my nurse , janet : you are young -- you must marry one day . """,18,"('marry', 'marier', 'casar')",4
""" my dear dorian , "" answered lord henry , taking a cigarette from his case and producing a gold - latten matchbox , "" the only way a woman can ever reform a man is by boring him so completely that he loses all possible interest in life . if you had married this girl , you would have been wretched . of course , you would have treated her kindly . one can always be kind to people about whom one cares nothing . but she would have soon found out that you were absolutely indifferent to her . and when a woman finds that out about her husband , she either becomes dreadfully dowdy , or wears very smart bonnets that some other woman 's husband has to pay for . i say nothing about the social mistake , which would have been abject -- which , of course , i would not have allowed-- but i assure you that in any case the whole thing would have been an absolute failure . """,53,"('marry', 'épouser', 'casar')",3
""" exactly . she married an artist named lyons , who came sketching on the moor . he proved to be a blackguard and deserted her . the fault from what i hear may not have been entirely on one side . her father refused to have anything to do with her because she had married without his consent , and perhaps for one or two other reasons as well . so , between the old sinner and the young one the girl has had a pretty bad time . """,4,"('marry', 'épouser', 'casar')",3
""" exactly . she married an artist named lyons , who came sketching on the moor . he proved to be a blackguard and deserted her . the fault from what i hear may not have been entirely on one side . her father refused to have anything to do with her because she had married without his consent , and perhaps for one or two other reasons as well . so , between the old sinner and the young one the girl has had a pretty bad time . """,55,"('marry', 'marier', 'casar')",4
""" that is what i have come to learn , uncle george . or rather , i know who he is . he is the last lord kelso 's grandson . his mother was a devereux , lady margaret devereaux . i want you to tell me about his mother . what was she like ? whom did she marry ? you have known nearly everybody in your time , so you might have known her . i am very much interested in mr . gray at present . i have only just met him . """,59,"('marry', 'marier', 'casar')",4
"the old servants of the house suspected him to have been the son of the baron 's sister , by a very good sort of a gentleman of the neighborhood , whom that young lady refused to marry , because he could produce no more than threescore and eleven quarterings in his arms ; the rest of the genealogical tree belonging to the family having been lost through the injuries of time .",37,"('marry', 'épouser', 'casarse')",0
""" i repeat i freely consent to go with you as your fellow - missionary , but not as your wife ; i can not marry you and become part of you . """,25,"('marry', 'épouser', 'casarme')",2
""" it is rather fashionable to marry americans just now , uncle george . """,6,"('marry', 'épouser', 'casarse')",0
"i am sure it would benefit him to talk a little about this sweet rosamond , whom he thinks he ought not to marry : i will make him talk . """,23,"('marry', 'épouser', 'casarse')",0
""" you said i could not unless i married you . """,8,"('marry', 'épouser', 'casar')",3
""" ah ! here i reach the root of the matter . he wanted you to marry him ? """,16,"('marry', 'épouser', 'casarse')",0
""" he asked me to marry him . """,5,"('marry', 'devenir', 'proponer')",5
"dorian shrugged his shoulders . "" i believe he married lady radley 's maid , and has established her in paris as an english dressmaker . anglomanie is very fashionable over there now , i hear . it seems silly of the french , does n't it ? but -- do you know?--he was not at all a bad servant . i never liked him , but i had nothing to complain about . one often imagines things that are quite absurd . he was really very devoted to me and seemed quite sorry when he went away . have another brandy - and - soda ? or would you like hock - and - seltzer ? i always take hock - and - seltzer myself . there is sure to be some in the next room . """,9,"('marry', 'épouser', 'casar')",3
"what ! the cardinal sets a spy upon a gentleman , has his letters stolen from him by means of a traitor , a brigand , a rascal - has , with the help of this spy and thanks to this correspondence , chalais ’s throat cut , under the stupid pretext that he wanted to kill the king and marry monsieur to the queen !",60,"('marry', 'marier', 'casar')",4
"you ought to marry her . """,3,"('marry', 'épouser', 'casarse')",0
""" miss oliver is ever surrounded by suitors and flatterers : in less than a month , my image will be effaced from her heart . she will forget me ; and will marry , probably , some one who will make her far happier than i should do . """,33,"('marry', 'marier', 'casar')",4
""" never marry at all , dorian . men marry because they are tired ; women , because they are curious : both are disappointed . """,9,"('marry', 'marier', 'casar')",4
""" i do n't think i am likely to marry , harry . i am too much in love . that is one of your aphorisms . i am putting it into practice , as i do everything that you say . """,9,"('marry', 'marier', 'casar')",4
"reader , i married him .",3,"('marry', 'épouser', 'casar')",3
""" mary , i have been married to mr . rochester this morning . """,6,"('marry', 'marier', 'casar')",4
""" then , sir , i will marry you . """,7,"('marry', 'épouser', 'casarme')",2
"cunegund , not knowing that she was grown ugly , as no one had informed her of it , reminded candide of his promise in so peremptory a manner , that the simple lad did not dare to refuse her ; he then acquainted the baron that he was going to marry his sister .",51,"('marry', 'marier', 'casar')",4
""" my mother 's name was eyre ; she had two brothers ; one a clergyman , who married miss jane reed , of gateshead ; the other , john eyre , esq . , merchant , late of funchal , madeira .",18,"('marry', 'épouser', 'casar')",3
""" of course it is true , lord henry . if we women did not love you for your defects , where would you all be ? not one of you would ever be married . you would be a set of unfortunate bachelors . not , however , that that would alter you much . nowadays all the married men live like bachelors , and all the bachelors like married men . """,34,"('marry', 'marier', 'casar')",4
""" ah , my dear , "" cried lady narborough , putting on her gloves , "" do n't tell me that you have exhausted life . when a man says that one knows that life has exhausted him . lord henry is very wicked , and i sometimes wish that i had been ; but you are made to be good-- you look so good . i must find you a nice wife . lord henry , do n't you think that mr . gray should get married ? """,88,"('marry', 'marier', 'casarse')",6
""" but think of dorian 's birth , and position , and wealth . it would be absurd for him to marry so much beneath him . """,21,"('marry', 'épouser', 'casar')",3
""" if you want to make him marry this girl , tell him that , basil . he is sure to do it , then . whenever a man does a thoroughly stupid thing , it is always from the noblest motives . """,7,"('marry', 'épouse', 'casar')",7
""" nonsense , again ! marry ! i do n't want to marry , and never shall marry . """,5,"('marry', 'marier', 'casar')",4
""" nonsense , again ! marry ! i do n't want to marry , and never shall marry . """,17,"('marry', 'marier', 'casar')",4
""" but you could not marry , sir . """,5,"('marry', 'marier', 'casarse')",6
""" i mean to say that since we last met you have changed your religion . you have not by chance married a protestant for a third husband , have you ? """,21,"('marry', 'épouser', 'casar')",3
"he means to marry you ? """,3,"('marry', 'épouser', 'casarse')",0
