text,ind
"the carriage was ready : they were bringing it round to the front , and my master was pacing the pavement , pilot following him backwards and forwards .",16
""" when you go in , "" said i , "" tell your master that a person wishes to speak to him , but do not give my name . """,13
"i sought out the best fencing master in paris , i made an agreement with him to take a lesson every day , and every day for a year i took that lesson .",6
"there , in place of natural wonders , the watery mass offered some thrilling and dreadful scenes to my eyes . in essence , we were then crossing that part of the whole mediterranean so fertile in casualties . from the coast of algiers to the beaches of provence , how many ships have wrecked , how many vessels have vanished ! compared to the vast liquid plains of the pacific , the mediterranean is a mere lake , but it 's an unpredictable lake with fickle waves , today kindly and affectionate to those frail single - masters drifting between a double ultramarine of sky and water , tomorrow bad - tempered and turbulent , agitated by the winds , demolishing the strongest ships beneath sudden waves that smash down with a headlong wallop .",98
"mr . fogg 's wardrobe was amply supplied and in the best taste . each pair of trousers , coat , and vest bore a number , indicating the time of year and season at which they were in turn to be laid out for wearing ; and the same system was applied to the master 's shoes .",55
""" this ring would certainly only recall very bitter remembrances ; then we shall never be masters of three hundred pistoles to redeem it , so that we really should lose two hundred pistoles by the bargain .",16
"cease to look so melancholy , my dear master ; you shall not be left desolate , so long as i live . """,8
as master wishes,1
but it must be acknowledged that the most successful portrait was incontestably that of master jup .,14
"passepartout , who had conscientiously studied the programme of his duties , was more than surprised to see his master guilty of the inexactness of appearing at this unaccustomed hour ; for , according to rule , he was not due in saville row until precisely midnight .",19
"half of our task is accomplished , but although the convicts are no longer to be feared , it is not owing to ourselves that we are once more masters of the island . """,29
""" as master wishes , "" conseil replied serenely .",2
""" i 've called you twice , "" observed his master .",10
""" what about master 's collections ? "" conseil ventured to observe .",3
""" what ! the archaeotherium , hyracotherium , oreodonts , cheiropotamus , and master 's other fossil skeletons ? """,13
a puzzled grin overspread passepartout 's round face ; clearly he had not comprehended his master .,15
""" what about master 's live babirusa ? """,3
""" whatever detour master wishes . """,3
""" as master thinks best , "" conseil replied placidly .",2
""" that makes no difference , "" said aramis , coloring ; "" and who affirmed , as i said , that he had received orders from his master or mistress to place the horse in my stable , without informing me whence it came . """,28
""" as master wishes . """,2
""" with all due respect to master , "" conseil replied , "" as comfortable as a hermit crab inside the shell of a whelk . """,6
""" it will blaze , since my master has said so . """,7
"when we were again alone , i stirred the fire , and then took a low seat at my master 's knee .",19
""" and your master is-- """,3
""" without reckoning , monsieur , "" added planchet to his master ’s audibly expressed reflections , "" that we perhaps owe our lives to him .",11
"the consul did not finish his sentence , for as he spoke a knock was heard at the door , and two strangers entered , one of whom was the servant whom fix had met on the quay . the other , who was his master , held out his passport with the request that the consul would do him the favour to visa it . the consul took the document and carefully read it , whilst fix observed , or rather devoured , the stranger with his eyes from a corner of the room .",45
""" if master 's eyes would kindly stop bulging , master will see farther ! """,2
""" if master 's eyes would kindly stop bulging , master will see farther ! """,10
