text,ind
""" if master will allow me to finish , i mean that if this phenomenon occurs , it might prove distressing to mr . de lesseps , who has gone to such pains to cut through his isthmus ! """,10
"' if you did n't sign it , ' said the king , ' that only makes the matter worse . you must have meant some mischief , or else you 'd have signed your name like an honest man . '",24
""" i hate them for it , "" cried hallward . "" an artist should create beautiful things , but should put nothing of his own life into them . we live in an age when men treat art as if it were meant to be a form of autobiography . we have lost the abstract sense of beauty . some day i will show the world what it is ; and for that reason the world shall never see my portrait of dorian gray . """,43
"the ring , adele , is in my breeches - pocket , under the disguise of a sovereign : but i mean soon to change it to a ring again . """,21
""" by us , you mean ! "" cried d’artagnan .",5
""" what do you mean by ` once ' ? has the world grown smaller ? """,4
"the engineer corked them by means of a stopper through which passed a glass tube , bored at its lower extremity , and intended to be plunged into the acid by means of a clay stopper secured by a rag .",5
""" type ! what do you mean by talking of type , wretched axel ? type ! do you take it for a printed book , you ignorant fool ? it is a manuscript , a runic manuscript . """,6
"he hoped , by means of loyal excuses , to make a friend of athos , whose lordly air and austere bearing pleased him much .",4
""" when i say i 'll wager , "" returned stuart , "" i mean it . """,14
"what did he mean by such a pagan idea ? _ i _ had no intention of dying with him -- he might depend on that . """,3
"here is the exact facsimile . i think it important to let these strange signs be publicly known , for they were the means of drawing on professor liedenbrock and his nephew to undertake the most wonderful expedition of the nineteenth century .",23
"this phrase , uttered in my hearing yesterday , would have only conveyed the notion that she was about to be removed to northumberland , to her own home . i should not have suspected that it meant she was dying ; but i knew instantly now !",37
""" yes , "" continued lord henry , "" that is one of the great secrets of life-- to cure the soul by means of the senses , and the senses by means of the soul . you are a wonderful creation . you know more than you think you know , just as you know less than you want to know . """,32
but in the meantime i would have to look for this narwhale in the northern pacific ocean ; which meant returning to france by way of the antipodes .,19
""" when do you mean to set out ? """,4
""" undoubtedly it is runic , "" said the professor , bending his brows ; "" but there is a secret in it , and i mean to discover the key . """,26
""" to a certainty , athos , "" said aramis , "" you were meant to be a general of the army ! what do you think of the plan , gentlemen ? """,14
""" you mean george villiers ? "" asked felton , whose looks became excited .",2
""" or rather his bank vaults . by which i mean this ocean , where his wealth is safer than in any national treasury . """,10
""" what does it all mean ? "" he kept repeating mechanically .",5
