text,ind
"there conseil 's work came to a halt . he did n't have time to finish off the class crustacea through an examination of its stomatopods , amphipods , homopods , isopods , trilobites , branchiopods , ostracods , and entomostraceans . and in order to complete his study of marine articulates , he needed to mention the class cirripedia , which contains water fleas and carp lice , plus the class annelida , which he would have divided without fail into tubifex worms and dorsibranchian worms . but having gone past the shallows of the strait of sicily , the nautilus resumed its usual deep - water speed . from then on , no more mollusks , no more zoophytes , no more articulates . just a few large fish sweeping by like shadows .",44
did anybody order you to prevent that woman from singing ?,2
"this sea - weed , which belongs to the order of fucacae , of the genus sargassum , produces , when dry , a gelatinous matter , rich and nutritious .",9
"nevertheless , in order not to leave ayrton in solitude for too long a time , the settlers often paid him a visit .",3
""" answer me -- speak again ! "" he ordered , imperiously and aloud .",9
"mme . guemene was reading aloud , and everybody was listening to her with attention with the exception of the queen , who had , on the contrary , desired this reading in order that she might be able , while feigning to listen , to pursue the thread of her own thoughts .",33
"still more must be done . he must be made to speak , in order that he might be spoken to -- for milady very well knew that her greatest seduction was in her voice , which so skillfully ran over the whole gamut of tones from human speech to language celestial .",14
"as for captain nemo , i wondered what he would make of our escaping , what concern or perhaps what distress it might cause him , and what he would do in the twofold event of our attempt either failing or being found out ! certainly i had no complaints to register with him , on the contrary . never was hospitality more wholehearted than his . yet in leaving him i could n't be accused of ingratitude . no solemn promises bound us to him . in order to keep us captive , he had counted only on the force of circumstances and not on our word of honor . but his avowed intention to imprison us forever on his ship justified our every effort .",88
"mr . rochester obliged me to go to a certain silk warehouse : there i was ordered to choose half - a - dozen dresses . i hated the business , i begged leave to defer it : no -- it should be gone through with now .",16
"that study of his was a museum , and nothing else . specimens of everything known in mineralogy lay there in their places in perfect order , and correctly named , divided into inflammable , metallic , and lithoid minerals .",25
""" oh , from some heartbroken waiting woman , some desponding grisette ; from madame de chevreuse ’s chambermaid , perhaps , who was obliged to return to tours with her mistress , and who , in order to appear smart and attractive , stole some perfumed paper , and sealed her letter with a duchess ’s coronet . """,37
""" then i 'll continue . here 's what came to pass . the tradesmen of cadiz had negotiated a charter whereby they were to receive all merchandise coming from the west indies . now then , unloading the ingots from those galleons at the port of vigo would have been a violation of their rights . so they lodged a complaint in madrid , and they obtained an order from the indecisive king philip v : without unloading , the convoy would stay in custody at the offshore mooring of vigo until the enemy fleets had retreated .",69
""" be off , you wretch ! "" cried aramis , throwing his skullcap in his face . "" return whence you came ; take back those horrible vegetables , and that poor kickshaw ! order a larded hare , a fat capon , mutton leg dressed with garlic , and four bottles of old burgundy . """,35
""" but , in order not to exceed it , you must jump mathematically from the trains upon the steamers , and from the steamers upon the trains again . """,4
"summoning mary , i soon had the room in more cheerful order : i prepared him , likewise , a comfortable repast .",11
""" that last order is useless , "" interrupted d’artagnan ; "" there are loaded pistols in your holsters . """,3
""" very well , "" thought i , "" if you can bring order out of that confusion , my dear uncle , you are a clever man . """,13
i rang the bell and ordered away the tray .,5
"i could not tell : nothing answered me ; i then ordered my brain to find a response , and quickly .",11
