text,ind,sense,label
"he took the sacred volume , and was about to open it , when pencroft stopped him , saying,--""captain , i am superstitious .",14,"('pencroft', 'pencroff', 'pencroff')",0
what had pencroft to say ?,2,"('pencroft', 'pencroff', 'pencroff')",0
"herbert , pencroft , and neb resumed their ordinary occupations .",2,"('pencroft', 'pencroff', 'pencroff')",0
"in the event of this , the cart would have been of more use than the light canoe , but it was heavy and clumsy to drag , and therefore more difficult to use ; this led pencroft to express his regret that the chest had not contained , besides "" his halfpound of tobacco , "" a pair of strong new jersey horses , which would have been very useful to the colony !",37,"('pencroft', 'pencroff', 'pencroff')",0
"also , the sea having destroyed the partitions which pencroft had put up in certain places in the passages , the chimneys , on account of the draughts , had become scarcely habitable .",9,"('pencroft', 'pencroff', 'pencroff')",0
"it is useless to add that pencroft , herbert , and neb , thus armed , were at the summit of their happiness , although cyrus harding made them promise not to fire a shot unless it was necessary .",6,"('pencroft', 'pencroff', 'pencroff')",0
"in a few minutes the explorers arrived at the angle formed by the mercy and exactly at the place where , seven months before , pencroft had made his first raft of wood .",25,"('pencroft', 'pencroff', 'pencroff')",0
""" why ! how are you going to manage that , captain ? "" asked pencroft .",15,"('pencroft', 'pencroff', 'pencroff–.')",1
"pencroft , although he had no confidence in the proceeding , then tried rubbing two pieces of dry wood together , as savages do .",0,"('pencroft', 'pencroff', 'pencroff')",0
"from time to time , in certain places where the landing was easy , the canoe was stopped , when gideon spilett , herbert , and pencroft , their guns in their hands , and preceded by top , jumped on shore .",26,"('pencroft', 'pencroff', 'pencroff')",0
"after working an hour , pencroft , who was in a complete state of perspiration , threw down the pieces of wood in disgust .",5,"('pencroft', 'pencroff', 'pencroff')",0
""" tobacco ! "" cried pencroft , who evidently had never seen his favorite plant except in the bowl of his pipe .",5,"('pencroft', 'pencroff', 'pencroff')",0
""" no , pencroft , "" replied herbert ; "" this is not tobacco , it is mustard . """,3,"('pencroft', 'pencroff', 'pencroff')",0
""" well ! "" exclaimed pencroft , "" when that day comes , i do not know what more will be wanting in our island ! """,5,"('pencroft', 'pencroff', 'pencroff–.')",1
""" i am rubbing , "" replied herbert , laughing , "" but i do n't pretend to do anything else but warm myself instead of shivering , and soon i shall be as hot as you are , my good pencroft ! """,41,"('pencroft', 'pencroff', 'pencroff')",0
"the reporter , herbert , and pencroft in this manner frequently disembarked , sometimes on the right bank , sometimes on the left bank of the mercy .",6,"('pencroft', 'pencroff', 'pencroff')",0
"herbert , neb , and pencroft did the same , while top slept at his master 's feet .",5,"('pencroft', 'pencroff', 'pencroff')",0
""" i recognize him ! "" cried pencroft , and it seemed as if his gun went off by itself .",7,"('pencroft', 'pencroff', 'pencroff')",0
"lories are better food than the jacamar , the flesh of which is rather tough , but it was difficult to persuade pencroft that he had not killed the king of eatable birds .",22,"('pencroft', 'pencroff', 'pencroff')",0
"pencroft was wild with joy , and every morning and evening he sent a telegram to the corral , which always received an answer .",0,"('pencroft', 'pencroff', 'pencroff')",0
"however , pencroft had thought of doing so , but cyrus harding having told him that even if he managed to count three hundred grains a minute , or nine thousand an hour , it would take him nearly five thousand five - hundred years to finish his task , the honest sailor considered it best to give up the idea .",2,"('pencroft', 'pencroff', 'pencroff')",0
"on a sign from the engineer , neb and pencroft examined the bodies , already stiffened by the cold .",9,"('pencroft', 'pencroff', 'pencroff')",0
"the pigs had already produced young , and it may be understood that their care for these animals absorbed a great part of neb and pencroft 's time .",25,"('pencroft', 'pencroff', 'pencroff')",0
""" yes , "" replied pencroft .",5,"('pencroft', 'pencroff', 'pencroff')",0
""" pooh ! "" replied pencroft .",5,"('pencroft', 'pencroff', 'pencroff–.')",1
"only , after carefully examining them , pencroft found on the forehead of one , on the chest of another , on the back of this one , on the shoulder of that , a little red spot , a sort of scarcely visible bruise , the cause of which it was impossible to conjecture .",7,"('pencroft', 'pencroff', 'pencroff')",0
""" we will make it , pencroft , "" replied harding . "" while you were carrying me yesterday , did i not see in the west a mountain which commands the country ? """,6,"('pencroft', 'pencroff', 'pencroff')",0
""" i think that you are mistaken , pencroft , "" replied gideon spilett , "" and that the wood of the eucalyptus has begun to be very advantageously employed in cabinet - making . """,8,"('pencroft', 'pencroff', 'pencroff')",0
""" and who has struck the blow ? "" asked pencroft .",10,"('pencroft', 'pencroff', 'pencroff')",0
"cyrus harding listened smiling , and pencroft with an indescribable feeling of pride .",6,"('pencroft', 'pencroff', 'pencroff')",0
""" very good , herbert , "" replied pencroft , "" but i could swear that all those useful specimens you have just told us about are none of them giants like these ! """,8,"('pencroft', 'pencroff', 'pencroff')",0
""" that is true , pencroft . """,5,"('pencroft', 'pencroff', 'pencroff')",0
""" let us make search for him , then ! "" exclaimed pencroft .",12,"('pencroft', 'pencroff', 'pencroff')",0
""" there you are wrong , pencroft , "" said the engineer ; "" these gigantic eucalypti , which shelter us , are good for something . """,6,"('pencroft', 'pencroff', 'pencroff')",0
""" certainly , nothing could be plainer , "" replied pencroft .",10,"('pencroft', 'pencroff', 'pencroff')",0
""" it multiplies us , "" said pencroft .",7,"('pencroft', 'pencroff', 'pencroff')",0
"neb and pencroft carried the corpses of the convicts into the forest , some distance from the corral , and buried them deep in the ground .",2,"('pencroft', 'pencroff', 'pencroff')",0
"what a blessed island ! "" cried pencroft .",7,"('pencroft', 'pencroff', 'pencroff–.')",1
""" well said , "" remarked pencroft .",6,"('pencroft', 'pencroff', 'pencroff–.')",1
""" shall we stay at the corral ? "" asked pencroft .",10,"('pencroft', 'pencroff', 'pencroff')",0
""" i hope so , "" replied the engineer , "" provided you and pencroft , my boy , show yourselves quick and clever hunters . """,14,"('pencroft', 'pencroff', 'pencroff')",0
""" it must be snow ! "" said pencroft .",8,"('pencroft', 'pencroff', 'pencroff')",0
""" bring it back all the same , pencroft , "" replied harding .",8,"('pencroft', 'pencroff', 'pencroff')",0
"it would have been easy to bring down one of these quadramani with a gunshot , and pencroft was greatly tempted to fire , but harding opposed so useless a massacre .",17,"('pencroft', 'pencroff', 'pencroff')",0
""" by jove ! "" exclaimed pencroft , "" all our plants will be frozen ! """,6,"('pencroft', 'pencroff', 'pencroff')",0
"they set out accordingly about ten o'clock in the morning , herbert confident , neb joyous , pencroft murmuring aside,--",17,"('pencroft', 'pencroff', 'pencroff')",0
""" yes , to tabor island , "" answered pencroft .",9,"('pencroft', 'pencroff', 'pencroff–.')",1
""" but , pencroft , "" asked ayrton , "" how do you intend to make this voyage ? """,3,"('pencroft', 'pencroff', 'pencroff')",0
"this agreed to , herbert , neb , and pencroft , after having torn three sticks from the trunk of a young fir , followed top , who was bounding about among the long grass .",9,"('pencroft', 'pencroff', 'pencroff')",0
""" my ' bonadventure ' exists no longer ! "" shouted pencroft , bounding from his seat .",11,"('pencroft', 'pencroff', 'pencroff')",0
""" go ahead ! "" replied pencroft .",6,"('pencroft', 'pencroff', 'pencroff')",0
""" and ? "" said pencroft , his heart beating .",5,"('pencroft', 'pencroff', 'pencroff')",0
""" pencroft , "" said herbert , taking the sailor 's hand , "" we will build another ' bonadventure'--a larger one .",1,"('pencroft', 'pencroff', 'pencroff')",0
""" but do you know , "" returned pencroft , "" that it will take at least five or six months to build a vessel of from thirty to forty tons ? """,8,"('pencroft', 'pencroff', 'pencroff')",0
""" oh , my ' bonadventure ! ' my poor ' bonadventure ! ' "" cried pencroft , almost broken - hearted at the destruction of the vessel of which he was so proud .",16,"('pencroft', 'pencroff', 'pencroff')",0
""" well , pencroft , "" said neb , in a slightly sarcastic tone , "" if this is all the game which you promised to bring back to my master , it wo n't need a large fire to roast it ! """,3,"('pencroft', 'pencroff', 'pencroff')",0
""" i do not say no , "" replied pencroft , who had always the casting vote in maritime questions ; "" i do not say no , although it is not exactly the same thing to make a long as a short voyage !",9,"('pencroft', 'pencroff', 'pencroff')",0
""" would you not , in that case , pencroft , attempt the adventure ? "" asked the reporter .",9,"('pencroft', 'pencroff', 'pencroff')",0
"neb and pencroft also watched by turns , and did not spare fuel .",2,"('pencroft', 'pencroff', 'pencroff')",0
""" who is that ? "" asked pencroft .",7,"('pencroft', 'pencroff', 'pencroff')",0
""" if he will consent to come , "" said pencroft .",10,"('pencroft', 'pencroff', 'pencroff')",0
""" come , "" said pencroft , "" sea - weed by way of bread , raw mussels for meat , and almonds for dessert , that 's certainly a good dinner for those who have not a single match in their pocket ! """,5,"('pencroft', 'pencroff', 'pencroff')",0
""" i am not complaining , my boy , "" replied pencroft , "" only i repeat , that meat is a little too much economized in this sort of meal . """,11,"('pencroft', 'pencroff', 'pencroff')",0
pencroft and neb carried sufficient provision for the little band for at least two days .,0,"('pencroft', 'pencroff', 'pencroff')",0
""" well ! "" answered pencroft , "" i agree with you that the nobleman will return , and soon too .",5,"('pencroft', 'pencroff', 'pencroff')",0
""" but suppose the scotch yacht comes before that , "" said pencroft .",12,"('pencroft', 'pencroff', 'pencroff')",0
"several pigs , agoutis , kangaroos , and other rodents were seen , also two or three koalas , at which pencroft longed to have a shot .",21,"('pencroft', 'pencroff', 'pencroff')",0
""" the rascal ! "" cried pencroft .",6,"('pencroft', 'pencroff', 'pencroff')",0
"neb , herbert , and pencroft stopped , motionless .",5,"('pencroft', 'pencroff', 'pencroff')",0
""" at any rate , "" remarked pencroft , "" it is well understood that if we do leave lincoln island , it will not be because we were uncomfortable there ! """,7,"('pencroft', 'pencroff', 'pencroff')",0
""" no , pencroft , "" replied the engineer , "" it will be because we are far from all that a man holds dearest in the world , his family , his friends , his native land ! """,3,"('pencroft', 'pencroff', 'pencroff')",0
"pencroft and his two companions went to different parts of the bank , so as to cut off the retreat of the capybara , which the dog was looking for beneath the water .",0,"('pencroft', 'pencroff', 'pencroff')",0
