text,ind
""" but we shall know , "" rejoined pencroft , "" when you have guided us into the country . """,8
""" alas ! we have no fire , "" said pencroft , "" or rather , captain , we have it no longer ! """,10
"herbert and neb each took one , and pencroft took the scull .",8
""" he looks as if he was just going to grin ! "" exclaimed pencroft .",14
""" upon my word , pencroft , it 's perfectly indifferent to me ! """,5
""" that is all very well , "" then said the reporter , "" but i must point out to pencroft that his harbor is wanting in one very important respect ! """,20
""" when you were returning from tabor island , pencroft , "" continued the engineer , "" you said that a fire appeared on lincoln island ? """,9
""" as for me , "" said the sailor , "" if i ever grumble at work , my name 's not jack pencroft , and if you like , captain , we will make a little america of this island !",23
""" curious ? "" replied gideon spilett , "" not at all , pencroft , nothing can be more natural .",13
""" it is a joke , "" said pencroft ; "" it is a trick some one has played us .",8
"it was therefore decided that neb and pencroft should go to port balloon , and that there , at nightfall , they should light an immense fire , the blaze of which would necessarily attract the attention of the brig .",7
"for a quarter of an hour the boat had been advancing , making detours , indicated to pencroft by the engineer in short sentences , when all at once,--",17
""" hurrah ! "" cried pencroft , "" the roast has arrived ! and now we can go home . """,5
"we must mention here that pencroft , desirous to know if the clay thus prepared was worthy of its name of pipe - clay , made some large pipes , which he thought charming , but for which , alas ! he had no tobacco , and that was a great privation to pencroft .",53
"on seeing these hailstones , some of which were the size of a pigeon 's egg , pencroft 's first thought was that his cornfield was in serious danger .",17
"pencroft brought to the task a devouring energy , and would even grumble when one or the other abandoned the carpenter 's axe for the gun of the hunter .",0
"pencroft had asked to be allowed to "" blow "" in his turn , and it was great fun for him ; but he blew so hard that his productions took the most ridiculous shapes , which he admired immensely .",0
"these details settled , it was agreed that since the fine season would not return before six months , cyrus harding and pencroft should work alone at the boat .",22
""" yes , pencroft , and if the next crop gives a proportionate yield , we shall have four thousand bushels . """,3
""" do n't let us say anything to pencroft yet ; we will prepare these leaves , and one fine day we will present him with a pipe already filled ! """,8
""" well , pencroft , "" observed harding , "" i should much like to watch you handling a harpoon .",3
"on that day , after dinner , just as he was about to leave the table , pencroft felt a hand on his shoulder .",17
""" no , pencroft , it was mr . spilett . """,3
""" that is reassuring for us , but a bad look - out for our great - grandchildren ! "" observed pencroft .",21
""" that 's evident , "" replied the sailor , "" and there can be no other explanation to give . quiet there , top ! "" added pencroft , turning to the dog , "" and you , jup , be off to your room ! """,28
"neb and pencroft had taken away the fat from the dugong , and placed it in large earthen pots .",2
pencroft only was prouder than he !,0
pencroft understood .,0
""" ah , what a misfortune ! what a misfortune ! "" often repeated pencroft .",14
pencroft made himself known .,0
""" and jup ! "" cried pencroft ; "" where is jup ? """,6
"pencroft was radiant with joy , the operation was perfectly successful ; the boat completely rigged , having been pushed on rollers to the water 's edge , was floated by the rising tide , amid the cheers of the colonists , particularly of pencroft , who showed no modesty on this occasion .",0
""" all hands on board , "" shouted pencroft ; but breakfast was first necessary , and it was thought best to take provisions on board , in the event of their excursion being prolonged until the evening .",8
"the wind blowing out of union bay she ran before it , and thus showed her owners , much to their satisfaction , that she possessed a remarkably fast pair of heels , according to pencroft 's mode of speaking .",35
"it was evident that the vessel had been moved , more or less , since pencroft had brought her to port balloon .",15
""" well , my boy , "" replied pencroft , "" not finding her here , they would not be long in finding her on the sands of granite house , and , during our absence , nothing could hinder them from seizing her !",8
"the reporter prepared to follow him , but pencroft stopped him .",8
"pencroft gave him his directions as a commander to his steersman , and herbert never allowed the "" bonadventure "" to swerve even a point . the night passed quickly , as did the day of the 12th of october .",0
"herbert called pencroft , who ran up hastily .",2
""" right , "" replied pencroft ; "" the river will be to us like a road which carries of itself , and rafts have not been invented for nothing . """,5
""" if he had quitted the island he would have taken away his weapons and his tools , "" replied pencroft .",20
""" it matters very little , pencroft ! """,6
""" well , they would make more than three millions , at a hundred and thirty thousand a bushel , pencroft . """,20
""" perhaps , "" said herbert , while he and pencroft were working , "" our companions have found a superior place to ours . """,10
""" humph ! "" said pencroft , "" these pirates ! they are gentlemen who have no right to any consideration !",5
"pencroft could not hide his vexation ; he looked very anxious , but said not a word .",0
""" i will join pencroft , "" said the reporter , "" and both of us , well - armed and accompanied by top-- """,4
""" hurrah ! "" cried pencroft ; "" it is as good as having a whole cargo ! """,5
"pencroft then twisted the piece of paper into the shape of a cone , as smokers do in a high wind , and poked it in among the moss .",0
"pencroft had not struck hard enough , fearing to rub off the phosphorus .",0
""" captain , "" said pencroft , "" i think it would be prudent to put our ' bonadventure ' in a safe place . """,5
""" what ? "" cried pencroft .",5
"he took the bullet , turned it over and over , rolled it between his finger and thumb ; then , turning to pencroft , he asked,--",23
""" look here , neb , "" burst out pencroft .",9
""" bother the continent , "" cried pencroft hastily ; "" there is time enough to see about that , captain ! we do n't care for anything , provided you are living . """,7
""" do not be imprudent , "" said harding to the reporter and pencroft , "" you have not to gain possession of the corral , but only to find out whether it is occupied or not . """,13
"five minutes after leaving the cart , gideon spilett and pencroft arrived at the edge of the wood before the clearing beyond which rose the palisade .",10
"at each new object pencroft uttered fresh hurrahs , herbert clapped his hands , and neb danced up and down .",4
""" never ? "" exclaimed pencroft .",5
"however , one of them was not quite satisfied : it was pencroft .",12
""" come , now , captain , "" exclaimed pencroft , "" what does that mean ?",9
