text,ind,sense,label
"a great part of the distance would thus be traversed without fatigue , and the explorers could transport their provisions and arms to an advanced point in the west of the island .",25,"('point', 'point', 'punto')",0
""" there is no such thing as a good influence , mr . gray . all influence is immoral -- immoral from the scientific point of view . """,24,"('point', 'point', 'punto')",0
"it is true that the sailor considered the monkeys from a purely alimentary point of view , for those animals which are herbivorous make very excellent game ; but since they had an abundant supply of provisions , it was a pity to waste their ammunition .",13,"('point', 'point', 'punto')",0
""" this is the gentleman i am going to fight with , "" said athos , pointing to d’artagnan with his hand and saluting him with the same gesture .",16,"('point', 'montrer', 'señalar')",1
"meanwhile , the sun had not reached the highest point in its course above the horizon .",9,"('point', 'point', 'punto')",0
"these dates were inscribed in an itinerary divided into columns , indicating the month , the day of the month , and the day for the stipulated and actual arrivals at each principal point paris , brindisi , suez , bombay , calcutta , singapore , hong kong , yokohama , san francisco , new york , and london -- from the 2nd of october to the 21st of december ; and giving a space for setting down the gain made or the loss suffered on arrival at each locality . this methodical record thus contained an account of everything needed , and mr . fogg always knew whether he was behind - hand or in advance of his time . on this friday , october 9th , he noted his arrival at suez , and observed that he had as yet neither gained nor lost . he sat down quietly to breakfast in his cabin , never once thinking of inspecting the town , being one of those englishmen who are wo nt to see foreign countries through the eyes of their domestics .",33,"('point', 'point', 'punto')",0
"from this point his eye , accustomed to estimate heights and distances , was fixed for a long time on the cone , the summit of which he wished to reach the next day .",2,"('point', 'point', 'punto')",0
"and this reaction was n't long in coming . for three months , during which each day seemed like a century , the abraham lincoln plowed all the northerly seas of the pacific , racing after whales sighted , abruptly veering off course , swerving sharply from one tack to another , stopping suddenly , putting on steam and reversing engines in quick succession , at the risk of stripping its gears , and it did n't leave a single point unexplored from the beaches of japan to the coasts of america . and we found nothing ! nothing except an immenseness of deserted waves ! nothing remotely resembling a gigantic narwhale , or an underwater islet , or a derelict shipwreck , or a runaway reef , or anything the least bit unearthly !",80,"('point', 'point', 'punto')",0
"they turned the south angle and followed the left bank of the river , which was abandoned at the point where it formed an elbow towards the southwest .",19,"('point', 'point', 'punto')",0
"on the left , the sight extended several miles to the north ; but , on the northwest , at the point occupied by the explorers , it was cut short by the ridge of a fantastically - shaped spur , which formed a powerful support of the central cone .",21,"('point', 'point', 'punto')",0
"all stopped about fifty feet from half - a - dozen animals of a large size , with strong horns bent back and flattened towards the point , with a woolly fleece , hidden under long silky hair of a tawny color .",26,"('point', 'pointe', 'punta')",2
"now it happens that it is during the winter of the southern countries that it is at its most distant point from the sun , and consequently , in a situation for those regions to feel the greatest cold .",20,"('point', 'point', 'punto')",0
from this point the slope of the two cones became one .,2,"('point', 'point', 'punto')",0
"about four o'clock , pencroft leaving the point of the islet on his left , entered the channel which separated it from the coast , and at five o'clock the anchor of the "" bonadventure "" was buried in the sand at the mouth of the mercy .",7,"('point', 'pointe', 'punta')",2
from this point to claw cape the beach was very narrow between the edge of the forest and the reefs .,2,"('point', 'point', 'punto')",0
"but at one point of the horizon a vague light suddenly appeared , which descended slowly in proportion as the cloud mounted to the zenith .",3,"('point', 'point', 'punto')",0
"she pointed to a wide arch corresponding to the window , and hung like it with a tyrian - dyed curtain , now looped up .",1,"('point', 'montrer', 'señalar')",1
"if cyrus harding was not mistaken in his calculation , the island had almost the extent of malta or zante , in the mediterranean , but it was at the same time much more irregular and less rich in capes , promontories , points , bays , or creeks .",43,"('point', 'pointe', 'punta')",2
