text,ind
"pencroft offered him something to eat , but he pushed away the cooked meat that was presented to him and which doubtless did not suit him .",16
"afterward , monsieur de treville fought with others : in his first journey to paris , five times ; from the death of the late king till the young one came of age , without reckoning wars and sieges , seven times ; and from that date up to the present day , a hundred times , perhaps ! so that in spite of edicts , ordinances , and decrees , there he is , captain of the musketeers ; that is to say , chief of a legion of caesars , whom the king holds in great esteem and whom the cardinal dreads -- he who dreads nothing , as it is said .",50
"on the 15th our preparations were all made . our host gave the professor very great pleasure by presenting him with a map of iceland far more complete than that of hendersen . it was the map of m. olaf nikolas olsen , in the proportion of 1 to 480,000 of the actual size of the island , and published by the icelandic literary society . it was a precious document for a mineralogist .",18
""" i am sorry i ca n't give you better news of them , miss : they are very badly at present -- in great trouble . """,21
"candide gathered them up , ran to the schoolmaster , and , with a most respectful bow , presented them to him , giving him to understand by signs that their royal highnesses had forgot their gold and precious stones .",18
"the watery expanse did not present a single speck of land , not a solid surface upon which their anchor could hold .",5
""" nothing , absolutely nothing , at present , but quitting paris , as i told you , as soon as possible .",7
""" would you have me leave this poor fellow to perish -- him to whom every one present owes his life ? i shall go . """,17
"fix looked intently at his companion , whose countenance was as serene as possible , and laughed with him . but passepartout persisted in chaffing him by asking him if he made much by his present occupation .",35
"she then peeped round to where i sat ; so stern a neighbour was too restrictive to him , in his present fractious mood , she dared whisper no observations , nor ask of him any information .",21
""" i am at quite a loss how to answer you , i admit , "" said mme . bonacieux . "" my intention was to inform monsieur laporte , through my husband , in order that monsieur laporte might tell us precisely what had taken place at the louvre in the last three days , and whether there is any danger in presenting myself there . """,63
"there are two currents here : an upper current , long known to exist , that carries the ocean 's waters into the mediterranean basin ; then a lower countercurrent , the only present - day proof of its existence being logic . in essence , the mediterranean receives a continual influx of water not only from the atlantic but from rivers emptying into it ; since local evaporation is n't enough to restore the balance , the total amount of added water should make this sea 's level higher every year . yet this is n't the case , and we 're naturally forced to believe in the existence of some lower current that carries the mediterranean 's surplus through the strait of gibraltar and into the atlantic basin .",33
"after examining this community of walruses , i decided to return in my tracks . it was eleven o'clock , and if captain nemo found conditions favorable for taking his sights , i wanted to be present at the operation . but i held no hopes that the sun would make an appearance that day . it was hidden from our eyes by clouds squeezed together on the horizon . apparently the jealous orb did n't want to reveal this inaccessible spot on the globe to any human being .",36
"on leaving rejkiavik hans took us by the seashore . we passed lean pastures which were trying very hard , but in vain , to look green ; yellow came out best . the rugged peaks of the trachyte rocks presented faint outlines on the eastern horizon ; at times a few patches of snow , concentrating the vague light , glittered upon the slopes of the distant mountains ; certain peaks , boldly uprising , passed through the grey clouds , and reappeared above the moving mists , like breakers emerging in the heavens .",40
""" this horse is decidedly , or rather has been in his youth , a buttercup , "" resumed the stranger , continuing the remarks he had begun , and addressing himself to his auditors at the window , without paying the least attention to the exasperation of d’artagnan , who , however placed himself between him and them . "" it is a color very well known in botany , but till the present time very rare among horses . """,74
"an opportunity presented itself to him in which there would be at the same time glory to be acquired , and money to be gained ; and as a far higher encouragement , it brought him into close intimacy with a woman he adored .",2
"we had long lost sight of the sea shore behind the hills of bones . the rash professor , careless of losing his way , hurried me forward . we advanced in silence , bathed in luminous electric fluid . by some phenomenon which i am unable to explain , it lighted up all sides of every object equally . such was its diffusiveness , there being no central point from which the light emanated , that shadows no longer existed . you might have thought yourself under the rays of a vertical sun in a tropical region at noonday and the height of summer . no vapour was visible . the rocks , the distant mountains , a few isolated clumps of forest trees in the distance , presented a weird and wonderful aspect under these totally new conditions of a universal diffusion of light . we were like hoffmann 's shadowless man .",129
""" it appears to me that the present extent of habitable countries is sufficient for humanity .",7
"the old man received the strangers on his sofa , which was stuffed with hummingbirds ' feathers ; and ordered his servants to present them with liquors in golden goblets , after which he satisfied their curiosity in the following terms .",23
""" yes , my lord , i accept them , "" said d’artagnan ; "" and if it please god , we will make a good use of your presents . """,29
"but how had i left the course of the stream ? for it was a terrible fact that it no longer ran at my side . then i understood the reason of that fearful , silence , when for the last time i listened to hear if any sound from my companions could reach my ears . at the moment when i left the right road i had not noticed the absence of the stream . it is evident that at that moment a deviation had presented itself before me , whilst the hansbach , following the caprice of another incline , had gone with my companions away into unknown depths .",86
"he winced and , taking up from the table an oval glass framed in ivory cupids , one of lord henry 's many presents to him , glanced hurriedly into its polished depths . no line like that warped his red lips . what did it mean ?",23
"when i remembered how far i had once been admitted to his confidence , i could hardly comprehend his present frigidity .",19
"now , may not provident nature , so as to give refuge to all the vegetable and animal emigration , be at present laying the foundation of a new continent under the equator , and may she not have entrusted these insects with the construction of it ?",22
""" i am in lady agatha 's black books at present , "" answered dorian with a funny look of penitence . "" i promised to go to a club in whitechapel with her last tuesday , and i really forgot all about it . we were to have played a duet together -- three duets , i believe . i do n't know what she will say to me . i am far too frightened to call . """,10
""" it might pass for the present , "" he said ; "" but he would yet see me glittering like a parterre . """,6
""" present yourself at the wicket of the louvre , on the side of the rue de l’echelle , and ask for germain . """,1
""" ready money is needful for the present time , and we must learn how to make sacrifices .",7
"on leaving the convent he entered into the magistracy , became president on the place of his uncle , embraced the cardinal ’s party , which did not prove want of sagacity , became chancellor , served his eminence with zeal in his hatred against the queen - mother and his vengeance against anne of austria , stimulated the judges in the affair of calais , encouraged the attempts of m. de laffemas , chief gamekeeper of france ; then , at length , invested with the entire confidence of the cardinal -- a confidence which he had so well earned -- he received the singular commission for the execution of which he presented himself in the queen ’s apartments .",113
"the queen was still standing when he entered ; but scarcely had she perceived him then she reseated herself in her armchair , and made a sign to her women to resume their cushions and stools , and with an air of supreme hauteur , said , "" what do you desire , monsieur , and with what object do you present yourself here ? """,61
"one thing , however , he felt that it had done for him . it had made him conscious how unjust , how cruel , he had been to sibyl vane . it was not too late to make reparation for that . she could still be his wife . his unreal and selfish love would yield to some higher influence , would be transformed into some nobler passion , and the portrait that basil hallward had painted of him would be a guide to him through life , would be to him what holiness is to some , and conscience to others , and the fear of god to us all . there were opiates for remorse , drugs that could lull the moral sense to sleep . but here was a visible symbol of the degradation of sin . here was an ever - present sign of the ruin men brought upon their souls .",146
but helen was ill at present : for some weeks she had been removed from my sight to i knew not what room upstairs .,5
""" that is possible at present , "" replied cyrus harding , "" but only a few months ago the wretched creature was a man like you and me .",5
"and then my mind made its first earnest effort to comprehend what had been infused into it concerning heaven and hell ; and for the first time it recoiled , baffled ; and for the first time glancing behind , on each side , and before it , it saw all round an unfathomed gulf : it felt the one point where it stood -- the present ; all the rest was formless cloud and vacant depth ; and it shuddered at the thought of tottering , and plunging amid that chaos .",66
""" yes . the present mr . rochester has not been very long in possession of the property ; only about nine years . """,4
"so strange a reception naturally gave milady ample matter for reflection ; so seeing that the young officer did not seem at all disposed for conversation , she reclined in her corner of the carriage , and one after the other passed in review all the surmises which presented themselves to her mind .",48
""" ah , that was a more daring shot , though i have no doubt that i was right . you must not ask me that at the present state of the affair . """,28
"october 16th.--a dull and foggy day with a drizzle of rain . the house is banked in with rolling clouds , which rise now and then to show the dreary curves of the moor , with thin , silver veins upon the sides of the hills , and the distant boulders gleaming where the light strikes upon their wet faces . it is melancholy outside and in . the baronet is in a black reaction after the excitements of the night . i am conscious myself of a weight at my heart and a feeling of impending danger -- ever present danger , which is the more terrible because i am unable to define it .",100
"the cardinal was left free to carry on the siege , without having , at least at the present , anything to fear on the part of the english .",18
"in the course of my necessary correspondence with mr . briggs about the will , i had inquired if he knew anything of mr . rochester 's present residence and state of health ; but , as st . john had conjectured , he was quite ignorant of all concerning him .",27
"for caresses , too , i now got grimaces ; for a pressure of the hand , a pinch on the arm ; for a kiss on the cheek , a severe tweak of the ear . it was all right : at present i decidedly preferred these fierce favours to anything more tender .",43
"by means of the diving dress he could easily reach the well in the interior of granite house , and climbing by the projections of rock to its upper orifice he heard the colonists as they recounted the past , and studied the present and future .",43
"meantime , mr . rochester affirmed i was wearing him to skin and bone , and threatened awful vengeance for my present conduct at some period fast coming .",21
"he formed , therefore , the resolution of believing for the present all that was said of their past , hoping for more certain and extended revelations in the future .",11
all the pirates in the pacific have only to present themselves before granite house !,9
"we have observed that young cavaliers received presents from their king without shame . let us add that in these times of lax morality they had no more delicacy with respect to the mistresses ; and that the latter almost always left them valuable and durable remembrances , as if they essayed to conquer the fragility of their sentiments by the solidity of their gifts .",7
""" farewell , mr . rochester , for the present . """,9
""" farewell , miss eyre , for the present ; is that all ? """,8
the chimneys offered a retreat sufficient for the present .,8
"lastly , the time had come for turning the balloon - case to use , by cutting it up to make shirts and other articles ; for as to keeping it in its present form , and risking themselves in a balloon filled with gas , above a sea of the limits of which they had no idea , it was not to be thought of .",33
"the villainy of mankind presented itself to his mind in all its deformity , and his soul was a prey to the most gloomy ideas .",4
"but , we must say , at the present moment d’artagnan was ruled by a feeling much more noble and disinterested .",8
"they speak with the broadest accent of the district . at present , they and i have a difficulty in understanding each other 's language .",11
"they had perched by thousands on the islet and on the shore , and they disappeared in the distance , leaving the colonists amazed as if they had been present at some transformation scene , in which summer succeeded winter at the touch of a fairy 's wand .",29
all their science and intelligence could avail them nothing in their present position .,11
"all the other candidates complained that candide had done them great injustice , but he stopped their mouths by a present of a hundred piastres to each .",20
"there terminates , at least to the present moment , the duty i had to fulfill toward you ; the rest concerns another person . """,7
