text,ind
"with the winter , work had been resumed in the interior of granite house , mending clothes and different occupations , among others making the sails for their vessel , which were cut from the inexhaustible balloon - case .",7
"near midnight the sea suddenly resumed its usual hue , but behind us all the way to the horizon , the skies kept mirroring the whiteness of those waves and for a good while seemed imbued with the hazy glow of an aurora borealis .",5
"there conseil 's work came to a halt . he did n't have time to finish off the class crustacea through an examination of its stomatopods , amphipods , homopods , isopods , trilobites , branchiopods , ostracods , and entomostraceans . and in order to complete his study of marine articulates , he needed to mention the class cirripedia , which contains water fleas and carp lice , plus the class annelida , which he would have divided without fail into tubifex worms and dorsibranchian worms . but having gone past the shallows of the strait of sicily , the nautilus resumed its usual deep - water speed . from then on , no more mollusks , no more zoophytes , no more articulates . just a few large fish sweeping by like shadows .",102
"then , resuming his mild air , "" you are deceived , gentlemen , "" said he , "" this handkerchief is not mine , and i can not fancy why monsieur has taken it into his head to offer it to me rather than to one of you ; and as a proof of what i say , here is mine in my pocket . """,2
"miss temple got up , took her hand and examined her pulse ; then she returned to her own seat : as she resumed it , i heard her sigh low .",23
"fix did not have the same thoughts , and could scarcely conceal his agitation . he walked feverishly up and down the platform , but soon resumed his outward composure . he now saw the folly of which he had been guilty in letting fogg go alone . what ! this man , whom he had just followed around the world , was permitted now to separate himself from him ! he began to accuse and abuse himself , and , as if he were director of police , administered to himself a sound lecture for his greenness .",26
""" this horse is decidedly , or rather has been in his youth , a buttercup , "" resumed the stranger , continuing the remarks he had begun , and addressing himself to his auditors at the window , without paying the least attention to the exasperation of d’artagnan , who , however placed himself between him and them . "" it is a color very well known in botany , but till the present time very rare among horses . """,18
the travellers were glad to see the locomotive resume its place at the head of the train . they could now continue the journey so terribly interrupted .,8
"i waited till the last deep and full vibration had expired -- till the tide of talk , checked an instant , had resumed its flow ; i then quitted my sheltered corner and made my exit by the side - door , which was fortunately near .",23
"the walk , interrupted for an instant , was resumed .",9
it took some time for d’artagnan to resume this little dialogue ; but then all the ideas of vengeance which he had brought with him had completely vanished .,7
""" take them off to the other table , mrs . fairfax , "" said he , "" and look at them with adele;--you "" ( glancing at me ) "" resume your seat , and answer my questions .",31
"then the vessel resumed its course , still escorted by the little cutter , which sailed side by side with it , menacing it with the mouths of its six cannon . the boat followed in the wake of the ship , a speck near the enormous mass .",3
""" reload the muskets , grimaud , "" said athos , "" and we , gentlemen , will go on with our breakfast , and resume our conversation .",25
"as to the gentleman , he resumed his place at the window , and surveyed the crowd with a certain impatience , evidently annoyed by their remaining undispersed .",6
"as our mutual happiness ( _ i.e. _ , diana 's , mary 's , and mine ) settled into a quieter character , and we resumed our usual habits and regular studies , st . john stayed more at home : he sat with us in the same room , sometimes for hours together .",26
