text,ind,sense,label
"milady began to think she should soon grow weary of a convent life ; she resolved , then , to risk something in order that she might know how to act afterward .",20,"('risk', 'risquer', 'arriesgar')",0
""" doubtless ; but can i risk the lives of fifty men to save three ? """,6,"('risk', 'risquer', 'arriesgar')",0
"this idea soon became so insupportable to her that at the risk of whatever terrible consequences might result to herself from it , she implored the captain to put her on shore ; but the captain , eager to escape from his false position -- placed between french and english cruisers , like the bat between the mice and the birds -- was in great haste to regain england , and positively refused to obey what he took for a woman ’s caprice , promising his passenger , who had been particularly recommended to him by the cardinal , to land her , if the sea and the french permitted him , at one of the ports of brittany , either at lorient or brest . but the wind was contrary , the sea bad ; they tacked and kept offshore .",11,"('risk', 'risque', 'riesgo')",1
""" yes , we . besides , we are men ; and everything considered , it is our lot to risk our lives ; but she , "" asked he , in an undertone .",20,"('risk', 'risquer', 'arriesgar')",0
"i have , therefore , reason to believe that our guns will bear without risk the expansion of the pyroxyle gas , and will give excellent results . """,14,"('risk', 'risque', 'riesgo')",1
"i could not have believed she would risk her liberty for me , and yet for what other cause could she have returned to paris ? """,7,"('risk', 'risquer', 'arriesgar')",0
"the tempest soon became such that forster 's departure was deferred , for it was impossible to risk the balloon and those whom it carried in the midst of the furious elements .",17,"('risk', 'risquer', 'arriesgar')",0
""" well , your honour , "" replied he , "" i could not risk myself , my men , or my little boat of scarcely twenty tons on so long a voyage at this time of year . besides , we could not reach yokohama in time , for it is sixteen hundred and sixty miles from hong kong . """,14,"('risk', 'risquer', 'arriesgar')",0
he would not have risked more if he had said twenty thousand ; but a certain juvenile modesty restrained him .,4,"('risk', 'risquer', 'arriesgar')",0
they risked nothing but their lives in its execution .,1,"('risk', 'risquer', 'arriesgar')",0
"it was the coffer which ayrton had saved at the risk of his life , at the very instant that the island had been engulfed , and which he now faithfully handed to the engineer .",10,"('risk', 'péril', 'peligrar')",2
"the suspicion that it was she had crossed the mind of d’artagnan when she drew the handkerchief from her pocket ; but what probability was there that mme . bonacieux , who had sent for m. laporte in order to be reconducted to the louvre , should be running about the streets of paris at half past eleven at night , at the risk of being abducted a second time ?",63,"('risk', 'risque', 'riesgo')",1
""" good heavens ! "" exclaimed pencroft , "" i for one would never risk myself in such a craft .",14,"('risk', 'hasarder', 'comprometer')",3
"and this reaction was n't long in coming . for three months , during which each day seemed like a century , the abraham lincoln plowed all the northerly seas of the pacific , racing after whales sighted , abruptly veering off course , swerving sharply from one tack to another , stopping suddenly , putting on steam and reversing engines in quick succession , at the risk of stripping its gears , and it did n't leave a single point unexplored from the beaches of japan to the coasts of america . and we found nothing ! nothing except an immenseness of deserted waves ! nothing remotely resembling a gigantic narwhale , or an underwater islet , or a derelict shipwreck , or a runaway reef , or anything the least bit unearthly !",67,"('risk', 'risque', 'riesgo')",1
"so that was the story of dorian gray 's parentage . crudely as it had been told to him , it had yet stirred him by its suggestion of a strange , almost modern romance . a beautiful woman risking everything for a mad passion . a few wild weeks of happiness cut short by a hideous , treacherous crime . months of voiceless agony , and then a child born in pain . the mother snatched away by death , the boy left to solitude and the tyranny of an old and loveless man .",39,"('risk', 'risquer', 'arriesgar')",0
"our gascon promised this without risk , for he knew all that was meant .",5,"('risk', 'risque', 'peligrar')",4
""" there is no risk at all in it , captain , "" replied pencroft .",4,"('risk', 'risque', 'riesgo')",1
"all right , i admit it : i did wish to run this risk !",13,"('risk', 'risquer', 'riesgo')",5
""" that 's impossible , for she would risk running aground and being lost ! """,8,"('risk', 'risquer', 'arriesgar')",0
"in fact , eruptions are not unfrequently accompanied by earthquakes ; and an island of the nature of lincoln island , formed of substances so varied , basalt on one side , granite on the other , lava on the north , rich soil on the south , substances which consequently could not be firmly attached to each other , would be exposed to the risk of disintegration .",65,"('risk', 'risque', 'riesgo')",1
are our lackeys sufficiently devoted to us to risk their lives for us ?,8,"('risk', 'risquer', 'arriesgar')",0
"nevertheless , if the affairs of our family are arranged , as we hope they will be , i believe she will run the risk of being damned , and will return to those she regrets , particularly as she knows they are always thinking of her .",24,"('risk', 'risque', 'riesgo')",1
"he knows well that it would risk the brig , if the sea got up ever so little !",6,"('risk', 'risquer', 'arriesgar')",0
""" i am more to blame than you , watson . in order to have my case well rounded and complete , i have thrown away the life of my client . it is the greatest blow which has befallen me in my career . but how could i know -- how could l know -- that he would risk his life alone upon the moor in the face of all my warnings ? """,59,"('risk', 'risquer', 'arriesgar')",0
"to save our boy you have risked your life ! """,6,"('risk', 'risquer', 'arriesgar')",0
"the project was a bold one , full of difficulty , perhaps impracticable . mr . fogg was going to risk life , or at least liberty , and therefore the success of his tour . but he did not hesitate , and he found in sir francis cromarty an enthusiastic ally .",20,"('risk', 'risquer', 'arriesgar')",0
""" however , "" resumed the guide , "" it is certain , not only that we shall risk our lives , but horrible tortures , if we are taken . """,18,"('risk', 'risquer', 'arriesgar')",0
"brave , rash , and enterprising , this was not the first time he had risked his life in such attempts . he had learned that the pretended message from anne of austria , upon the faith of which he had come to paris , was a snare ; but instead of regaining england , he had , abusing the position in which he had been placed , declared to the queen that he would not depart without seeing her .",15,"('risk', 'risquer', 'arriesgar')",0
"among some unimportant papers he found the following letter , that which he had sought at the risk of his life :",17,"('risk', 'risque', 'riesgo')",1
""" yes , "" replied anne , "" but you know why and how i see you ; because , insensible to all my sufferings , you persist in remaining in a city where , by remaining , you run the risk of your life , and make me run the risk of my honor . i see you to tell you that everything separates us -- the depths of the sea , the enmity of kingdoms , the sanctity of vows .",41,"('risk', 'risque', 'riesgo')",1
""" yes , "" replied anne , "" but you know why and how i see you ; because , insensible to all my sufferings , you persist in remaining in a city where , by remaining , you run the risk of your life , and make me run the risk of my honor . i see you to tell you that everything separates us -- the depths of the sea , the enmity of kingdoms , the sanctity of vows .",51,"('risk', 'risque', 'riesgo')",1
"that time you had nothing to say to me ; i had risked my life and favor to see you but for a second . i did not even touch your hand , and you pardoned me on seeing me so submissive and so repentant . """,12,"('risk', 'risquer', 'arriesgar')",0
