text,ind
""" let me go,--let me go to millcote too ! "" she cried . "" mr . rochester wo n't : though there is so much room in the new carriage . beg him to let me go mademoiselle . """,26
""" let her come to me , "" i entreated : "" she will , perhaps , trouble you , sir : there is plenty of room on this side . """,26
"i was left alone . but how was it possible for a man of my undecided turn of mind to argue successfully with so irascible a person as the professor ? with this persuasion i was hurrying away to my own little retreat upstairs , when the street door creaked upon its hinges ; heavy feet made the whole flight of stairs to shake ; and the master of the house , passing rapidly through the dining - room , threw himself in haste into his own sanctum . but on his rapid way he had found time to fling his hazel stick into a corner , his rough broadbrim upon the table , and these few emphatic words at his nephew :",78
""" you shall share our knowledge before you leave this room , sir henry . i promise you that , "" said sherlock holmes . "" we will confine ourselves for the present with your permission to this very interesting document , which must have been put together and posted yesterday evening . have you yesterday 's times , watson ? """,10
but helen was ill at present : for some weeks she had been removed from my sight to i knew not what room upstairs .,22
"an odour of camphor and burnt vinegar warned me when i came near the fever room : and i passed its door quickly , fearful lest the nurse who sat up all night should hear me .",15
miss temple was not to be seen : i knew afterwards that she had been called to a delirious patient in the fever - room .,24
"however , one chance of rescue existed , and this chance was discussed one day on the first week of april , when the colonists were gathered together in the dining - room of granite house .",32
"feverish with vain labour , i got up and took a turn in the room ; undrew the curtain , noted a star or two , shivered with cold , and again crept to bed .",14
"i came into this room , and the sight of the empty chair and fireless hearth chilled me .",4
"i was passing the back - parlour or teachers ' sitting - room , the door of which was half open , to go to the kitchen , when some one ran out--",12
""" and yours ! "" replied the indefatigable professor , entering the dining - room .",14
""" i 'll see it carried into your room , "" she said , and bustled out .",8
"she returned ; with her own hands cleared her knitting apparatus and a book or two from the table , to make room for the tray which leah now brought , and then herself handed me the refreshments .",22
"at last , liveried in the costume of the age , reality entered the room in the shape of a servant to tell the duchess that her carriage was waiting . she wrung her hands in mock despair . "" how annoying ! "" she cried . "" i must go . i have to call for my husband at the club , to take him to some absurd meeting at willis 's rooms , where he is going to be in the chair . if i am late he is sure to be furious , and i could n't have a scene in this bonnet . it is far too fragile . a harsh word would ruin it . no , i must go , dear agatha . good- bye , lord henry , you are quite delightful and dreadfully demoralizing . i am sure i do n't know what to say about your views . you must come and dine with us some night . tuesday ? are you disengaged tuesday ? """,14
"at last , liveried in the costume of the age , reality entered the room in the shape of a servant to tell the duchess that her carriage was waiting . she wrung her hands in mock despair . "" how annoying ! "" she cried . "" i must go . i have to call for my husband at the club , to take him to some absurd meeting at willis 's rooms , where he is going to be in the chair . if i am late he is sure to be furious , and i could n't have a scene in this bonnet . it is far too fragile . a harsh word would ruin it . no , i must go , dear agatha . good- bye , lord henry , you are quite delightful and dreadfully demoralizing . i am sure i do n't know what to say about your views . you must come and dine with us some night . tuesday ? are you disengaged tuesday ? """,73
""" ah ! that is very nice , and very wrong of you , "" she cried ; "" so mind you come "" ; and she swept out of the room , followed by lady agatha and the other ladies . when lord henry had sat down again , mr . erskine moved round , and taking a chair close to him , placed his hand upon his arm .",31
""" well , then , "" i said , "" i am forced to admit that saknussemm 's sentence is clear , and leaves no room for doubt . i will even allow that the document bears every mark and evidence of authenticity . that learned philosopher did get to the bottom of sneffels , he has seen the shadow of scartaris touch the edge of the crater before the kalends of july ; he may even have heard the legendary stories told in his day about that crater reaching to the centre of the world ; but as for reaching it himself , as for performing the journey , and returning , if he ever went , i say no -- he never , never did that . """,25
"she took her candle , and i followed her from the room .",11
""" now , gentlemen , "" said d’artagnan , "" go up to your room again ; and in ten minutes , i will answer for it , you shall have all you desire . """,14
""" i dare say , my dear , "" said lord henry , shutting the door behind her as , looking like a bird of paradise that had been out all night in the rain , she flitted out of the room , leaving a faint odour of frangipanni . then he lit a cigarette and flung himself down on the sofa .",41
"there fermented in that sublimated brain plans so vast , projects so tumultuous , that there remained no room for any capricious or material love -- that sentiment which is fed by leisure and grows with corruption .",18
"after breakfast , adele and i withdrew to the library , which room , it appears , mr . rochester had directed should be used as the schoolroom .",12
"in this room , too , there was a cabinet piano , quite new and of superior tone ; also an easel for painting and a pair of globes .",2
""" yes ; this is the dining - room . i have just opened the window , to let in a little air and sunshine ; for everything gets so damp in apartments that are seldom inhabited ; the drawing - room yonder feels like a vault . """,8
""" yes ; this is the dining - room . i have just opened the window , to let in a little air and sunshine ; for everything gets so damp in apartments that are seldom inhabited ; the drawing - room yonder feels like a vault . """,41
""" why , miss eyre , though mr . rochester 's visits here are rare , they are always sudden and unexpected ; and as i observed that it put him out to find everything swathed up , and to have a bustle of arrangement on his arrival , i thought it best to keep the rooms in readiness . """,56
"we mounted the first staircase , passed up the gallery , proceeded to the third storey : the low , black door , opened by mr . rochester 's master - key , admitted us to the tapestried room , with its great bed and its pictorial cabinet .",38
"a square balustraded gallery ran round the top of the old hall , approached by a double stair . from this central point two long corridors extended the whole length of the building , from which all the bedrooms opened . my own was in the same wing as baskerville 's and almost next door to it . these rooms appeared to be much more modern than the central part of the house , and the bright paper and numerous candles did something to remove the sombre impression which our arrival had left upon my mind .",59
""" how horrid you are ! she is all the great heroines of the world in one . she is more than an individual . you laugh , but i tell you she has genius . i love her , and i must make her love me . you , who know all the secrets of life , tell me how to charm sibyl vane to love me ! i want to make romeo jealous . i want the dead lovers of the world to hear our laughter and grow sad . i want a breath of our passion to stir their dust into consciousness , to wake their ashes into pain . my god , harry , how i worship her ! "" he was walking up and down the room as he spoke . hectic spots of red burned on his cheeks . he was terribly excited .",131
"as he left the room , lord henry 's heavy eyelids drooped , and he began to think . certainly few people had ever interested him so much as dorian gray , and yet the lad 's mad adoration of some one else caused him not the slightest pang of annoyance or jealousy . he was pleased by it . it made him a more interesting study . he had been always enthralled by the methods of natural science , but the ordinary subject - matter of that science had seemed to him trivial and of no import .",4
