text,ind,sense,label
"they then set to work , beginning with the most difficult thing , for , if they failed in that , it would be useless to manufacture the battery and other accessories .",2,"('set', 'mettre', 'poner')",0
"they set out accordingly about ten o'clock in the morning , herbert confident , neb joyous , pencroft murmuring aside,--",1,"('set', 'partir', 'partir')",1
"planchet and grimaud appeared in their turn , leading their masters ’ steeds . d’artagnan and athos put themselves into saddle with their companions , and all four set forward ; athos upon a horse he owed to a woman , aramis on a horse he owed to his mistress , porthos on a horse he owed to his procurator ’s wife , and d’artagnan on a horse he owed to his good fortune -- the best mistress possible .",28,"('set', 'mettre', 'poner')",0
"take this ring ; raise money with it , and let your husband set out . """,13,"('set', 'partir', 'partir')",1
at six o'clock in the morning the little band set out .,9,"('set', 'mettre', 'poner')",0
it was nearly eight o'clock when cyrus harding and herbert set foot on the highest ridge of the mountain at the summit of the cone .,10,"('set', 'mettre', 'poner')",0
"kitty , who was to set out that evening for tours , was waiting in the next chamber .",5,"('set', 'partir', 'partir')",1
""" no , my dear spilett ; but you see that if it is certain that a human being set foot on the island , it appears no less certain that he has now left it . """,19,"('set', 'mettre', 'poner')",0
"d’artagnan set out with his four companions , and followed the trench ; the two guards marched abreast with him , and the two soldiers followed behind .",1,"('set', 'partir', 'partir')",1
"it is useless to say that since the enclosing of the plateau had been completed , master jup had been set at liberty .",20,"('set', 'mettre', 'poner')",0
i set out .,1,"('set', 'mettre', 'poner')",0
"ayrton , compelled to force it open , set to work .",8,"('set', 'mettre', 'poner')",0
"planchet , grimaud , mousqueton , and bazin set off at full speed .",8,"('set', 'partir', 'partir')",1
"d’artagnan will give each of us his instructions . i will go by the way of boulogne to clear the way ; athos will set out two hours after , by that of amiens ; aramis will follow us by that of noyon ; as to d’artagnan , he will go by what route he thinks is best , in planchet ’s clothes , while planchet will follow us like d’artagnan , in the uniform of the guards . """,24,"('set', 'partir', 'partir')",1
"each one , stretching out his hand to the bag , took his seventy - five pistoles , and made his preparations to set out at the time appointed .",23,"('set', 'partir', 'partir')",1
"d’artagnan and planchet did not require twice bidding ; they unfastened the two horses that were waiting at the door , leaped upon them , buried their spurs in their sides , and set off at full gallop .",33,"('set', 'partir', 'partir')",1
"with regard to athos , he leaped lightly into the saddle and set out at full gallop ; only instead of following the road , he went across the fields , urging his horse to the utmost and stopping occasionally to listen .",12,"('set', 'partir', 'partir')",1
"as to the second vessel , we will tell hereafter whom it carried , and how it set sail .",17,"('set', 'partir', 'partir')",1
"the lackeys were sent on before with the baggage , and they set out on the morning of the sixteenth .",12,"('set', 'partir', 'partir')",1
"still further , athos obtained of m. de treville six days instead of four , and introduced into these six days two more nights -- for they set out on the twenty - fourth at five o’clock in the evening , and as a further kindness m. de treville post - dated the leave to the morning of the twenty - fifth .",27,"('set', 'partir', 'partir')",1
"this said , captain nemo headed to the hatch and disappeared down the ladder . i followed him and went back to the main lounge . the propeller was instantly set in motion , and the log gave our speed as twenty miles per hour .",30,"('set', 'mettre', 'poner')",0
""" monseigneur , let your eminence be reassured . his grace the duke of buckingham will not set out for france .",17,"('set', 'partir', 'partir')",1
"i repaired to my stateroom . the captain and his chief officer stayed on the platform . the propeller was set in motion . the nautilus swiftly retreated , putting us outside the range of the vessel 's shells . but the chase continued , and captain nemo was content to keep his distance .",20,"('set', 'mettre', 'poner')",0
""" exactly . he retained it in his hand after using it to set the hound upon the track . he fled when he knew the game was up , still clutching it . and he hurled it away at this point of his flight . we know at least that he came so far in safety . """,13,"('set', 'mettre', 'poner')",0
"laporte assured himself , by having it twice repeated , of the accurate address , and set off at a run .",16,"('set', 'partir', 'partir')",1
"the sailor and his companions set off on the 10th of november , after dinner , well armed .",5,"('set', 'partir', 'partir')",1
an hour afterward rochefort set out at a grand gallop ; five hours after that he passed through arras .,4,"('set', 'partir', 'partir')",1
""" still more ; as soon as monsieur had left and disappeared round the corner of the street , monsieur bonacieux took his hat , shut his door , and set off at a quick pace in an opposite direction . """,30,"('set', 'mettre', 'poner')",0
"planchet seeing there was no longer any hope of making his master renounce his project , heaved a profound sigh and set to work to groom the third horse .",21,"('set', 'mettre', 'poner')",0
"it was decided that planchet should set out the next day , at eight o’clock in the morning , in order , as he had said , that he might during the night learn the letter by heart .",6,"('set', 'partir', 'partir')",1
"mounted on an excellent horse , which he was to leave at the end of twenty leagues in order to take the post , planchet set off at a gallop , his spirits a little depressed by the triple promise made him by the musketeers , but otherwise as light - hearted as possible .",25,"('set', 'partir', 'partir')",1
"bazin set out the next day for tours , and was allowed eight days for performing his commission .",1,"('set', 'partir', 'partir')",1
"it was the first time that the settlers had set foot on the right bank of the mercy , and ventured into the midst of those gigantic and superb coniferae now sprinkled over with snow .",9,"('set', 'mettre', 'poner')",0
"immediately , without any order being given or his place of destination indicated , the coachman set off at a rapid pace , and plunged into the streets of the city .",16,"('set', 'partir', 'partir')",1
they embraced each other with a flood of tears . candide charged him not to forget the old woman . cacambo set out the same day . this cacambo was a very honest fellow .,21,"('set', 'partir', 'partir')",1
"athos set the lackeys to work first because , since these men had been in the service of himself and his friends he had discovered in each of them different and essential qualities . then , lackeys who ask questions inspire less mistrust than masters , and meet with more sympathy among those to whom they address themselves .",1,"('set', 'mettre', 'poner')",0
""" wait for me , "" cried he , "" i will soon be back , "" and he set off at a gallop .",19,"('set', 'partir', 'partir')",1
they set to work by choosing timber for the frame and machinery of the mill .,1,"('set', 'mettre', 'poner')",0
the next day pencroft set to work .,4,"('set', 'mettre', 'poner')",0
"then he placed her in the boat , and as he was going to set foot in it himself , athos handed him a sum of silver .",14,"('set', 'mettre', 'poner')",0
""" thanks , my friend , "" replied the engineer ; "" wait another hour or two , and then we will set out .",22,"('set', 'partir', 'partir')",1
