text,ind
""" i am afraid i never shall do that . """,6
""" we shall think you what you prove yourself to be , my child .",2
""" shall i , miss temple ? """,1
"the white rabbit put on his spectacles . ' where shall i begin , please your majesty ? ' he asked .",10
""" i know something of mr . lloyd ; i shall write to him ; if his reply agrees with your statement , you shall be publicly cleared from every imputation ; to me , jane , you are clear now . """,10
""" i know something of mr . lloyd ; i shall write to him ; if his reply agrees with your statement , you shall be publicly cleared from every imputation ; to me , jane , you are clear now . """,24
"there is a reason for everything unaccountable which has happened here , and that reason i shall discover .",16
""" your majesty ’s orders shall be executed ; but-- """,5
""" i shall probably kill you the fourth , "" said he to him , holding out his hand to assist him to rise .",2
""" because , without intending it , i have put into it some expression of all this curious artistic idolatry , of which , of course , i have never cared to speak to him . he knows nothing about it . he shall never know anything about it . but the world might guess it , and i will not bare my soul to their shallow prying eyes . my heart shall never be put under their microscope . there is too much of myself in the thing , harry -- too much of myself ! """,43
""" because , without intending it , i have put into it some expression of all this curious artistic idolatry , of which , of course , i have never cared to speak to him . he knows nothing about it . he shall never know anything about it . but the world might guess it , and i will not bare my soul to their shallow prying eyes . my heart shall never be put under their microscope . there is too much of myself in the thing , harry -- too much of myself ! """,72
""" yes , "" he replied , "" absolutely sans mademoiselle ; for i am to take mademoiselle to the moon , and there i shall seek a cave in one of the white valleys among the volcano - tops , and mademoiselle shall live with me there , and only me . """,25
""" yes , "" he replied , "" absolutely sans mademoiselle ; for i am to take mademoiselle to the moon , and there i shall seek a cave in one of the white valleys among the volcano - tops , and mademoiselle shall live with me there , and only me . """,43
""" i hate them for it , "" cried hallward . "" an artist should create beautiful things , but should put nothing of his own life into them . we live in an age when men treat art as if it were meant to be a form of autobiography . we have lost the abstract sense of beauty . some day i will show the world what it is ; and for that reason the world shall never see my portrait of dorian gray . """,77
""" i shall gather manna for her morning and night : the plains and hillsides in the moon are bleached with manna , adele . """,2
""" yes , duke , yes , i know you are very indulgent toward the queen , too indulgent , perhaps ; we shall have occasion , i warn you , at some future period to speak of that . """,23
""" whenever it shall please your majesty ; but i shall be always happy and proud , sire , to sacrifice myself to the harmony which i desire to see reign between you and the queen of france . """,3
""" i shall be grateful to you all my life . "" "" very well .",2
""" oh , monsieur , be assured that i shall be entirely devoted to the person who will give me the means of quitting paris . """,9
""" we have all the necessary materials for making a battery , and the most difficult thing will be to stretch the wires , but by means of a drawplate i think we shall manage it . """,33
""" well , after that , "" returned the sailor , "" i shall never despair of seeing ourselves some day rolling along on a railway ! """,13
"we shall meet again in better days . """,1
""" we shall find it some day ! "" said gideon spilett .",2
"' put it , ' she said , ' on the fourth finger of my left hand , and i am yours , and you are mine ; and we shall leave earth , and make our own heaven yonder . '",30
"the painter turned to his servant , who stood blinking in the sunlight . "" ask mr . gray to wait , parker : i shall be in in a few moments . "" the man bowed and went up the walk .",25
""" you shall share our knowledge before you leave this room , sir henry . i promise you that , "" said sherlock holmes . "" we will confine ourselves for the present with your permission to this very interesting document , which must have been put together and posted yesterday evening . have you yesterday 's times , watson ? """,2
"the chancellor entered , half smiling , half blushing . as we shall probably meet with him again in the course of our history , it may be well for our readers to be made at once acquainted with him .",12
