text,ind
""" but john reed knocked me down , and my aunt shut me up in the red - room . """,11
"at the end of the library a large door , also shut , was opened by the engineer .",11
""" the devil 's agents may be of flesh and blood , may they not ? there are two questions waiting for us at the outset . the one is whether any crime has been committed at all ; the second is , what is the crime and how was it committed ? of course , if dr . mortimer 's surmise should be correct , and we are dealing with forces outside the ordinary laws of nature , there is an end of our investigation . but we are bound to exhaust all other hypotheses before falling back upon this one . i think we 'll shut that window again , if you do n't mind . it is a singular thing , but i find that a concentrated atmosphere helps a concentration of thought . i have not pushed it to the length of getting into a box to think , but that is the logical outcome of my convictions . have you turned the case over in your mind ? """,107
""" he has gone , "" said he , "" and the house door is shut . """,15
"mary opened the door for me , and shut it behind me .",8
"this was the cart entering the circle of light , and cyrus harding could hear the noise made by the door , as his companions shut it and fastened the interior bars .",25
""" yes ; and when they go , i shall return to the parsonage at morton : hannah will accompany me ; and this old house will be shut up . """,28
"the rest of the day was passed in calculations and in conversations . i remained a steadfast adherent of the opinions of professor liedenbrock , and i envied the stolid indifference of hans , who , without going into causes and effects , went on with his eyes shut wherever his destiny guided him .",48
"however , the revolution which appeared upon his countenance was so visible that bonacieux was terrified at it , and he endeavored to draw back a step or two ; but as he was standing before the half of the door which was shut , the obstacle compelled him to keep his place .",43
""" my uncle reed is in heaven , and can see all you do and think ; and so can papa and mama : they know how you shut me up all day long , and how you wish me dead . """,28
""" too cold for monsieur ? "" asked his valet , putting an omelette on the table . "" i shut the window ? """,20
""" see , "" he went on , both asking the questions and supplying the answers . "" is n't it a beauty ? yes ; splendid ! did you ever see such a binding ? does n't the book open easily ? yes ; it stops open anywhere . but does it shut equally well ? yes ; for the binding and the leaves are flush , all in a straight line , and no gaps or openings anywhere . and look at its back , after seven hundred years . why , bozerian , closs , or purgold might have been proud of such a binding ! """,53
"while rapidly making these comments my uncle kept opening and shutting the old tome . i really could do no less than ask a question about its contents , although i did not feel the slightest interest .",10
"when the chancellor had opened and shut twenty times the drawers of the secretaries , it became necessary , whatever hesitation he might experience -- it became necessary , i say , to come to the conclusion of the affair ; that is to say , to search the queen herself .",6
"i shut the closet to conceal the strange , wraith - like apparel it contained ; which , at this evening hour -- nine o'clock -- gave out certainly a most ghostly shimmer through the shadow of my apartment .",1
"i opened the door , passed out , shut it softly . dim dawn glimmered in the yard .",8
"the great gates were closed and locked ; but a wicket in one of them was only latched . through that i departed : it , too , i shut ; and now i was out of thornfield .",29
milady smiled with joy . she was free now to give way to her transports without being observed . she traversed her chamber with the excitement of a furious maniac or of a tigress shut up in an iron cage .,34
"i lingered ; the moon shut herself wholly within her chamber , and drew close her curtain of dense cloud : the night grew dark ; rain came driving fast on the gale .",5
""" that little creek , shut in by rocks , seems to me to be just the harbor we want . """,5
"i will embrace your knees ! you shall shut the door that you may be certain i contemplate no injury to you ! my god ! to you -- the only just , good , and compassionate being i have met with !",8
"he further gave me leave to get into the inside , as the vehicle was empty : i entered , was shut in , and it rolled on its way .",21
"but in the midst of this snow - storm , as terrible as if it had been produced in some polar country , neither cyrus harding nor his companions could , notwithstanding their wish for it , venture forth , and they remained shut up for five days , from the 20th to the 25th of august .",43
""" nothing , nothing , only shut the window .",6
"at noon the next day , a man mounted the bridge to ascertain the vessel 's position . it might be thought that this was captain speedy . not the least in the world . it was phileas fogg , esquire . as for captain speedy , he was shut up in his cabin under lock and key , and was uttering loud cries , which signified an anger at once pardonable and excessive .",49
"two hours after leaving the nautilus , we had cleared the timberline , and 100 feet above our heads stood the mountain peak , forming a dark silhouette against the brilliant glare that came from its far slope . petrified shrubs rambled here and there in sprawling zigzags . fish rose in a body at our feet like birds startled in tall grass . the rocky mass was gouged with impenetrable crevices , deep caves , unfathomable holes at whose far ends i could hear fearsome things moving around . my blood would curdle as i watched some enormous antenna bar my path , or saw some frightful pincer snap shut in the shadow of some cavity ! a thousand specks of light glittered in the midst of the gloom . they were the eyes of gigantic crustaceans crouching in their lairs , giant lobsters rearing up like spear carriers and moving their claws with a scrap - iron clanking , titanic crabs aiming their bodies like cannons on their carriages , and hideous devilfish intertwining their tentacles like bushes of writhing snakes .",110
"as to the poisoner , they had heard no tidings of her whatever , only that she must have made her escape through the garden , on the sand of which her footsteps could be traced , and the door of which had been found shut .",45
""" the lady had a cavalier shut up with her , "" said athos , "" but as notwithstanding the noise , this cavalier did not show himself , it is to be presumed that he is a coward . """,6
