text,ind
""" water ! "" cried pencroft , "" water as fuel for steamers and engines ! water to heat water ! """,12
"that favourable moment arrived only with six o'clock ; when my uncle , myself , the guide , two other passengers and the four horses , trusted ourselves to a somewhat fragile raft . accustomed as i was to the swift and sure steamers on the elbe , i found the oars of the rowers rather a slow means of propulsion . it took us more than an hour to cross the fiord ; but the passage was effected without any mishap .",43
"they entered the steamer office and secured cabins for four persons . the clerk , as he gave them the tickets , informed them that , the repairs on the carnatic having been completed , the steamer would leave that very evening , and not next morning , as had been announced .",3
"they entered the steamer office and secured cabins for four persons . the clerk , as he gave them the tickets , informed them that , the repairs on the carnatic having been completed , the steamer would leave that very evening , and not next morning , as had been announced .",36
"these were the only words he uttered during the journey . aouda , cosily packed in furs and cloaks , was sheltered as much as possible from the attacks of the freezing wind . as for passepartout , his face was as red as the sun 's disc when it sets in the mist , and he laboriously inhaled the biting air . with his natural buoyancy of spirits , he began to hope again . they would reach new york on the evening , if not on the morning , of the 11th , and there was still some chances that it would be before the steamer sailed for liverpool .",107
"mr . fogg learned all this in consulting his bradshaw , which gave him the daily movements of the trans - atlantic steamers .",22
"mr . fogg was quite ready . under his arm might have been observed a red - bound copy of bradshaw 's continental railway steam transit and general guide , with its timetables showing the arrival and departure of steamers and railways . he took the carpet - bag , opened it , and slipped into it a goodly roll of bank of england notes , which would pass wherever he might go .",39
""" so did i , madam , and i am excessively disappointed . the carnatic , its repairs being completed , left hong kong twelve hours before the stated time , without any notice being given ; and we must now wait a week for another steamer . """,46
"during the first days , they went along smoothly enough . the sea was not very unpropitious , the wind seemed stationary in the north - east , the sails were hoisted , and the henrietta ploughed across the waves like a real trans - atlantic steamer .",46
"when cyrus harding and his companions recovered consciousness , thanks to the attention lavished upon them , they found themselves in the cabin of a steamer , without being able to comprehend how they had escaped death .",25
