text,ind
"not that i ever suffered much from them ; i took care to turn the tables . what tricks theodore and i used to play on our miss wilsons , and mrs . greys , and madame jouberts ! mary was always too sleepy to join in a plot with spirit .",4
""" and you have reason , for she is much to be pitied . imprisonment , menaces , ill treatment - she has suffered everything .",23
i will suffer no competitor near the throne ; i shall exact an undivided homage : his devotions shall not be shared between me and the shape he sees in his mirror .,2
"d’artagnan was in a dolorous situation which he had not foreseen . jealousy gnawed his heart ; and he suffered almost as much as poor kitty , who at that very moment was crying in the next chamber .",19
"yet it was watching him , with its beautiful marred face and its cruel smile . its bright hair gleamed in the early sunlight . its blue eyes met his own . a sense of infinite pity , not for himself , but for the painted image of himself , came over him . it had altered already , and would alter more . its gold would wither into grey . its red and white roses would die . for every sin that he committed , a stain would fleck and wreck its fairness . but he would not sin . the picture , changed or unchanged , would be to him the visible emblem of conscience . he would resist temptation . he would not see lord henry any more -- would not , at any rate , listen to those subtle poisonous theories that in basil hallward 's garden had first stirred within him the passion for impossible things . he would go back to sibyl vane , make her amends , marry her , try to love her again . yes , it was his duty to do so . she must have suffered more than he had . poor child ! he had been selfish and cruel to her . the fascination that she had exercised over him would return . they would be happy together . his life with her would be beautiful and pure .",196
"it was my only word of reproach , for i knew how much he must be suffering in seeking me , wherever he might be .",16
"he conjured the evil spirit with abundance of prayers offered up by the monks . but the devil does not suffer himself to be easily dispossessed from a place in which he has fixed his garrison . in proportion as they redoubled the exorcisms he redoubled the temptations ; so that day and night the bell was ringing full swing , announcing the extreme desire for mortification which the penitent experienced .",20
"happily , this enclosure , sheltered by the southeastern spur of mount franklin , did not greatly suffer from the violence of the hurricanes , which spared its trees , sheds , and palisades ; but the poultry - yard on prospect heights , being directly exposed to the gusts of wind from the east , suffered considerable damage .",17
"happily , this enclosure , sheltered by the southeastern spur of mount franklin , did not greatly suffer from the violence of the hurricanes , which spared its trees , sheds , and palisades ; but the poultry - yard on prospect heights , being directly exposed to the gusts of wind from the east , suffered considerable damage .",56
"but this hypothesis of a war machine collapsed in the face of formal denials from the various governments . since the public interest was at stake and transoceanic travel was suffering , the sincerity of these governments could not be doubted . besides , how could the assembly of this underwater boat have escaped public notice ? keeping a secret under such circumstances would be difficult enough for an individual , and certainly impossible for a nation whose every move is under constant surveillance by rival powers .",30
"hope revived in the hearts of the colonists , who had , in this fourth year of their sojourn on lincoln island , suffered so many trials .",23
""" but as you are rich , jane , you have now , no doubt , friends who will look after you , and not suffer you to devote yourself to a blind lameter like me ? """,25
"still bright on clouds of suffering dim shines that soft , solemn joy ; nor care i now , how dense and grim disasters gather nigh .",5
"alas , would i could weep like you ! "" and he drew away his friend , as affectionate as a father , as consoling as a priest , noble as a man who has suffered much .",35
""" i think i learned you had suffered persecutions from the cardinal , "" continued milady ; "" that would have been another motive for sympathy between us . """,7
""" not too much so , "" replied d’artagnan , with a bow that was not deficient in dignity , "" since you do me the honor to draw a sword with me while suffering from a wound which is very inconvenient . """,34
"i reentered my stateroom , where ned and conseil were waiting silently . captain nemo filled me with insurmountable horror . whatever he had once suffered at the hands of humanity , he had no right to mete out such punishment . he had made me , if not an accomplice , at least an eyewitness to his vengeance ! even this was intolerable .",25
"runic letters appearing to my mind to be an invention of the learned to mystify this poor world , i was not sorry to see my uncle suffering the pangs of mystification . at least , so it seemed to me , judging from his fingers , which were beginning to work with terrible energy .",27
but i was not jealous : or very rarely;--the nature of the pain i suffered could not be explained by that word . miss ingram was a mark beneath jealousy : she was too inferior to excite the feeling .,14
"also , neb and pencroft having gone to examine into the state of things at port balloon , and reported that the stock of cloth would suffer no damage in the grotto where it was stored , it was decided that the work at prospect heights should not be discontinued .",26
"here is what those circumstances entailed . two miles to starboard lay gueboroa island , its coastline curving north to west like an immense arm . to the south and east , heads of coral were already on display , left uncovered by the ebbing waters . we had run aground at full tide and in one of those seas whose tides are moderate , an inconvenient state of affairs for floating the nautilus off . however , the ship had n't suffered in any way , so solidly joined was its hull . but although it could neither sink nor split open , it was in serious danger of being permanently attached to these reefs , and that would have been the finish of captain nemo 's submersible .",82
