text,ind,sense,label
""" yes , i know that he meant to afford you that agreeable surprise . """,13,"('surprise', 'surprise', 'sorpresa')",0
"they discovered i could draw : their pencils and colour - boxes were immediately at my service . my skill , greater in this one point than theirs , surprised and charmed them .",29,"('surprise', 'surprendre', 'sorprender')",1
"then harding raised his voice , and to the extreme surprise of his companions , he uttered these words,--",10,"('surprise', 'surprise', 'sorpresa')",0
"there was near by what the astronomers would call a disturbing star , which might have produced an agitation in this gentleman 's heart . but no ! the charms of aouda failed to act , to passepartout 's great surprise ; and the disturbances , if they existed , would have been more difficult to calculate than those of uranus which led to the discovery of neptune .",40,"('surprise', 'surprise', 'sorpresa')",0
"so things happened on board that were quite odd to say the least , things never to be seen by people not placing themselves beyond society 's laws ! among all the surprises the future had in store for me , this would not be the mildest .",32,"('surprise', 'surprise', 'sorpresa')",0
"the reporter hunted again in the pockets of his trousers , waistcoat , and great - coat , and at last to pencroft 's great joy , no less to his extreme surprise , he felt a tiny piece of wood entangled in the lining of his waistcoat .",32,"('surprise', 'surprise', 'sorpresa')",0
""" we must close in on him rapidly , for he is said to be a desperate fellow . we shall take him by surprise and have him at our mercy before he can resist . """,24,"('surprise', 'surprise', 'sorpresa')",0
d’artagnan uttered an exclamation of surprise and indignation .,5,"('surprise', 'surprise', 'sorpresa')",0
""" yes , "" continued athos , "" four times only ; once at the house of monsieur crequy ; another time at my own house in the country , in my chateau at -- when i had a chateau ; a third time at monsieur de treville ’s where it surprised us all ; and the fourth time at a cabaret , where it fell to my lot , and where i lost a hundred louis and a supper on it . """,51,"('surprise', 'surprendre', 'sorprender')",1
the three friends uttered a cry of surprise .,7,"('surprise', 'surprise', 'sorpresa')",0
"the procurator had without doubt been warned of his visit , as he expressed no surprise at the sight of porthos , who advanced toward him with a sufficiently easy air , and saluted him courteously .",15,"('surprise', 'surprise', 'sorpresa')",0
"thus encouraged , our scientific friend drew his papers from his pocket , and presented the whole case as he had done upon the morning before . sir henry baskerville listened with the deepest attention , and with an occasional exclamation of surprise .",42,"('surprise', 'surprise', 'sorpresa')",0
""" better to put things at the worst at first , "" replied the engineer , "" and reserve the best for a surprise . """,23,"('surprise', 'surprise', 'sorpresa')",0
"the young woman drew back , filled with surprise and terror .",8,"('surprise', 'surprise', 'sorpresa')",0
"but i could n't linger . captain nemo , on familiar terms with these dreadful animals , no longer minded them . we arrived at a preliminary plateau where still other surprises were waiting for me . there picturesque ruins took shape , betraying the hand of man , not our creator . they were huge stacks of stones in which you could distinguish the indistinct forms of palaces and temples , now arrayed in hosts of blossoming zoophytes , and over it all , not ivy but a heavy mantle of algae and fucus plants .",31,"('surprise', 'surprise', 'sorpresa')",0
""" how , sire ? "" cried the young queen , affecting surprise , "" you are giving me , then , two more : i shall have fourteen . """,12,"('surprise', 'surprise', 'sorpresa')",0
""" what are you doing ? "" asked milady , with surprise .",11,"('surprise', 'surprise', 'sorpresa')",0
"upon gaining this advantage d’artagnan was near uttering a cry of surprise ; it was not aramis who was conversing with the nocturnal visitor , it was a woman !",11,"('surprise', 'surprise', 'sorpresa')",0
during these two days harding busied himself in executing a project which would completely guard granite house against any surprise .,19,"('surprise', 'surprise', 'sorpresa')",0
