text,ind
i tiptoed down the path and stooped behind the low wall which surrounded the stunted orchard . creeping in its shadow i reached a point whence i could look straight through the uncurtained window .,12
"in the northeast there emerged two volcanic islands of unequal size , surrounded by a coral reef whose circuit measured forty miles . we were facing the island of vanikoro proper , to which captain dumont d'urville had given the name "" island of the search "" ; we lay right in front of the little harbor of vana , located in latitude 16 degrees 4 ' south and longitude 164 degrees 32 ' east . its shores seemed covered with greenery from its beaches to its summits inland , crowned by mt . kapogo , which is 476 fathoms high .",12
""" yes , "" he pursued with animation , "" this is a fossil man , the contemporary of the mastodons whose remains fill this amphitheatre . but if you ask me how he came there , how those strata on which he lay slipped down into this enormous hollow in the globe , i confess i can not answer that question . no doubt in the post - tertiary period considerable commotions were still disturbing the crust of the earth . the long - continued cooling of the globe produced chasms , fissures , clefts , and faults , into which , very probably , portions of the upper earth may have fallen . i make no rash assertions ; but there is the man surrounded by his own works , by hatchets , by flint arrow - heads , which are the characteristics of the stone age . and unless he came here , like myself , as a tourist on a visit and as a pioneer of science , i can entertain no doubt of the authenticity of his remote origin . """,126
"all the city was agitated by an extraordinary movement . four large vessels , recently built , had just been launched . at the end of the jetty , his clothes richly laced with gold , glittering , as was customary with him , with diamonds and precious stones , his hat ornamented with a white feather which drooped upon his shoulder , buckingham was seen surrounded by a staff almost as brilliant as himself .",66
"at the two stations the wire was wound round a magnet , that is to say , round a piece of soft iron surrounded with a wire .",23
"he flew , then , rather than walked , toward the convent of the carmes dechausses , or rather deschaux , as it was called at that period , a sort of building without a window , surrounded by barren fields -- an accessory to the preaux - clercs , and which was generally employed as the place for the duels of men who had no time to lose .",37
"many traces we found of him in the bog - girt island where he had hid his savage ally . a huge driving - wheel and a shaft half - filled with rubbish showed the position of an abandoned mine . beside it were the crumbling remains of the cottages of the miners , driven away no doubt by the foul reek of the surrounding swamp . in one of these a staple and chain with a quantity of gnawed bones showed where the animal had been confined . a skeleton with a tangle of brown hair adhering to it lay among the debris .",64
""" no , "" i said , "" no ; it is not through such a mass that a voice can be heard . i am surrounded by granite walls , and the loudest explosion could never be heard here ! this noise comes along the gallery . there must be here some remarkable exercise of acoustic laws ! """,26
"by the end of the first fortnight of december these works were finished , and prospect heights -- that is to say , a sort of irregular pentagon , having a perimeter of nearly four miles , surrounded by a liquid belt -- was completely protected from depredators of every description .",37
light whiskers bordering on red surrounded his face .,5
"but the surrounding ocean was deserted as far as the eye could reach , and the colonists must rely on themselves for regaining their native land .",2
"the fuel , made of well - prepared fagots , was laid on the ground and surrounded with several rows of dried bricks , which soon formed an enormous cube , to the exterior of which they contrived air - holes .",16
"meanwhile , the sailor attentively observed the disposition and nature of the surrounding country .",12
d’artagnan was again in the presence of the circe who had before surrounded him with her enchantments .,12
"he passed along the same corridor as before , crossed one court , then a second side of a building ; at length , at the gate of the entrance court he found a carriage surrounded by four guards on horseback .",35
"at one moment he advanced so far , that by the light from a revolver he was seen surrounded by five or six large colpeos , with whom he was coping with great coolness .",18
""" we 'll try to at least , by cutting through one of these walls surrounding us . """,15
"i climbed as far as the hatch . it was open . but instead of the broad daylight i was expecting , i found that i was surrounded by total darkness . where were we ? had i been mistaken ? was it still night ? no ! not one star was twinkling , and nighttime is never so utterly black .",27
"after ned was dressed , i reentered the lounge , whose windows had been uncovered ; stationed next to conseil , i examined the strata surrounding and supporting the nautilus .",25
at that unhappy period it was an important consideration to be surrounded by such men as treville .,11
"this meadow was to be surrounded by a palisade , high enough to prevent even the most agile animals from leaping over .",5
there was light enough to distinguish surrounding objects .,6
"the little house was surrounded by a low , quickset hedge , two or three feet high . athos sprang over the hedge and went up to the window , which was without shutters , but had the half - curtains closely drawn .",4
"after leaving this gulf we raised muscat for an instant , the most important town in the country of oman . i marveled at its strange appearance in the midst of the black rocks surrounding it , against which the white of its houses and forts stood out sharply . i spotted the rounded domes of its mosques , the elegant tips of its minarets , and its fresh , leafy terraces . but it was only a fleeting vision , and the nautilus soon sank beneath the dark waves of these waterways .",34
"the very cultivation surrounding it had disappeared . i had , by cross - ways and by- paths , once more drawn near the tract of moorland ; and now , only a few fields , almost as wild and unproductive as the heath from which they were scarcely reclaimed , lay between me and the dusky hill .",3
"for me at least , in the circumstances then surrounding me , there arose out of the pure abstractions which the hypochondriac contrived to throw upon his canvas , an intensity of intolerable awe , no shadow of which felt i ever yet in the contemplation of the certainly glowing yet too concrete reveries of fuseli .",9
"the streets at last became quiet , and the patrol , the officers of which , in their splendid costumes , and surrounded by their suites , passepartout thought seemed like ambassadors , succeeded the bustling crowd . each time a company passed , passepartout chuckled , and said to himself : "" good ! another japanese embassy departing for europe ! """,22
""" oh , i am not going to dive head foremost . but if all oceans are properly speaking but lakes , since they are encompassed by land , of course this internal sea will be surrounded by a coast of granite , and on the opposite shores we shall find fresh passages opening . """,36
"the nautilus passed over these lush , luxuriant depths with tremendous speed . near evening it approached the falkland islands , whose rugged summits i recognized the next day . the sea was of moderate depth . so not without good reason , i assumed that these two islands , plus the many islets surrounding them , used to be part of the magellan coastline . the falkland islands were probably discovered by the famous navigator john davis , who gave them the name davis southern islands . later sir richard hawkins called them the maidenland , after the blessed virgin . subsequently , at the beginning of the 18th century , they were named the malouines by fishermen from saint - malo in brittany , then finally dubbed the falklands by the english , to whom they belong today .",54
""" seeing you constantly surrounded by musketeers of a very superb appearance , and knowing that these musketeers belong to monsieur de treville , and were consequently enemies of the cardinal , i thought that you and your friends , while rendering justice to your poor queen , would be pleased to play his eminence an ill turn . """,4
"it was this fear that restrained him , so powerful is the influence of a truly great character on all that surrounds it .",21
""" gentlemen ! gentlemen ! "" cried the surrounding group .",8
""" miss oliver is ever surrounded by suitors and flatterers : in less than a month , my image will be effaced from her heart . she will forget me ; and will marry , probably , some one who will make her far happier than i should do . """,5
"the good old beldame kept a profound silence . in the evening she returned , but without his supper . "" come along with me , "" said she , "" but do not speak a word . "" she took him by the arm , and walked with him about a quarter of a mile into the country , till they came to a lonely house surrounded with moats and gardens .",67
""" anything which may seem to have a bearing however indirect upon the case , and especially the relations between young baskerville and his neighbours or any fresh particulars concerning the death of sir charles . i have made some inquiries myself in the last few days , but the results have , i fear , been negative . one thing only appears to be certain , and that is that mr . james desmond , who is the next heir , is an elderly gentleman of a very amiable disposition , so that this persecution does not arise from him . i really think that we may eliminate him entirely from our calculations . there remain the people who will actually surround sir henry baskerville upon the moor . """,122
"while i was in view of the moor that was swimming , i stood out directly to sea with the boat , rather stretching to windward , that they might think me gone towards the straits ’ mouth ( as indeed any one that had been in their wits must have been supposed to do ) : for who would have supposed we were sailed on to the southward , to the truly barbarian coast , where whole nations of negroes were sure to surround us with their canoes and destroy us ; where we could not go on shore but we should be devoured by savage beasts , or more merciless savages of human kind .",84
"the garden was a wide inclosure , surrounded with walls so high as to exclude every glimpse of prospect ; a covered verandah ran down one side , and broad walks bordered a middle space divided into scores of little beds : these beds were assigned as gardens for the pupils to cultivate , and each bed had an owner .",7
"conseil was in dead earnest , but i did n't subscribe to his views . however , the situation had changed in only a short time and we had n't noticed . now some twenty dugout canoes were surrounding the nautilus . hollowed from tree trunks , these dugouts were long , narrow , and well designed for speed , keeping their balance by means of two bamboo poles that floated on the surface of the water . they were maneuvered by skillful , half - naked paddlers , and i viewed their advance with definite alarm .",38
"did the sea surround this unknown land , or was it connected in the west with some continent of the pacific ?",3
""" very pressing . native dugout canoes are surrounding us , and in a few minutes we 're sure to be assaulted by several hundred savages . """,8
"there were no longer high cliffs as at prospect heights , but a strange and capricious border which surrounded the narrow gulf between the two capes , formed of mineral matter , thrown up by the volcano .",18
in about seven or eight minutes top stopped in a glade surrounded with tall trees .,11
"( i have seen their grave ; it formed part of the pavement of a huge churchyard surrounding the grim , soot - black old cathedral of an overgrown manufacturing town in ---shire . )",17
"if the engineer had had only to deal with wild beasts , jaguars or others , he would have simply lighted fires all around his camp , which would have sufficed for its defense ; but the convicts would be rather attracted than terrified by the flames , and it was , therefore , better to be surrounded by the profound darkness of night .",57
""" meantime , night came on rapidly , and with night my terrors increased . i did not know but i had better remain where i was seated . it appeared that i was surrounded with unknown dangers into which i was about to fall at every instant .",34
"daylight appeared . the morning mists surrounded us , but they soon broke up . i was about to proceed with a careful examination of the hull , whose topside formed a sort of horizontal platform , when i felt it sinking little by little .",6
"going along the 55th meridian , the nautilus cut the antarctic circle on march 16 near eight o'clock in the morning . ice completely surrounded us and closed off the horizon . nevertheless , captain nemo went from passageway to passageway , always proceeding south .",24
"as we approach nearer the dimensions of the liquid column become magnificent . the islet resembles , with a most deceiving likeness , an enormous cetacean , whose head dominates the waves at a height of twenty yards . the geyser , a word meaning ' fury , ' rises majestically from its extremity . deep and heavy explosions are heard from time to time , when the enormous jet , possessed with more furious violence , shakes its plumy crest , and springs with a bound till it reaches the lowest stratum of the clouds . it stands alone . no steam vents , no hot springs surround it , and all the volcanic power of the region is concentrated here . sparks of electric fire mingle with the dazzling sheaf of lighted fluid , every drop of which refracts the prismatic colours .",108
"the narrow hatch had barely closed over me when i was surrounded by profound darkness . saturated with the outside light , my eyes could n't make out a thing . i felt my naked feet clinging to the steps of an iron ladder . forcibly seized , ned land and conseil were behind me . at the foot of the ladder , a door opened and instantly closed behind us with a loud clang .",11
