text,ind
""" look here , barrymore , "" said sir henry , sternly ; "" we have made up our minds to have the truth out of you , so it will save you trouble to tell it sooner rather than later . come , now ! no lies ! what were you doing at that window ? """,33
""" do n't trouble yourself to give her a character , "" returned mr . rochester : "" eulogiums will not bias me ; i shall judge for myself .",3
"i was an intellectual epicure , and wished to prolong the gratification of making this novel and piquant acquaintance : besides , i was for a while troubled with a haunting fear that if i handled the flower freely its bloom would fade -- the sweet charm of freshness would leave it . i did not then know that it was no transitory blossom , but rather the radiant resemblance of one , cut in an indestructible gem .",27
""" let her come to me , "" i entreated : "" she will , perhaps , trouble you , sir : there is plenty of room on this side . """,17
"the professor ceased to speak , and the audience broke out into loud and unanimous applause . for of course my uncle was right , and wiser men than his nephew would have had some trouble to refute his statements .",35
"this verse , into which the terrible enchantress threw her whole soul , completed the trouble which had seized the heart of the young officer . he opened the door quickly ; and milady saw him appear , pale as usual , but with his eye inflamed and almost wild .",15
""" whither should i go ? do you believe there is a spot on the earth which the cardinal can not reach if he takes the trouble to stretch forth his hand ?",26
"the settlers in lincoln island had now regained their dwelling , without having been obliged to reach it by the old opening , and were therefore spared the trouble of mason 's work .",28
""" might i trouble you for it -- the inside page , please , with the leading articles ? "" he glanced swiftly over it , running his eyes up and down the columns . "" capital article this on free trade . permit me to give you an extract from it . ' you may be cajoled into imagining that your own special trade or your own industry will be encouraged by a protective tariff , but it stands to reason that such legislation must in the long run keep away wealth from the country , diminish the value of our imports , and lower the general conditions of life in this island . ' what do you think of that , watson ? "" cried holmes in high glee , rubbing his hands together with satisfaction . "" do n't you think that is an admirable sentiment ? """,3
"the englishman , quite triumphant , did not even give himself the trouble to shake the dice .",12
""" who are you , sir , "" asked she , "" who has the kindness to trouble yourself so particularly on my account ? """,17
""" ah , monsieur ! "" cried planchet , as soon as he perceived his master , "" here is more trouble . i thought you would never come in . """,21
"how could it be otherwise , when helen , at all times and under all circumstances , evinced for me a quiet and faithful friendship , which ill - humour never soured , nor irritation never troubled ?",36
"we are now at the end of our troubles , and at the beginning of happiness . """,8
"' as if it was n't trouble enough hatching the eggs , ' said the pigeon ; ' but i must be on the look - out for serpents night and day ! why , i have n't had a wink of sleep these three weeks ! '",6
""" you may get into trouble by what has taken place . """,5
""" my dear sir , "" cried dr . mortimer , "" it is only mislaid . you will find it when you return to the hotel . what is the use of troubling mr . holmes with trifles of this kind ? """,33
""" he 'll break into no house , sir . i give you my solemn word upon that . but he will never trouble anyone in this country again . i assure you , sir henry , that in a very few days the necessary arrangements will have been made and he will be on his way to south america . for god 's sake , sir , i beg of you not to let the police know that he is still on the moor . they have given up the chase there , and he can lie quiet until the ship is ready for him . you ca n't tell on him without getting my wife and me into trouble . i beg you , sir , to say nothing to the police . """,23
""" he 'll break into no house , sir . i give you my solemn word upon that . but he will never trouble anyone in this country again . i assure you , sir henry , that in a very few days the necessary arrangements will have been made and he will be on his way to south america . for god 's sake , sir , i beg of you not to let the police know that he is still on the moor . they have given up the chase there , and he can lie quiet until the ship is ready for him . you ca n't tell on him without getting my wife and me into trouble . i beg you , sir , to say nothing to the police . """,120
""" it is a formidable difficulty , and i fear that you ask too much when you expect me to solve it . the past and the present are within the field of my inquiry , but what a man may do in the future is a hard question to answer . mrs . stapleton has heard her husband discuss the problem on several occasions . there were three possible courses . he might claim the property from south america , establish his identity before the british authorities there and so obtain the fortune without ever coming to england at all ; or he might adopt an elaborate disguise during the short time that he need be in london ; or , again , he might furnish an accomplice with the proofs and papers , putting him in as heir , and retaining a claim upon some proportion of his income . we can not doubt from what we know of him that he would have found some way out of the difficulty . and now , my dear watson , we have had some weeks of severe work , and for one evening , i think , we may turn our thoughts into more pleasant channels . i have a box for ' les huguenots . ' have you heard the de reszkes ? might i trouble you then to be ready in half an hour , and we can stop at marcini 's for a little dinner on the way ? """,227
"to save trouble , we will establish our manufactory at the place of production .",2
"however , the engineer had nearly accomplished his purpose , and by a last operation he would procure the substance which had given so much trouble .",25
"gideon spilett ranked among the first of those reporters : a man of great merit , energetic , prompt and ready for anything , full of ideas , having traveled over the whole world , soldier and artist , enthusiastic in council , resolute in action , caring neither for trouble , fatigue , nor danger , when in pursuit of information , for himself first , and then for his journal , a perfect treasury of knowledge on all sorts of curious subjects , of the unpublished , of the unknown , and of the impossible . he was one of those intrepid observers who write under fire , "" reporting "" among bullets , and to whom every danger is welcome .",50
"by eight o'clock passepartout had packed the modest carpet - bag , containing the wardrobes of his master and himself ; then , still troubled in mind , he carefully shut the door of his room , and descended to mr . fogg .",24
""" certainly it was not the cardinal ; but do n’t trouble yourself whence they come , think only that one of the three is your property . """,11
""" i was thinking , sir , that very few masters would trouble themselves to inquire whether or not their paid subordinates were piqued and hurt by their orders . """,12
""" she says , sir , that she 'll have no gentlemen ; they need not trouble themselves to come near her ; nor , "" he added , with difficulty suppressing a titter , "" any ladies either , except the young , and single . """,16
"in all probability , and such was also herbert 's opinion , some had been left by formidable wild beasts which doubtless would give them some trouble ; but nowhere did they observe the mark of an axe on the trees , nor the ashes of a fire , nor the impression of a human foot . on this they might probably congratulate themselves , for on any land in the middle of the pacific the presence of man was perhaps more to be feared than desired .",26
""" let us sit down , dorian , "" said the painter , looking troubled . "" let us sit down . and just answer me one question . have you noticed in the picture something curious?--something that probably at first did not strike you , but that revealed itself to you suddenly ? """,14
"when we observed this to him , he told us all to trouble ourselves about our own business , as this horse belonged to him .",12
""" i judged by your countenance , sir , which was troubled when you said the suggestion had returned upon you . i feel sure it will work you more misery if you listen to it . """,11
""" all day yesterday i was very busy , and very happy in my ceaseless bustle ; for i am not , as you seem to think , troubled by any haunting fears about the new sphere , et cetera : i think it a glorious thing to have the hope of living with you , because i love you .",28
""" a little patience , my nephew . a relapse might get us into trouble , and we have no time to lose , for the voyage may be a long one . """,14
""" seems to me they are playing me for a sucker in this hotel , "" he cried . "" they 'll find they 've started in to monkey with the wrong man unless they are careful . by thunder , if that chap ca n't find my missing boot there will be trouble . i can take a joke with the best , mr . holmes , but they 've got a bit over the mark this time . """,53
""" then , "" continued he , "" there is a horse for my lackey , and my valise . as to my arms , it is useless to trouble you about them ; i have them . """,29
""" i think it 's well worth troubling about . """,7
"do n't trouble yourself to answer -- i see you laugh rarely ; but you can laugh very merrily : believe me , you are not naturally austere , any more than i am naturally vicious .",2
is life worth the trouble of so many questions ?,4
""" oh , fear nothing , madame ! "" said the young woman , clasping her hands and weeping herself at the queen ’s sorrows ; "" i am your majesty ’s , body and soul , and however far i may be from you , however inferior may be my position , i believe i have discovered a means of extricating your majesty from your trouble . """,66
"after crossing through a moderately dense thicket , we again found some plains obstructed by bushes . there i saw some magnificent birds soaring aloft , the arrangement of their long feathers causing them to head into the wind . their undulating flight , the grace of their aerial curves , and the play of their colors allured and delighted the eye . i had no trouble identifying them .",66
"i do n't suppose the maddest geologist under such circumstances would have studied the nature of the rocks that we were passing . i am sure i did trouble my head about them . pliocene , miocene , eocene , cretaceous , jurassic , triassic , permian , carboniferous , devonian , silurian , or primitive was all one to me . but the professor , no doubt , was pursuing his observations or taking notes , for in one of our halts he said to me :",28
"this time felton , immovable as he was , or appeared to be , could not resist the secret influence which had already taken possession of him . to see this woman , so beautiful , fair as the brightest vision , to see her by turns overcome with grief and threatening ; to resist at once the ascendancy of grief and beauty -- it was too much for a visionary ; it was too much for a brain weakened by the ardent dreams of an ecstatic faith ; it was too much for a heart furrowed by the love of heaven that burns , by the hatred of men that devours . milady saw the trouble .",116
"if they kill you , english justice will be under an obligation to me for having saved it trouble .",18
"dorian started . "" it would not interest you , mr . hubbard , "" he said , keeping his eye on the man . he felt ready to leap upon him and fling him to the ground if he dared to lift the gorgeous hanging that concealed the secret of his life . "" i sha n't trouble you any more now . i am much obliged for your kindness in coming round . """,58
"it was a poisonous book . the heavy odour of incense seemed to cling about its pages and to trouble the brain . the mere cadence of the sentences , the subtle monotony of their music , so full as it was of complex refrains and movements elaborately repeated , produced in the mind of the lad , as he passed from chapter to chapter , a form of reverie , a malady of dreaming , that made him unconscious of the falling day and creeping shadows .",19
""" infinitely rich , sir , and without any trouble , i could pay off the ten - billion - franc french national debt ! """,9
"nothing of the sort was visible ; and when i asked a waiter if any one had been to inquire after a miss eyre , i was answered in the negative : so i had no resource but to request to be shown into a private room : and here i am waiting , while all sorts of doubts and fears are troubling my thoughts .",62
""" with her constitution she should have lived to a good old age : her life was shortened by trouble . """,19
"did fix pay any attention to passepartout 's trouble about the gas ? it is not probable . he was not listening , but was cogitating a project . passepartout and he had now reached the shop , where fix left his companion to make his purchases , after recommending him not to miss the steamer , and hurried back to the consulate . now that he was fully convinced , fix had quite recovered his equanimity .",8
"there was a horrible fascination in them all . he saw them at night , and they troubled his imagination in the day . the renaissance knew of strange manners of poisoning-- poisoning by a helmet and a lighted torch , by an embroidered glove and a jewelled fan , by a gilded pomander and by an amber chain . dorian gray had been poisoned by a book . there were moments when he looked on evil simply as a mode through which he could realize his conception of the beautiful .",17
"she conducted me to her own chair , and then began to remove my shawl and untie my bonnet - strings ; i begged she would not give herself so much trouble .",31
""" oh , it is no trouble ; i dare say your own hands are almost numbed with cold . leah , make a little hot negus and cut a sandwich or two : here are the keys of the storeroom . """,6
""" yes , "" said porthos , "" that is a duchess of my acquaintance whom i have great trouble to meet on account of the jealousy of her husband , and who sent me word that she should come today to this poor church , buried in this vile quarter , solely for the sake of seeing me . """,19
""" well , well , "" said the cardinal , "" i do n’t wish you any ill ; but you must be aware that it is quite trouble enough to defend and recompense our friends . we owe nothing to our enemies ; and let me give you a piece of advice ; take care of yourself , monsieur d’artagnan , for from the moment i withdraw my hand from behind you , i would not give an obolus for your life . """,28
""" ah , childer ! "" said she , "" it fair troubles me to go into yond ' room now : it looks so lonesome wi ' the chair empty and set back in a corner . """,12
""" return instantly . it appears to me that the news you bear is worth the trouble of a little diligence . """,16
the presentiments which had troubled herbert did not cease to agitate him also .,4
do n’t trouble yourself to reveal your good luck ; no one asks for your secret - all the world knows your discretion .,2
"nevertheless , in the main , i look upon the gondolier 's life as preferable to that of the doge ; but the difference is so trifling that it is not worth the trouble of examining into . """,33
""" my little friend ! "" said he , "" i wish i were in a quiet island with only you ; and trouble , and danger , and hideous recollections removed from me . """,23
"the engineer did so . the pressure gauge marked ten atmospheres . but no doubt the cetacean itself had "" warmed up , "" because without the least trouble , it also did 19.3 .",28
"it had been in that corner for six months , little mindful of the trouble it was giving .",14
"phileas fogg had won his wager , and had made his journey around the world in eighty days . to do this he had employed every means of conveyance -- steamers , railways , carriages , yachts , trading - vessels , sledges , elephants . the eccentric gentleman had throughout displayed all his marvellous qualities of coolness and exactitude . but what then ? what had he really gained by all this trouble ? what had he brought back from this long and weary journey ?",73
""" it 's no wonder my uncle felt as if trouble were coming on him in such a place as this , "" said he . "" it 's enough to scare any man . i 'll have a row of electric lamps up here inside of six months , and you wo n't know it again , with a thousand candle - power swan and edison right here in front of the hall door . """,10
"' pray do n't trouble yourself to say it any longer than that , ' said alice .",4
"as for athos , they believed him to be dead , and left him very quiet on the field of battle , not thinking it worth the trouble to carry him away .",27
the pipe destined to conduct the smoke outside gave some trouble to these amateur bricklayers .,10
"at a quarter before six the travellers reached the station , and found the train ready to depart . as he was about to enter it , mr . fogg called a porter , and said to him : "" my friend , was there not some trouble to - day in san francisco ? """,47
""" well , perhaps you are right , "" said athos . "" i do not know a woman that is worth the trouble of being sought for when she is once lost .",23
""" an important thing , truly , this eruption ! i trouble myself very little about it . """,11
""" pardieu , gentlemen , "" said he . "" i hope what you have to tell me is worth the trouble , or else , i warn you , i will not pardon you for making me come here instead of getting a little rest after a night spent in taking and dismantling a bastion .",21
""" my faith , monsieur , he was in such trouble that i doubt if he can have retained a very clear recollection of me . """,10
"suddenly she felt the need to speak . the wordy silence troubled her . "" mother , mother , "" she cried , "" why does he love me so much ? i know why i love him . i love him because he is like what love himself should be . but what does he see in me ? i am not worthy of him . and yet -- why , i can not tell -- though i feel so much beneath him , i do n't feel humble . i feel proud , terribly proud . mother , did you love my father as i love prince charming ? """,11
"the joy of the king was lively . he did not even give himself the trouble to dissemble , and displayed it with affectation before the queen .",15
""" no trouble , sir . at what time shall i be back ? """,2
""" ah ! if we only had a proper boat and a good harpoon , i would say ' after the beast , ' for he would be well worth the trouble of catching ! """,31
""" a thousand things . in the first place , that , unfortunately , your husband is a simpleton and a fool ; in the next place , you are in trouble , of which i am very glad , as it gives me a opportunity of placing myself at your service , and god knows i am ready to throw myself into the fire for you ; finally , that the queen wants a brave , intelligent , devoted man to make a journey to london for her .",31
""" quite ready , james , "" she answered , keeping her eyes on her work . for some months past she had felt ill at ease when she was alone with this rough stern son of hers . her shallow secret nature was troubled when their eyes met . she used to wonder if he suspected anything . the silence , for he made no other observation , became intolerable to her . she began to complain . women defend themselves by attacking , just as they attack by sudden and strange surrenders . "" i hope you will be contented , james , with your sea - faring life , "" she said . "" you must remember that it is your own choice . you might have entered a solicitor 's office . solicitors are a very respectable class , and in the country often dine with the best families . """,44
""" nothing , "" he answered . "" i suppose one must be serious sometimes . good - bye , mother ; i will have my dinner at five o'clock . everything is packed , except my shirts , so you need not trouble . """,43
"not wishing to trouble him by their presence , and thus imposing on him the necessity of saying farewells which might perhaps be painful to him , they had left him alone and ascended to granite house .",3
"so she was considering in her own mind ( as well as she could , for the hot day made her feel very sleepy and stupid ) , whether the pleasure of making a daisy - chain would be worth the trouble of getting up and picking the daisies , when suddenly a white rabbit with pink eyes ran close by her .",41
"however , to please her , i allowed sophie to apparel her in one of her short , full muslin frocks . for myself , i had no need to make any change ; i should not be called upon to quit my sanctum of the schoolroom ; for a sanctum it was now become to me,--""a very pleasant refuge in time of trouble . """,63
"the manufacture of a hand - saw cost infinite trouble , but at last an instrument was obtained which , when vigorously handled , could divide the ligneous fibers of the wood .",9
the shape of the island is so strange that we shall not be troubled to imagine what it resembles .,13
""" what is that stupid fellow troubling himself about ? "" cried the cavalier whom milady had designated as her brother , stooping down to the height of the coach window . "" why does not he go about his business ? """,6
""" oh i do n't trouble myself about that . come , there 's no time to lose ; i am going to the library . perhaps there is some manuscript of saknussemm 's there , and i should be glad to consult it . """,5
"a few words again escaped him , which showed what thoughts were , even then , troubling his brain .",16
""" now for the hitch in jane 's character , "" he said at last , speaking more calmly than from his look i had expected him to speak . "" the reel of silk has run smoothly enough so far ; but i always knew there would come a knot and a puzzle : here it is . now for vexation , and exasperation , and endless trouble !",68
""" why do you trouble your head about it ? "" said the dervish ; "" is it any business of yours ? """,4
""" what signifies it , "" said the dervish , "" whether there is evil or good ? when his highness sends a ship to egypt does he trouble his head whether the rats in the vessel are at their ease or not ? """,28
""" what is the use of troubling ourselves ? "" my uncle , replied . "" i fancy it will never fail . """,6
the duke walked so fast that d’artagnan had some trouble in keeping up with him .,9
""" why should we trouble ourselves to stop the stream from coming out at all ? """,4
""" i will not give him that trouble , "" i answered . "" i will go , if no better may be ; but i do n't like it .",7
""" i have sent a report from grimpen to princetown as to the death of selden . i think i can promise that none of you will be troubled in the matter . and i have also communicated with my faithful cartwright , who would certainly have pined away at the door of my hut , as a dog does at his master 's grave , if i had not set his mind at rest about my safety . """,28
"as i have troubled you with none of my sea journals , so i shall trouble you now with none of my land journals ; but some adventures that happened to us in this tedious and difficult journey i must not omit .",3
"as i have troubled you with none of my sea journals , so i shall trouble you now with none of my land journals ; but some adventures that happened to us in this tedious and difficult journey i must not omit .",15
"you must share your gratitude with herbert , who recognized the plant , with cyrus , who prepared it , and with neb , who took a great deal of trouble to keep our secret . """,30
""" i have looked in vain for anything that 's worth the trouble of stooping for . """,12
"dorian winced and looked round at the grotesque things that lay in such fantastic postures on the ragged mattresses . the twisted limbs , the gaping mouths , the staring lustreless eyes , fascinated him . he knew in what strange heavens they were suffering , and what dull hells were teaching them the secret of some new joy . they were better off than he was . he was prisoned in thought . memory , like a horrible malady , was eating his soul away . from time to time he seemed to see the eyes of basil hallward looking at him . yet he felt he could not stay . the presence of adrian singleton troubled him . he wanted to be where no one would know who he was . he wanted to escape from himself .",117
""" that we are not at the end of our trouble yet , my dear spilett , and that his powerful intervention may have another opportunity of exercising itself .",10
"barrymore was crouching at the window with the candle held against the glass . his profile was half turned towards me , and his face seemed to be rigid with expectation as he stared out into the blackness of the moor . for some minutes he stood watching intently . then he gave a deep groan and with an impatient gesture he put out the light . instantly i made my way back to my room , and very shortly came the stealthy steps passing once more upon their return journey . long afterwards when i had fallen into a light sleep i heard a key turn somewhere in a lock , but i could not tell whence the sound came . what it all means i can not guess , but there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of . i do not trouble you with my theories , for you asked me to furnish you only with facts . i have had a long talk with sir henry this morning , and we have made a plan of campaign founded upon my observations of last night . i will not speak about it just now , but it should make my next report interesting reading .",159
""" they are mostly sent on by private inquiry agencies . they are all people who are in trouble about something , and want a little enlightening . i listen to their story , they listen to my comments , and then i pocket my fee . """,18
"neb , in his delight at having found his master , did not listen , or rather , did not care to trouble himself with what pencroft was saying .",22
"they perceived by the tranquillity of the sea , in which no shallows troubled the waters , by its uniform color , which was stained by no yellow shades , by the absence of even a reef , that the coast was steep and that the ocean there covered a deep abyss .",13
