text,ind,sense,label
"planchet and fourreau , as pale as death , were trying to give him succor ; but it was plain that all assistance was useless -- all the features of the dying man were distorted with agony .",24,"('useless', 'inutile', 'inútil')",0
it is useless to say that the darkest corners of the passages were ransacked before they were obliged to give it up in despair .,2,"('useless', 'inutile', 'inútil')",0
"top had not been sent again to him , as it appeared useless to expose the faithful dog to some shot which might deprive the settlers of their most useful auxiliary .",12,"('useless', 'inutile', 'inútil')",0
"it is useless to add that pencroft , herbert , and neb , thus armed , were at the summit of their happiness , although cyrus harding made them promise not to fire a shot unless it was necessary .",2,"('useless', 'inutile', 'inútil')",0
"they then set to work , beginning with the most difficult thing , for , if they failed in that , it would be useless to manufacture the battery and other accessories .",24,"('useless', 'inutile', 'inútil')",0
""" useless ! "" said athos , "" useless ! for the poison which she pours there is no antidote . """,1,"('useless', 'inutile', 'inútil')",0
""" useless ! "" said athos , "" useless ! for the poison which she pours there is no antidote . """,8,"('useless', 'inutile', 'inútil')",0
""" if that is the case it will be useless to continue our exploration , and we had better return to our raft . but , axel , are you not mistaken ? """,9,"('useless', 'inutile', 'inútil')",0
""" it is useless , "" he said ; "" my hours are numbered . """,3,"('useless', 'inutile', 'inútil')",0
"it is useless to say with what enthusiasm all , especially pencroft , received this project .",2,"('useless', 'inutile', 'inútil')",0
""" prudence , monsieur , is a virtue sufficiently useless to musketeers , i know , but indispensable to churchmen ; and as i am only a musketeer provisionally , i hold it good to be prudent .",9,"('useless', 'inutile', 'inútil')",0
""" now that i know everything , my friend ! ah ! that 's very good . but go on , go on . first , though , let me tell you that those gentlemen have put themselves to a useless expense . """,40,"('useless', 'inutilement', 'inútil')",1
""" useless ! "" said fix . "" you speak confidently . it 's clear that you do n't know how large the sum is . """,1,"('useless', 'inutilement', 'inútil')",1
"passepartout was crushed ; it overwhelmed him to lose the boat by three - quarters of an hour . it was his fault , for , instead of helping his master , he had not ceased putting obstacles in his path ! and when he recalled all the incidents of the tour , when he counted up the sums expended in pure loss and on his own account , when he thought that the immense stake , added to the heavy charges of this useless journey , would completely ruin mr . fogg , he overwhelmed himself with bitter self - accusations . mr . fogg , however , did not reproach him ; and , on leaving the cunard pier , only said : "" we will consult about what is best to - morrow . come . """,84,"('useless', 'inutile', 'inútil')",0
"it is useless to say that since the enclosing of the plateau had been completed , master jup had been set at liberty .",2,"('useless', 'inutile', 'inútil')",0
"it would have been easy to bring down one of these quadramani with a gunshot , and pencroft was greatly tempted to fire , but harding opposed so useless a massacre .",28,"('useless', 'inutile', 'inútil')",0
"it might have been said that between this man and his inferiors spoken language did not exist , or had become useless .",21,"('useless', 'inutile', 'inútil')",0
""" the one you bought will then become useless to you ? """,8,"('useless', 'inutile', 'inútil')",0
""" they 'll be useless to us , "" he replied .",4,"('useless', 'inutile', 'inútil')",0
""" do you not perceive that i know all -- your abduction from the little house at st . germain , his despair , that of his friends , and their useless inquiries up to this moment ?",31,"('useless', 'inutile', 'inútil')",0
""" does the letter contain anything valuable ? "" demanded the host , after a few minutes of useless investigation . "" zounds !",18,"('useless', 'inutile', 'inútil')",0
""" oh , of many things ! "" said porthos . "" the musketeers are , as you know , picked soldiers , and they require many things useless to the guardsmen or the swiss . """,28,"('useless', 'inutile', 'inútil')",0
""" that is useless . """,3,"('useless', 'inutile', 'inútil')",0
"pencroft soon made a raft of wood , as he had done before , though if there was no fire it would be a useless task , and the raft following the current , they returned towards the chimneys .",24,"('useless', 'inutile', 'inútil')",0
""" then , "" continued he , "" there is a horse for my lackey , and my valise . as to my arms , it is useless to trouble you about them ; i have them . """,27,"('useless', 'inutile', 'inútil')",0
"it is useless to say that the orang was now thoroughly domesticated at granite house , and that he often accompanied his masters to the forest without showing any wish to leave them .",2,"('useless', 'inutile', 'inútil')",0
""" my friends , "" said the engineer , "" it is useless , at any rate as regards the ' nautilus , ' to discuss the question of submarine vessels .",12,"('useless', 'inutile', 'inútil')",0
"at all events , the engineer only communicated his impressions to gideon spilett , for he thought it useless to explain to his companions the suspicions which arose from what perhaps was only top 's fancy .",18,"('useless', 'inutile', 'inútil')",0
"but athos continued to march majestically , whatever remarks his companions made ; and they , finding their remarks useless , regulated their pace by his .",19,"('useless', 'inutile', 'inútil')",0
and in truth this instrument would become useless as soon as the weight of the atmosphere should exceed the pressure ascertained at the level of the sea .,7,"('useless', 'inutile', 'inútil')",0
""" that will be useless . """,4,"('useless', 'inutile', 'inútil')",0
"that renders it useless to get a pleurisy by too much haste . """,3,"('useless', 'inutile', 'inútil')",0
""" now you will indeed hate me , "" i said . "" it is useless to attempt to conciliate you : i see i have made an eternal enemy of you . """,15,"('useless', 'inutile', 'inútil')",0
but it is useless grieving .,3,"('useless', 'inutile', 'inútil')",0
"it will be useless for him to find you here . """,3,"('useless', 'inutile', 'inútil')",0
"with a word , d’artagnan reassured them ; and planchet ran to inform the other sentinels that it was useless to keep guard longer , as his master had come out safe from the palais - cardinal .",19,"('useless', 'inutile', 'inútil')",0
"ah , do n’t be angry , i beg of you , that would be useless ; you know what is agreed upon between you , athos and me .",15,"('useless', 'inutile', 'inútil')",0
"it is useless to describe the astonishing performances of the acrobats and gymnasts . the turning on ladders , poles , balls , barrels , & c. , was executed with wonderful precision . but the principal attraction was the exhibition of the long noses , a show to which europe is as yet a stranger .",2,"('useless', 'inutile', 'inútil')",0
"d’artagnan had run , sword in hand , through all the neighboring streets , but had found nobody resembling the man he sought for . then he came back to the point where , perhaps , he ought to have begun , and that was to knock at the door against which the stranger had leaned ; but this proved useless -- for though he knocked ten or twelve times in succession , no one answered , and some of the neighbors , who put their noses out of their windows or were brought to their doors by the noise , had assured him that that house , all the openings of which were tightly closed , had not been inhabited for six months .",60,"('useless', 'inutilement', 'inútil')",1
"it is useless to let the cardinal know . """,2,"('useless', 'inutile', 'inútil')",0
""" you would not , then , prefer a method , "" resumed d’artagnan , "" which would equally avenge you while rendering the combat useless ? """,25,"('useless', 'inutile', 'inútil')",0
doubtless both of them understood that the situation had become too serious to lose time in useless words and aimless wrath .,16,"('useless', 'inutile', 'inútil')",0
it was useless to try to keep pace on foot with a carriage drawn by two powerful horses .,2,"('useless', 'inutile', 'inútil')",0
""" do not lie , my angel , "" said d’artagnan , smiling ; "" that would be useless . """,18,"('useless', 'inutile', 'inútil')",0
"the hunters , armed with sticks , could have killed them easily , but they were not guilty of such useless massacre , as it was important not to frighten the seals , who were lying on the sand several cable lengths off .",20,"('useless', 'inutile', 'inútil')",0
""" no , athos , no , you are mistaken , "" said d’artagnan ; "" i love my poor constance more than ever , and if i knew the place in which she is , were it at the end of the world , i would go to free her from the hands of her enemies ; but i am ignorant . all my researches have been useless .",68,"('useless', 'inutile', 'inútil')",0
"as it was useless to burden themselves with the weight of both the animals , neb and pencroft resolved to skin them on the spot , while cyrus harding and the reporter continued to explore the islet .",3,"('useless', 'inutile', 'inútil')",0
"but all this eager attention might have been useless if the doctor so loudly called for had not chanced to be in the hotel . he pushed through the crowd , approached athos , still insensible , and as all this noise and commotion inconvenienced him greatly , he required , as the first and most urgent thing , that the musketeer should be carried into an adjoining chamber .",8,"('useless', 'inutile', 'inútil')",0
""" it is useless . """,3,"('useless', 'inutile', 'inútil')",0
""" that ’s useless , "" said d’artagnan ; "" for i believe if he does not pay us , we shall be well enough paid by another party . """,3,"('useless', 'inutile', 'inútil')",0
"d’artagnan lost no time in useless compliments . he thanked the governor , bowed , and departed .",5,"('useless', 'inutile', 'inútil')",0
"a longer stay in this dangerous spot would have been useless imprudence . d’artagnan and his two companions turned their backs , and commenced a retreat which resembled a flight .",10,"('useless', 'inutile', 'inútil')",0
"even if we do not find the castaway , at least our voyage will not have been useless , and god will have rewarded us . """,17,"('useless', 'inutile', 'inútil')",0
"meantime d’artagnan had thrown himself upon the other soldier , attacking him with his sword . the conflict was not long ; the wretch had nothing to defend himself with but his discharged arquebus . the sword of the guardsman slipped along the barrel of the now - useless weapon , and passed through the thigh of the assassin , who fell .",48,"('useless', 'inutile', 'inútil')",0
""" if it is for the purpose of rejoining milady , "" said athos , coolly , "" it is useless ; you will not find her . """,20,"('useless', 'inutile', 'inútil')",0
""" wait here ten minutes , "" said m. de treville ; "" and if at the expiration of ten minutes you do not see me come out , return to my hotel , for it will be useless for you to wait for me longer . """,38,"('useless', 'inutile', 'inútil')",0
"he approached the duke , took his hand , held it for an instant in his own , and letting it fall , "" all is useless , "" said he , "" he is dead . """,26,"('useless', 'inutile', 'inútil')",0
""" what folly , "" murmured anne of austria , who had not the courage to find fault with the duke for having so well preserved her portrait in his heart , "" what folly to feed a useless passion with such remembrances ! """,38,"('useless', 'inutile', 'inútil')",0
""" you are stupid , friend porthos . why should we load ourselves with a useless burden ? """,15,"('useless', 'inutile', 'inútil')",0
""" i do n’t find a good musket , twelve cartridges , and a powder flask very useless in the face of an enemy . """,17,"('useless', 'inutile', 'inútil')",0
"as to the other , he knows me , he fears me , and knows what he has to expect of me if ever i escape from his hands . it is useless , then , to attempt anything with him .",32,"('useless', 'inutile', 'inútil')",0
we can forgive a man for making a useful thing as long as he does not admire it . the only excuse for making a useless thing is that one admires it intensely .,25,"('useless', 'inutile', 'inútil')",0
all art is quite useless .,4,"('useless', 'inutile', 'inútil')",0
""" i see that you have quite gone over to the supernaturalists . but now , dr . mortimer , tell me this . if you hold these views , why have you come to consult me at all ? you tell me in the same breath that it is useless to investigate sir charles 's death , and that you desire me to do it . """,50,"('useless', 'inutile', 'inútil')",0
"as to the papers on board , it is useless to say that , although he carefully searched the lockers of the poop , harding did not discover any trace of them .",9,"('useless', 'inutile', 'inútil')",0
"he knew all objection would be useless , and instantly determined how to act . "" may i be permitted to inform my wife ? "" said he .",6,"('useless', 'inutile', 'inútil')",0
""" then , "" said d’artagnan , letting his arm fall with discouragement , "" it is useless to struggle longer . i may as well blow my brains out , and all will be over . """,17,"('useless', 'inutile', 'inútil')",0
