text,ind,sense,label
"he rose and walked through the room . standing still , he again looked at me . he shook his head .",3,"('walk', 'promener', 'pasear')",0
yes ; there had been things in his boyhood that he had not understood . he understood them now . life suddenly became fiery - coloured to him . it seemed to him that he had been walking in fire . why had he not known it ?,37,"('walk', 'marcher', 'caminar')",1
"he flew , then , rather than walked , toward the convent of the carmes dechausses , or rather deschaux , as it was called at that period , a sort of building without a window , surrounded by barren fields -- an accessory to the preaux - clercs , and which was generally employed as the place for the duels of men who had no time to lose .",7,"('walk', 'marcher', 'caminar')",1
"clad in his diving dress he was walking beneath the water at a few cables ' length from the shore of the island , when the engineer had been thrown into the sea .",7,"('walk', 'promener', 'pasear')",0
"we walked in single file , headed by the hunter , who ascended by narrow tracks , where two could not have gone abreast . there was therefore no room for conversation .",1,"('walk', 'marcher', 'marchar')",2
""" i 'd prefer to walk , for this affair has flurried me rather . """,5,"('walk', 'marcher', 'andar')",3
"the pretty mme . bonacieux was just the woman to walk with in the plain st . denis or in the fair of st . germain , in company with athos , porthos , and aramis , to whom d’artagnan had often remarked this .",10,"('walk', 'promener', 'pasear')",0
"athos walked in the direction indicated , and reached the suburb situated at the opposite extremity of the city from that by which he and his friends had entered it .",1,"('walk', 'marcher', 'caminar')",1
""" i warn you , this will be an exhausting stroll . we 'll need to walk long hours and scale a mountain . the roads are n't terribly well kept up . """,16,"('walk', 'marcher', 'caminar')",1
"the mendicant hesitated at first , but at the sight of the piece of silver which shone in the darkness he consented , and walked on before athos .",24,"('walk', 'marcher', 'caminar')",1
"side by side , captain nemo and i walked directly toward this conspicuous flame . the level seafloor rose imperceptibly . we took long strides , helped by our alpenstocks ; but in general our progress was slow , because our feet kept sinking into a kind of slimy mud mixed with seaweed and assorted flat stones .",8,"('walk', 'marcher', 'marchar')",2
i walked about the chamber most of the time .,1,"('walk', 'promener', 'pasear')",0
"in the midst of the stone mazes furrowing this atlantic seafloor , captain nemo moved forward without hesitation . he knew this dark path . no doubt he had often traveled it and was incapable of losing his way . i followed him with unshakeable confidence . he seemed like some spirit of the sea , and as he walked ahead of me , i marveled at his tall figure , which stood out in black against the glowing background of the horizon .",59,"('walk', 'marcher', 'andar')",3
"cyrus harding and gideon spilett walked one on each side of the cart , ready to answer to any attack .",5,"('walk', 'marcher', 'marchar')",2
"' oh , you 're sure to do that , ' said the cat , ' if you only walk long enough . '",19,"('walk', 'marcher', 'caminar')",1
"thus d’artagnan entered paris on foot , carrying his little packet under his arm , and walked about till he found an apartment to be let on terms suited to the scantiness of his means .",16,"('walk', 'marcher', 'caminar')",1
he had walked as one walks in a dream ; he had a glimpse of objects as through a fog . his ears had perceived sounds without comprehending them ; he might have been executed at that moment without his making a single gesture in his own defense or uttering a cry to implore mercy .,2,"('walk', 'marcher', 'andar')",3
