text,ind,sense,label
"it was necessary to think not only of the things which they should take with them , but also of those which they might have by chance to bring back to granite house .",31,"('granite', 'granite', 'palacio')",0
"some of these wrecked ships had perished in collisions , others from hitting granite reefs . i saw a few that had sunk straight down , their masting still upright , their rigging stiffened by the water . they looked like they were at anchor by some immense , open , offshore mooring where they were waiting for their departure time . when the nautilus passed between them , covering them with sheets of electricity , they seemed ready to salute us with their colors and send us their serial numbers ! but no , nothing but silence and death filled this field of catastrophes !",13,"('granite', 'granit', 'granito')",1
"finally , the engineer obtained wires from forty to fifty feet long , which could be easily fastened together and stretched over the distance of five miles , which separated the corral from the bounds of granite house .",36,"('granite', 'granite', 'palacio')",0
"they wished him to join them again , and relied upon his aid to enable them to gain possession of granite house , to penetrate into that hitherto inaccessible dwelling , and to become masters of the island , after murdering the colonists !",20,"('granite', 'granite', 'palacio')",0
"such was the ingenious and very simple apparatus constructed by cyrus harding , an apparatus which would allow them to establish a telegraphic communication between granite house and the corral .",25,"('granite', 'granite', 'palacio')",0
"the weather was splendid , the temperature very warm in the day time , but in the evening the sea - breezes tempered the heat of the atmosphere and procured cool nights for the inhabitants of granite house .",36,"('granite', 'granite', 'palacio')",0
"the onagers , who had two pretty colts , were most often mounted by gideon spilett and herbert , who had become an excellent rider under the reporter 's instruction , and they also harnessed them to the cart either for carrying wood and coal to granite house , or different mineral productions required by the engineer .",46,"('granite', 'granite', 'palacio')",0
"and the sailor was enchanted to see his own countenance , faithfully reproduced , ornamenting the walls of granite house , and he stopped as willingly before this exhibition as he would have done before the richest shop - windows in broadway .",18,"('granite', 'granite', 'palacio')",0
""" and we will not return to granite house until we have found our benefactor , "" said herbert .",7,"('granite', 'granite', 'palacio')",0
"their companions were soon beside them , but could only ascertain one thing , that not only the islet but all the beach below granite house was covered with one uniform sheet of white .",24,"('granite', 'granite', 'palacio')",0
"besides , if necessary , the cart will take us rapidly to granite house . """,12,"('granite', 'granite', 'palacio')",0
""" at what distance are we from granite house ? "" asked herbert .",7,"('granite', 'granite', 'palacio')",0
"however , one chance of rescue existed , and this chance was discussed one day on the first week of april , when the colonists were gathered together in the dining - room of granite house .",34,"('granite', 'granite', 'palacio')",0
"matters being thus decided , the building of a vessel large enough to sail either to the archipelagoes in the north , or to new zealand in the west , was no longer talked of , and they busied themselves in their accustomed occupations , with a view to wintering a third time in granite house .",54,"('granite', 'granite-', 'palacio')",2
"the passengers , with the exception of the sailor , scarcely slept as well on board the "" bonadventure "" as they would have done in their rooms at granite house , but they did sleep however .",29,"('granite', 'granite', 'palacio')",0
"the bank was raised a little above the level of the sea , and on this luxuriant soil , supported by a granite base , the fine forest trees seemed to be as firmly planted as in the interior of the island .",22,"('granite', 'granit', 'granito')",1
"the engineer even observed that these barks had something strange in them , like those which the dog had uttered at the mouth of the well in granite house .",27,"('granite', 'granite', 'palacio')",0
"on the 25th of february the colonists re - entered granite house , and by means of the double cord , carried by an arrow to the threshold of the door , they re - established communication between their habitation and the ground .",10,"('granite', 'granite', 'palacio')",0
"neb and harding also ran up , and they remained for some instants contemplating the animal as it lay stretched on the ground , thinking that its magnificent skin would be a great ornament to the hall at granite house .",38,"('granite', 'granite', 'palacio')",0
"then who could have enjoyed better health than these workers , and what good humor enlivened the evenings in granite house as they formed a thousand plans for the future !",19,"('granite', 'granite', 'palacio')",0
"the telegraphic wire between the corral and granite house had of course been repaired , and it was worked whenever one or other of the settlers was at the corral and found it necessary to spend the night there .",7,"('granite', 'granite', 'palacio')",0
"the engineer was somewhat uneasy on account of the dockyard shed -- which besides , he could not have established in any other place near to granite house -- for the islet only imperfectly sheltered the shore from the fury of the open sea , and in great storms the waves beat against the very foot of the granite cliff .",26,"('granite', 'granite', 'palacio')",0
"in fact , when the boat was abandoned at the sources of the mercy , it had been agreed that after having surveyed the west coast , they should go back to it , and return to granite house by the mercy .",37,"('granite', 'granite', 'palacio')",0
"nevertheless , i think that we should return to granite house by the south coast . """,9,"('granite', 'granite-', 'palacio')",2
"the head of the "" bonadventure "" was put towards granite house , and a fair wind filling her sails , she ran rapidly along the coast .",10,"('granite', 'granite', 'palacio')",0
"but there was not an hour to lose , for forty miles was a long march , and they could not hope to reach granite house before night .",24,"('granite', 'granite', 'palacio')",0
"at last , for one reason or another , the month of june brought the cold with its accustomed intensity , and the settlers were often confined to granite house .",28,"('granite', 'granite', 'palacio')",0
"without speaking of the complete rig which would serve for the vessel now on the stocks , utensils and tools of all sorts , weapons and ammunition , clothes and instruments , were now piled in the storerooms of granite house .",39,"('granite', 'granite', 'palacio')",0
"but then , what splendid fires blazed continually on the hearths of granite house , the smoke marking the granite wall with long , zebra - like streaks !",12,"('granite', 'granite', 'palacio')",0
"cyrus harding even observed that if by chance the communication between the unknown and the tenants of granite house had ever been established through the granite , and if top 's instinct had as it were felt it , there was no further sign of it during this period .",17,"('granite', 'granite', 'palacio')",0
"the journey was a swift and pleasant one , and i spent it in making the more intimate acquaintance of my two companions and in playing with dr . mortimer 's spaniel . in a very few hours the brown earth had become ruddy , the brick had changed to granite , and red cows grazed in well - hedged fields where the lush grasses and more luxuriant vegetation spoke of a richer , if a damper , climate . young baskerville stared eagerly out of the window , and cried aloud with delight as he recognized the familiar features of the devon scenery .",50,"('granite', 'granit', 'granito')",1
"this luncheon would sustain them until their supper , which they intended to take at granite house .",15,"('granite', 'granite', 'palacio')",0
it did not appear likely that granite house would be threatened unless the ground was shaken by an earthquake .,6,"('granite', 'granite', 'palacio')",0
""" yes , yes ! exactly , "" added herbert , "" and it was certainly placed on the heights of granite house . """,21,"('granite', 'granite', 'palacio')",0
"harding also reminded his companions of the singular behavior of top and jup when they prowled round the mouth of the well , which placed granite house in communication with the sea , and he told them that he had explored the well , without discovering anything suspicious .",25,"('granite', 'granite', 'palacio')",0
"cyrus harding proposed that he should come to spend the bad season with them in granite house , where he would be better lodged than at the corral , and ayrton promised to do so , as soon as the last work at the corral was finished .",15,"('granite', 'granite', 'palacio')",0
"occupation was not wanting to the colonists , for without reckoning their out - door cares , they had always a thousand plans for the fitting up of granite house .",28,"('granite', 'granite-', 'palacio')",2
"the access to these hunting - grounds was easy ; besides , whether they reached them by the road to port balloon , after having passed the mercy bridge , or by turning the rocks from flotsam point , the hunters were never distant from granite house more than two or three miles .",45,"('granite', 'granite', 'palacio')",0
"but , in short , granite house did not suffer much from the inclemency of the weather , and it was the same with the corral , which , less exposed than the plateau , and sheltered partly by mount franklin , only received the remains of the hurricanes , already broken by the forests and the high rocks of the shore .",5,"('granite', 'granite', 'palacio')",0
"it appeared , therefore , as if the series of supernatural incidents was interrupted , although they often talked of them during the evenings in granite house , and they remained thoroughly resolved that the island should be searched , even in those parts the most difficult to explore .",25,"('granite', 'granite', 'palacio')",0
"the apparatus had been placed at one of the windows of the dining - room at granite house , and consequently overlooked the shore and the bay .",16,"('granite', 'granite', 'palacio')",0
"a few moments later the needle , moving on the alphabetic dial , gave this reply to the tenants of granite house:--",20,"('granite', 'granite', 'palacio')",0
"they were anxious to reach granite house to eat and sleep , and if the bridge had been constructed , in a quarter of an hour they would have been at home .",5,"('granite', 'granite', 'palacio')",0
"without having uttered a word , in a few moments they had left granite house , and were standing on the beach .",13,"('granite', 'granite', 'palacio')",0
"cyrus harding and herbert having immediately called gideon spilett , pencroft , and neb into the dining - room of granite house , told them what had happened .",20,"('granite', 'granite', 'palacio')",0
"must not this stranger have indeed mingled with their existence , have known the smallest details , have heard all that was said in granite house , to have been able always to act in the very nick of time ?",24,"('granite', 'granite-', 'palacio')",2
"the canoe was hauled up on the beach near the chimneys , and all proceeded towards the ladder of granite house .",19,"('granite', 'granite', 'palacio')",0
"this was the opinion of all , and the reporter , going to the telegraphic apparatus which placed the corral in communication with granite house , sent this telegram:--""come with all possible speed . """,23,"('granite', 'granite-', 'palacio')",2
"be that as it may , forgetting their fatigue in the singularity of the event , they remained below granite house , not knowing what to think , not knowing what to do , questioning each other without any hope of a satisfactory reply , every one starting some supposition each more unlikely than the last .",19,"('granite', 'granite', 'palacio')",0
""" forward ! "" cried harding , who understood that the despatch had not been sent from the corral , but from the mysterious retreat , communicating directly with granite house by means of a supplementary wire joined to the old one .",29,"('granite', 'granite', 'palacio')",0
"in the meanwhile top was ordered to mount guard below the windows of granite house , and when top received an order he obeyed it without any questioning .",13,"('granite', 'granite', 'palacio')",0
"now granite house was more than their dwelling , it was their warehouse .",1,"('granite', 'granite', 'palacio')",0
towards four o'clock -- an hour after he had been sent for -- ayrton arrived at granite house .,16,"('granite', 'granite', 'palacio')",0
some one had entered granite house -- there could be no more doubt about that .,4,"('granite', 'granite', 'palacio')",0
"the sun had now completely risen , and the whole facade of granite house became illuminated by its rays ; but in the interior as well as on the exterior all was quiet and calm .",12,"('granite', 'granite', 'palacio')",0
"the settlers asked if granite house was inhabited or not , and yet the position of the ladder was sufficient to show that it was ; it was also certain that the inhabitants , whoever they might be , had not been able to escape .",4,"('granite', 'granite', 'palacio')",0
"by means of the cord they would then be able to draw down the ladder to the ground , and so re - establish the communication between the beach and granite house .",30,"('granite', 'granite', 'palacio')",0
"herbert immediately seized the end of the cord , but , at that moment when he gave it a pull to bring down the ladder , an arm , thrust suddenly out between the wall and the door , grasped it and dragged it inside granite house .",45,"('granite', 'granite', 'palacio')",0
this was in reality the only way by which to penetrate into granite house so as to fight with and drive out the intruders .,12,"('granite', 'granite', 'palacio')",0
"the one which had been seized in the hall of granite house was a great fellow , six feet high , with an admirably poportioned frame , a broad chest , head of a moderate size , the facial angle reaching sixty - five degrees , round skull , projecting nose , skin covered with soft glossy hair , in short , a fine specimen of the anthropoids .",10,"('granite', 'granite', 'palacio')",0
"and so , without more ceremony , master jup was installed in granite house .",12,"('granite', 'granite', 'palacio')",0
"it was certainly lucky , that at the moment they were about to set out to do so , the apes had been seized with that terror , no less sudden than inexplicable , which had driven them out of granite house .",40,"('granite', 'granite', 'palacio')",0
