text,sense,label,ind,new_label
"it is not for nothing we are but twenty years old , above all if we were born at tarbes .","('bear', 'naître', 'nacer')",0,17,0
""" oh , please do n't , lord henry . i see that basil is in one of his sulky moods , and i ca n't bear him when he sulks . besides , i want you to tell me why i should not go in for philanthropy . ""","('bear', 'supporter', 'soportar')",1,26,1
"it is a gift from my beautiful englishwoman , or rather frenchwoman -- for i am convinced she was born in france , though i have not questioned her . ""","('bear', 'naître', 'nacer')",0,19,0
"we were born to strive and endure -- you as well as i : do so . you will forget me before i forget you . ""","('bear', 'naître', 'nacer')",0,2,0
""" jane is not such a weakling as you would make her , "" he would say : "" she can bear a mountain blast , or a shower , or a few flakes of snow , as well as any of us . her constitution is both sound and elastic;--better calculated to endure variations of climate than many more robust . ""","('bear', 'supporter', 'soportar')",1,21,1
pencroft regretted that lincoln island was not the home of a few families of bears rather than of so many foxes and seals .,"('bear', 'ours', 'oso')",2,14,2
""" bears , "" said he , "" are generally very well dressed , and i ask no more than to borrow for the winter the warm cloaks which they have on their backs . ""","('bear', 'ours', 'oso')",2,1,2
""" but , "" replied neb , laughing , "" perhaps the bears would not consent to give you their cloaks , pencroft .","('bear', 'ours', 'oso')",2,12,2
"made of forged steel , and breech - loaders , they ought consequently to be able to bear a considerable charge , and also have an enormous range .","('bear', 'supporter', 'soportar')",1,17,1
""" bravo ! "" cried porthos . "" decidedly , athos , you were born to be a general , and the cardinal , who fancies himself a great soldier , is nothing beside you . ""","('bear', 'naître', 'nacer')",0,14,0
""" but to - morrow , captain , "" asked herbert , "" shall you be in a state to bear the fatigue of the ascent ? ""","('bear', 'supporter', 'soportar')",1,20,1
""" captain harding , "" said he , "" i must go ; i can bear the journey .","('bear', 'supporter', 'soportar')",1,15,1
"as you know , at the turn of the tide , the waters confined between the faroe and lofoten islands rush out with irresistible violence . they form a vortex from which no ship has ever been able to escape . monstrous waves race together from every point of the horizon . they form a whirlpool aptly called "" the ocean 's navel , "" whose attracting power extends a distance of fifteen kilometers . it can suck down not only ships but whales , and even polar bears from the northernmost regions .","('bear', 'ours', 'oso')",2,88,2
""" yes ; we are only thirty - five leagues from it ; and during thaws the white bears , borne by the ice fields from the north , are carried even into iceland . but never mind that . here we are at the top of snæfell and here are two peaks , one north and one south . hans will tell us the name of that on which we are now standing . ""","('bear', 'ours', 'oso')",2,18,2
"i 'm writing of this bold companion as i currently know him . because we 've become old friends , united in that permanent comradeship born and cemented during only the most frightful crises ! ah , my gallant ned ! i ask only to live 100 years more , the longer to remember you !","('bear', 'naître', 'nacer')",0,25,0
"he shuddered , and for a moment he regretted that he had not told basil the true reason why he had wished to hide the picture away . basil would have helped him to resist lord henry 's influence , and the still more poisonous influences that came from his own temperament . the love that he bore him -- for it was really love-- had nothing in it that was not noble and intellectual . it was not that mere physical admiration of beauty that is born of the senses and that dies when the senses tire . it was such love as michelangelo had known , and montaigne , and winckelmann , and shakespeare himself . yes , basil could have saved him . but it was too late now . the past could always be annihilated . regret , denial , or forgetfulness could do that . but the future was inevitable . there were passions in him that would find their terrible outlet , dreams that would make the shadow of their evil real .","('bear', 'naître', 'nacer')",0,87,0
"i have seen bears in my country , but men i have beheld nowhere but in el dorado .","('bear', 'ours', 'oso')",2,3,2
"you were born , i think , to be my torment : my last hour is racked by the recollection of a deed which , but for you , i should never have been tempted to commit . ""","('bear', 'naître', 'nacer')",0,2,0
""" but it would be much more astonishing , i should think , "" observed the reporter , "" if this peccary had been born with a bullet in its inside ! ""","('bear', 'naître', 'nacer')",0,24,0
""" at all events , man or devil , body or shadow , illusion or reality , this man is born for my damnation ; for his flight has caused us to miss a glorious affair , gentlemen -- an affair by which there were a hundred pistoles , and perhaps more , to be gained . ""","('bear', 'naître', 'nacer')",0,20,0
""" the nurse is a foreigner , and adela was born on the continent ; and , i believe , never left it till within six months ago .","('bear', 'naître', 'nacer')",0,10,0
"but i , that was born to be my own destroyer , could no more resist the offer than i could restrain my first rambling designs when my father ’ good counsel was lost upon me . in a word , i told them i would go with all my heart , if they would undertake to look after my plantation in my absence , and would dispose of it to such as i should direct , if i miscarried . this they all engaged to do , and entered into writings or covenants to do so ; and i made a formal will , disposing of my plantation and effects in case of my death , making the captain of the ship that had saved my life , as before , my universal heir , but obliging him to dispose of my effects as i had directed in my will ; one half of the produce being to himself , and the other to be shipped to england .","('bear', 'naître', 'nacer')",0,5,0
"alice did not much like keeping so close to her : first , because the duchess was very ugly ; and secondly , because she was exactly the right height to rest her chin upon alice 's shoulder , and it was an uncomfortably sharp chin . however , she did not like to be rude , so she bore it as well as she could .","('bear', 'supporter', 'soportar')",1,59,1
""" and to bear with my infirmities , jane : to overlook my deficiencies . ""","('bear', 'supporter', 'soportar')",1,3,1
"i will not speak of the sufferings we endured in our return . my uncle bore them with the angry impatience of a man obliged to own his weakness ; hans with the resignation of his passive nature ; i , i confess , with complaints and expressions of despair . i had no spirit to oppose this ill fortune .","('bear', 'supporter', 'soportar')",1,15,1
"when i did speak , it was only to express an impetuous wish that i had never been born , or never come to thornfield . "" because you are sorry to leave it ? ""","('bear', 'naître', 'nacer')",0,18,0
""" alas ! my good dame , "" said she , "" unless you had been ravished by two bulgarians , had received two deep wounds in your belly , had seen two of your own castles demolished , had lost two fathers , and two mothers , and seen both of them barbarously murdered before your eyes , and to sum up all , had two lovers whipped at an auto - da - fe , i can not see how you could be more unfortunate than i. add to this , though born a baroness , and bearing seventy - two quarterings , i have been reduced to the station of a cook - wench . ""","('bear', 'naître', 'nacer')",0,94,0
