text,ind
""" well , my friend , someday the earth will be just such a cold corpse . like the moon , which long ago lost its vital heat , our globe will become lifeless and unlivable . """,32
"i really think i must have been frightened . i became very pale ; i felt my legs fail me ; i sought for a reply , but could find none - i was silent .",10
"he sent them word i had not gone ( we know it to be true ) : if she should push the matter on , what would become of you ?",27
"night had closed in , and the temperature , which had modified when the wind shifted to the northwest , again became extremely cold .",21
"also , the sea having destroyed the partitions which pencroft had put up in certain places in the passages , the chimneys , on account of the draughts , had become scarcely habitable .",30
"m bonacieux lived on very quietly , wholly ignorant of what had become of his wife , and caring very little about it .",12
""" i think it unlikely that he waited at the moor - gate every evening . on the contrary , the evidence is that he avoided the moor . that night he waited there . it was the night before he made his departure for london . the thing takes shape , watson . it becomes coherent . might i ask you to hand me my violin , and we will postpone all further thought upon this business until we have had the advantage of meeting dr . mortimer and sir henry baskerville in the morning . """,55
"the bits of wood became hot , to be sure , but much less so than the operators themselves .",4
"first , she dreamed of little alice herself , and once again the tiny hands were clasped upon her knee , and the bright eager eyes were looking up into hers -- she could hear the very tones of her voice , and see that queer little toss of her head to keep back the wandering hair that would always get into her eyes -- and still as she listened , or seemed to listen , the whole place around her became alive the strange creatures of her little sister 's dream .",81
"after uttering those few words he had again become unconscious , and had fallen back motionless on the bed .",8
""" you have done right , lieutenant , "" said the soldier . "" such songs disturb the mind ; and yet we become accustomed to them , her voice is so beautiful . """,23
"life is full of humiliations and sorrows , "" continued he , becoming still more melancholy ; "" all the ties which attach him to life break in the hand of man , particularly the golden ties .",12
"they wished him to join them again , and relied upon his aid to enable them to gain possession of granite house , to penetrate into that hitherto inaccessible dwelling , and to become masters of the island , after murdering the colonists !",33
"now then , justly or unjustly , it was the "" monster "" who stood accused of their disappearance ; and since , thanks to it , travel between the various continents had become more and more dangerous , the public spoke up and demanded straight out that , at all cost , the seas be purged of this fearsome cetacean .",33
"on leaving the convent he entered into the magistracy , became president on the place of his uncle , embraced the cardinal ’s party , which did not prove want of sagacity , became chancellor , served his eminence with zeal in his hatred against the queen - mother and his vengeance against anne of austria , stimulated the judges in the affair of calais , encouraged the attempts of m. de laffemas , chief gamekeeper of france ; then , at length , invested with the entire confidence of the cardinal -- a confidence which he had so well earned -- he received the singular commission for the execution of which he presented himself in the queen ’s apartments .",10
"if the current was interrupted , the magnet immediately became unmagnetized .",9
"when the chancellor had opened and shut twenty times the drawers of the secretaries , it became necessary , whatever hesitation he might experience -- it became necessary , i say , to come to the conclusion of the affair ; that is to say , to search the queen herself .",16
"when the chancellor had opened and shut twenty times the drawers of the secretaries , it became necessary , whatever hesitation he might experience -- it became necessary , i say , to come to the conclusion of the affair ; that is to say , to search the queen herself .",26
""" so , until information becomes more abundant , i plump for a sea unicorn of colossal dimensions , no longer armed with a mere lance but with an actual spur , like ironclad frigates or those warships called ' rams , ' whose mass and motor power it would possess simultaneously .",5
"besides , repentance becomes the guilty ; whatever crimes they may have committed , for me the guilty are sacred at the feet of god ! """,3
"the tenants of the poultry - yard swarmed , and they lived on the surplus , but it became necessary to reduce the population to a more moderate number .",18
yes ; there had been things in his boyhood that he had not understood . he understood them now . life suddenly became fiery - coloured to him . it seemed to him that he had been walking in fire . why had he not known it ?,22
"the onagers , who had two pretty colts , were most often mounted by gideon spilett and herbert , who had become an excellent rider under the reporter 's instruction , and they also harnessed them to the cart either for carrying wood and coal to granite house , or different mineral productions required by the engineer .",21
""" let us go and sit in the shade , "" said lord henry . "" parker has brought out the drinks , and if you stay any longer in this glare , you will be quite spoiled , and basil will never paint you again . you really must not allow yourself to become sunburnt . it would be unbecoming . """,54
"i , on the contrary , became more cheerful , and took fresh courage : these last words gave me an insight as to where the difficulty lay ; and as it was no difficulty with me , i felt quite relieved from my previous embarrassment . i resumed a livelier vein of conversation .",6
"you will become sallow , and hollow - cheeked , and dull- eyed . you will suffer horribly .... ah ! realize your youth while you have it . do n't squander the gold of your days , listening to the tedious , trying to improve the hopeless failure , or giving away your life to the ignorant , the common , and the vulgar . these are the sickly aims , the false ideals , of our age . live ! live the wonderful life that is in you ! let nothing be lost upon you . be always searching for new sensations . be afraid of nothing . . . . a new hedonism-- that is what our century wants . you might be its visible symbol . with your personality there is nothing you could not do . the world belongs to you for a season . . . .",2
"anne of austria took one step backward , became so pale that it might be said she was dying , and leaning with her left hand upon a table behind her to keep herself from falling , she with her right hand drew the paper from her bosom and held it out to the keeper of the seals .",8
"they found also that the water was becoming shallower and shallower , and that the canoe must soon stop .",7
""" you mean george villiers ? "" asked felton , whose looks became excited .",12
"the boat was pushed on through the forest , which gradually became thicker again , and appeared also to have more inhabitants ; for if the eyes of the sailor did not deceive him , he thought he saw bands of monkeys springing among the trees .",11
"then , the glade passed , the underwood thickened again , and became almost impenetrable .",12
""" the one you bought will then become useless to you ? """,7
"then as the steps drew near , she became silent for fear of being heard , applying , with a gesture of infinite terror , her beautiful hand to felton ’s mouth .",8
"the school , thus improved , became in time a truly useful and noble institution .",6
"as we moved forward , i heard a kind of pitter - patter above my head . sometimes this noise increased and became a continuous crackle . i soon realized the cause . it was a heavy rainfall rattling on the surface of the waves . instinctively i worried that i might get soaked ! by water in the midst of water ! i could n't help smiling at this outlandish notion . but to tell the truth , wearing these heavy diving suits , you no longer feel the liquid element , you simply think you 're in the midst of air a little denser than air on land , that 's all .",22
"these two streams , which lower down became rivers by the absorption of several tributaries , were formed by all the springs of the mountain and thus caused the fertility of its southern part .",7
