text,ind
"arms crossed , leaning against a corner of the table , the commander studied us with great care . was he reluctant to speak further ? did he regret those words he had just pronounced in french ? you would have thought so .",17
"not that i ever suffered much from them ; i took care to turn the tables . what tricks theodore and i used to play on our miss wilsons , and mrs . greys , and madame jouberts ! mary was always too sleepy to join in a plot with spirit .",11
"our travelers took care , however , to gather up the gold , the rubies , and the emeralds .",3
""" oh , brothers ! i do n't care for brothers . my elder brother wo n't die , and my younger brothers seem never to do anything else . """,8
i enjoy beforehand the face the cardinal will make . he will be furious ; but i do n’t care .,19
""" how extraordinary ! i thought you would never care for anything but your art . """,9
""" because , without intending it , i have put into it some expression of all this curious artistic idolatry , of which , of course , i have never cared to speak to him . he knows nothing about it . he shall never know anything about it . but the world might guess it , and i will not bare my soul to their shallow prying eyes . my heart shall never be put under their microscope . there is too much of myself in the thing , harry -- too much of myself ! """,30
""" planchet , "" said d’artagnan , "" i commit the corpse of this poor devil to your care .",18
""" for all my tears , my cares , my exile , and my chains , i have my youth , my prayers , and god , who counts my pains . """,7
"' who cares for you ? ' said alice , ( she had grown to her full size by this time . ) ' you 're nothing but a pack of cards ! '",2
"she allowed the vessel to pass lorient and brest without repeating her request to the captain , who , on his part , took care not to remind her of it .",24
"in that place the fiord was at least three english miles wide ; the waves rolled with a rushing din upon the sharp - pointed rocks ; this inlet was confined between walls of rock , precipices crowned by sharp peaks 2,000 feet high , and remarkable for the brown strata which separated the beds of reddish tuff . however much i might respect the intelligence of our quadrupeds , i hardly cared to put it to the test by trusting myself to it on horseback across an arm of the sea .",72
""" yes , "" responded abbot ; "" if she were a nice , pretty child , one might compassionate her forlornness ; but one really can not care for such a little toad as that . """,28
"this accident happened around five o'clock in the morning , just as day was beginning to break . the officers on watch rushed to the craft 's stern . they examined the ocean with the most scrupulous care . they saw nothing except a strong eddy breaking three cable lengths out , as if those sheets of water had been violently churned . the site 's exact bearings were taken , and the moravian continued on course apparently undamaged . had it run afoul of an underwater rock or the wreckage of some enormous derelict ship ? they were unable to say . but when they examined its undersides in the service yard , they discovered that part of its keel had been smashed .",37
""" no , sir , it 's an act of mercy ! you 're my prisoners of war ! i 've cared for you when , with a single word , i could plunge you back into the ocean depths ! you attacked me ! you 've just stumbled on a secret no living man must probe , the secret of my entire existence ! do you think i 'll send you back to a world that must know nothing more of me ? never ! by keeping you on board , it is n't you whom i care for , it 's me ! """,21
""" no , sir , it 's an act of mercy ! you 're my prisoners of war ! i 've cared for you when , with a single word , i could plunge you back into the ocean depths ! you attacked me ! you 've just stumbled on a secret no living man must probe , the secret of my entire existence ! do you think i 'll send you back to a world that must know nothing more of me ? never ! by keeping you on board , it is n't you whom i care for , it 's me ! """,98
"i do n't care for the fairy : you said it was mademoiselle you would take to the moon ? """,3
""" as to that , "" said athos , "" i beg you to believe that i care very little about it .",17
""" how ? "" replied d’artagnan , "" you care little if she kills buckingham or causes him to be killed ?",9
""" the duke is english ; the duke fights against us . let her do what she likes with the duke ; i care no more about him than an empty bottle . """,23
"who in the world cares for _ you _ ? or who will be injured by what you do ? """,4
"still indomitable was the reply--""_i _ care for myself . the more solitary , the more friendless , the more unsustained i am , the more i will respect myself .",6
"they must now take great care not to let the fire go out , and always to keep some embers alight .",5
"she was not , i was told , in the hospital portion of the house with the fever patients ; for her complaint was consumption , not typhus : and by consumption i , in my ignorance , understood something mild , which time and care would be sure to alleviate .",45
