text,ind,sense,label
"conseil could n't believe his eyes , and he questioned me about the causes of this odd phenomenon . luckily i was in a position to answer him .",13,"('cause', 'cause', 'causar')",0
""" but , "" conseil asked , "" could master tell me the cause of this effect , because i presume this water has n't really changed into milk ! """,13,"('cause', 'cause', 'causar')",0
"since ayrton 's disappearance they were only four against five , for herbert could not yet be counted , and this was not the least care of the brave boy , who well understood the trouble of which he was the cause .",41,"('cause', 'cause', 'causar')",0
""" i am presuming that the cause of his fears came to him across the moor . if that were so , and it seems most probable , only a man who had lost his wits would have run from the house instead of towards it . if the gipsy 's evidence may be taken as true , he ran with cries for help in the direction where help was least likely to be . then , again , whom was he waiting for that night , and why was he waiting for him in the yew alley rather than in his own house ? """,6,"('cause', 'cause', 'causar')",0
"what they are not agreed upon , is the cause of this cold .",9,"('cause', 'cause', 'causar')",0
"lastly , whatever may be the cause , our globe will become cold some day , but this cold will only operate gradually .",6,"('cause', 'cause', 'causar')",0
"and in spite of himself , the young man began to laugh aloud , looking round carefully , however , to see that his solitary laugh , without a cause in the eyes of passers - by , offended no one .",29,"('cause', 'cause', 'motivar')",1
"this was the last straw , and it resulted in arousing public passions all over again . indeed , from this moment on , any maritime casualty without an established cause was charged to the monster 's account . this outrageous animal had to shoulder responsibility for all derelict vessels , whose numbers are unfortunately considerable , since out of those 3,000 ships whose losses are recorded annually at the marine insurance bureau , the figure for steam or sailing ships supposedly lost with all hands , in the absence of any news , amounts to at least 200 !",30,"('cause', 'cause', 'causar')",0
"phileas fogg found himself twenty hours behind time . passepartout , the involuntary cause of this delay , was desperate . he had ruined his master !",13,"('cause', 'cause', 'causar')",0
""" no , no , it was a hound . my god , can there be some truth in all these stories ? is it possible that i am really in danger from so dark a cause ? you do n't believe it , do you , watson ? """,36,"('cause', 'cause', 'causar')",0
"herbert , a gallant boy , already remarkably well informed in the natural sciences , would render greater service to the common cause .",22,"('cause', 'cause', 'causar')",0
"his changes of mood did not offend me , because i saw that i had nothing to do with their alternation ; the ebb and flow depended on causes quite disconnected with me .",28,"('cause', 'cause', 'causar')",0
""" hear me , "" said the novice ; "" we must trust in heaven . there always comes a moment when the good you have done pleads your cause before god ; and see , perhaps it is a happiness for you , humble and powerless as i am , that you have met with me , for if i leave this place , well - i have powerful friends , who , after having exerted themselves on my account , may also exert themselves for you . """,29,"('cause', 'cause', 'causar')",0
"it was a great sorrow to them , and they often talked together of these things , without ever doubting however that the cause of the north must triumph , for the honor of the american confederation .",23,"('cause', 'cause', 'causar')",0
"i could not have believed she would risk her liberty for me , and yet for what other cause could she have returned to paris ? """,18,"('cause', 'cause', 'causar')",0
""" for the cause which today takes us to england . """,3,"('cause', 'cause', 'causar')",0
""" oh , ours is a theological quarrel , "" replied aramis , making a sign to d’artagnan to keep secret the cause of their duel .",22,"('cause', 'cause', 'causar')",0
""" and what is this cause ? "" demanded aramis .",5,"('cause', 'cause', 'causar')",0
"then he explained to him the cause of his visit , and the service he required of him . but scarcely had he expressed his request when the unknown , who remained standing before the musketeer , drew back with signs of terror , and refused .",6,"('cause', 'cause', 'causar')",0
