text,ind,sense,label
""" and you are certain that the queen and he did not see each other ? """,4,"('certain', 'sûr', 'seguro')",0
"it is certain , after what we have seen , that animals are numerous in this island , and what is more strange , that the species are extremely varied .",2,"('certain', 'certain', 'cierto')",1
""" his majesty is certain that a letter has been written by you during the day ; he knows that it has not yet been sent to its address .",4,"('certain', 'certain', 'seguro')",2
""" say , rather , into the region where we balance probabilities and choose the most likely . it is the scientific use of the imagination , but we have always some material basis on which to start our speculation . now , you would call it a guess , no doubt , but i am almost certain that this address has been written in a hotel . """,57,"('certain', 'certain', 'seguro')",2
""" ah , it ’s all one , "" said the host ; "" i have lost two customers , but this one remains , of whom i am pretty certain for some days to come .",30,"('certain', 'sûr', 'seguro')",0
"further , this woman , as if not certain of the house she was seeking , lifted up her eyes to look around her , stopped , went backward , and then returned again .",8,"('certain', 'sûre', 'seguro')",3
"but at the first serious effort , every obstacle will disappear , and you may be certain , my dear spilett , that neither the island , which is the boiler , nor the volcano , which is the chimney , will burst under the pressure of gas .",16,"('certain', 'certain', 'seguro')",2
"the well led to the sea , that was certain .",9,"('certain', 'certain', 'indudable')",4
""" quite certain ? "" said milady , with a last doubt .",2,"('certain', 'sûr', 'seguro')",0
""" i know nothing about that , "" answered pencroft , "" but what is certain , is that some one has weighed the ' bonadventure 's ' anchor and dropped it again !",15,"('certain', 'certain', 'cierto')",1
"gideon spilett had not left herbert , who , it was only too certain , was now seized by an intermittent fever , and this fever must be cured at any cost before it should assume a more serious aspect .",13,"('certain', 'certain', 'indudable')",4
"although la rochelle was invested , however certain success might appear -- thanks to the precautions taken , and above all to the dyke , which prevented the entrance of any vessel into the besieged city -- the blockade might last a long time yet . this was a great affront to the king ’s army , and a great inconvenience to the cardinal , who had no longer , it is true , to embroil louis xiii with anne of austria -- for that affair was over -- but he had to adjust matters for m. de bassompierre , who was embroiled with the duc d’angouleme .",7,"('certain', 'certain', 'cierto')",1
""" if there is one thing certain in this world , spilett , it is that i never lighted any fire during the night of the 19th of october , neither on prospect heights nor on any other part of the island ! """,6,"('certain', 'certain', 'cierto')",1
""" a ninny , indeed ! "" said porthos ; "" but is the matter certain ? """,15,"('certain', 'sûre', 'seguro')",3
""" i have given you the choice between america and tyburn , "" replied lord de winter . "" choose tyburn , madame . believe me , the cord is more certain than the knife . """,31,"('certain', 'sûre', 'seguro')",3
""" nothing was certain ; besides , her majesty had said , ’ ladies , wait for me , ’ and she did not dare to disobey the queen . """,3,"('certain', 'certain', 'seguro')",2
""" anything which may seem to have a bearing however indirect upon the case , and especially the relations between young baskerville and his neighbours or any fresh particulars concerning the death of sir charles . i have made some inquiries myself in the last few days , but the results have , i fear , been negative . one thing only appears to be certain , and that is that mr . james desmond , who is the next heir , is an elderly gentleman of a very amiable disposition , so that this persecution does not arise from him . i really think that we may eliminate him entirely from our calculations . there remain the people who will actually surround sir henry baskerville upon the moor . """,65,"('certain', 'certain', 'cierto')",1
"the building of this presented no more difficulty than the building of the former , and it was moreover certain that there would be no want of wind on the plateau , exposed as it was to the sea breezes .",19,"('certain', 'sûr', 'seguro')",0
""" i am quite ready , "" said d’artagnan ; "" but in the first place i should like to be certain of one thing . """,21,"('certain', 'certain', 'seguro')",2
"then , certain that there could be no mistake in the execution of her orders , she started her horse and disappeared .",2,"('certain', 'certain', 'seguro')",2
""" and you are quite certain of having seen this fire ? """,5,"('certain', 'certain', 'seguro')",2
""" i 'm certain of it . """,3,"('certain', 'certain', 'seguro')",2
""" i did , "" said i , dropping my voice , so that leah , who was still polishing the panes , could not hear me , "" and at first i thought it was pilot : but pilot can not laugh ; and i am certain i heard a laugh , and a strange one . """,47,"('certain', 'certain', 'seguro')",2
""" no , my dear spilett ; but you see that if it is certain that a human being set foot on the island , it appears no less certain that he has now left it . """,14,"('certain', 'certain', 'cierto')",1
""" no , my dear spilett ; but you see that if it is certain that a human being set foot on the island , it appears no less certain that he has now left it . """,29,"('certain', 'certain', 'cierto')",1
""" i could decide if i were but certain , "" i answered : "" were i but convinced that it is god 's will i should marry you , i could vow to marry you here and now -- come afterwards what would ! """,8,"('certain', 'certain', 'seguro')",2
"the lad even found the stones which he had used , and therefore he was certain of not being mistaken .",15,"('certain', 'sûr', 'seguro')",0
"i was by no means certain that he had noticed the sounds in question ; although , assuredly , a strange alteration had , during the last few minutes , taken place in his demeanor .",5,"('certain', 'sûr', 'seguro')",0
""" no , "" said d’artagnan , "" and yet i am certain it is not the first time i have seen that visage . """,12,"('certain', 'certain', 'seguro')",2
"however , it was certain that the island , overtopped by mount franklin , could not escape the notice of the vessel 's lookout .",4,"('certain', 'certain', 'indudable')",4
""" you arrive in good time , monsieur , "" said the king , who , when his passions were raised to a certain point , could not dissemble ; "" i have learned some fine things concerning your musketeers . """,23,"('certain', 'certain', 'cierto')",1
"sure of himself , convinced of his own power , certain that the laws which rule other men could not reach him , he went straight to the object he aimed at , even were this object were so elevated and so dazzling that it would have been madness for any other even to have contemplated it .",10,"('certain', 'certain', 'cierto')",1
"the inferences deduced by pencroft were perfectly reasonable , and it was nearly certain that , as the hut was deserted , and the tools , utensils , and weapons were still there , the owner had succumbed .",13,"('certain', 'certain', 'cierto')",1
"it was said so positively that passepartout could not help muttering to himself , "" parbleu that 's certain ! before noon we shall be on board . "" but he was by no means reassured .",18,"('certain', 'certain', 'cierto')",1
"the settlers asked if granite house was inhabited or not , and yet the position of the ladder was sufficient to show that it was ; it was also certain that the inhabitants , whoever they might be , had not been able to escape .",29,"('certain', 'certain', 'seguro')",2
""" and then , "" said aramis , pinching his ear to make it red , as he rubbed his hands to make them white , "" and then i made a certain rondeau upon it last year , which i showed to monsieur voiture , and that great man paid me a thousand compliments . """,32,"('certain', 'certain', 'cierto')",1
"this circumstance pleased m. de treville much , as he thus became certain that no foreign suggestion could insinuate itself between m. de la tremouille ’s testimony and himself .",12,"('certain', 'certain', 'seguro')",2
