text,ind
"all sad feelings seemed now driven from the house , all gloomy associations forgotten : there was life everywhere , movement all day long . you could not now traverse the gallery , once so hushed , nor enter the front chambers , once so tenantless , without encountering a smart lady's - maid or a dandy valet .",41
"the baron , attracted by the noise , in his chamber gown , his sword under his arm , stood in the doorway .",10
"he sat all night on his stool , starting at the least noise ; and when the first rays of the sun penetrated into his chamber , the dawn itself appeared to him to have taken funereal tints .",25
""" be at ease , felton , "" said lord de winter . "" she is not dead ; demons do not die so easily . be tranquil , and go wait for me in my chamber . """,36
""" what business had you , then , to go into the chamber of monsieur d’artagnan , your neighbor , with whom you had a long conference during the day ? """,12
"considerable works are necessary -- a special set of tools , an apparatus of platina , leaden chambers , unassailable by the acid , and in which the transformation is performed , etc . the engineer had none of these at his disposal , but he knew that , in bohemia especially , sulphuric acid is manufactured by very simple means , which have also the advantage of producing it to a superior degree of concentration .",17
"the next morning , when d’artagnan entered aramis ’s chamber , he found him at the window .",9
""" now , retire to your chambers , "" said athos , "" and leave me to act . you must perceive that in my quality of a husband this concerns me .",6
"in the meantime , the host , who entertained no doubt that it was the presence of the young man that drove the stranger from his hostelry , re - ascended to his wife ’s chamber , and found d’artagnan just recovering his senses .",35
"i lingered ; the moon shut herself wholly within her chamber , and drew close her curtain of dense cloud : the night grew dark ; rain came driving fast on the gale .",10
i walked about the chamber most of the time .,4
"the son , who had been his father 's secretary , had resigned along with his chief , somewhat foolishly as was thought at the time , and on succeeding some months later to the title , had set himself to the serious study of the great aristocratic art of doing absolutely nothing . he had two large town houses , but preferred to live in chambers as it was less trouble , and took most of his meals at his club . he paid some attention to the management of his collieries in the midland counties , excusing himself for this taint of industry on the ground that the one advantage of having coal was that it enabled a gentleman to afford the decency of burning wood on his own hearth .",66
"feeble gleams of encrimsoned light made their way through the trellised panes , and served to render sufficiently distinct the more prominent objects around ; the eye , however , struggled in vain to reach the remoter angles of the chamber , or the recesses of the vaulted and fretted ceiling .",40
"my eye was quickly at the aperture . celine 's chamber - maid entered , lit a lamp , left it on the table , and withdrew .",10
"there were moments , indeed , at night , when , lying sleepless in his own delicately scented chamber , or in the sordid room of the little ill - famed tavern near the docks which , under an assumed name and in disguise , it was his habit to frequent , he would think of the ruin he had brought upon his soul with a pity that was all the more poignant because it was purely selfish . but moments such as these were rare . that curiosity about life which lord henry had first stirred in him , as they sat together in the garden of their friend , seemed to increase with gratification . the more he knew , the more he desired to know . he had mad hungers that grew more ravenous as he fed them .",18
"it was not till after i had withdrawn to my own chamber for the night , that i steadily reviewed the tale mr . rochester had told me .",11
"just then it seemed my chamber - door was touched ; as if fingers had swept the panels in groping a way along the dark gallery outside . i said , "" who is there ? "" nothing answered .",5
"i was chilled with fear . all at once i remembered that it might be pilot , who , when the kitchen- door chanced to be left open , not unfrequently found his way up to the threshold of mr . rochester 's chamber : i had seen him lying there myself in the mornings .",43
"at the top of the stairs , upon the most conspicuous door of the corridor , was traced in black ink a gigantic number "" 1 . "" d’artagnan knocked , and upon the bidding to come in which came from inside , he entered the chamber .",46
"this was a demoniac laugh -- low , suppressed , and deep -- uttered , as it seemed , at the very keyhole of my chamber door .",25
"i thought no more of mrs . fairfax ; i thought no more of grace poole , or the laugh : in an instant , i was within the chamber .",29
