text,ind
""" a moment , gentlemen , a moment ; give grimaud time to clear away the breakfast . """,13
"all at once i heard a clear voice call , "" miss jane ! where are you ? come to lunch ! """,6
"in less than an hour he could clear it , and it might be hoped that where neither cyrus harding nor the reporter could have ventured without danger , top , running among the grass or in the wood , would pass unperceived .",7
""" tall , fine bust , sloping shoulders ; long , graceful neck : olive complexion , dark and clear ; noble features ; eyes rather like mr . rochester 's : large and black , and as brilliant as her jewels .",19
""" clear , "" i replied .",1
"the skiff pulled clear , and carried off by its six oars , it headed swiftly toward the dugong , which by then was floating two miles from the nautilus .",3
""" let us understand each other , my lord , "" replied d’artagnan , "" and let us make things clear beforehand in order that there may be no mistake .",20
"towards eleven o'clock , the lower region of the air was sensibly clearer .",12
"because newfoundland is simply an underwater peak , you could call these cod mountain fish . while the nautilus was clearing a path through their tight ranks , conseil could n't refrain from making this comment :",20
"having nothing better to do , i decided to dredge these beautiful , clear waters , which exhibited a profusion of shells , zoophytes , and open - sea plants . besides , it was the last day the nautilus would spend in these waterways , if , tomorrow , it still floated off to the open sea as captain nemo had promised .",13
""" so , professor aronnax , you think the nautilus wo n't be able to float clear ? """,16
""" no , sir . accordingly , i 'm in the habit of staying in the pilothouse and directing maneuvers myself . and now if you 'll kindly go below , professor aronnax , the nautilus is about to sink beneath the waves , and it will only return to the surface after we 've cleared the arabian tunnel . """,55
"there the ocean floor formed a valley 120 kilometers wide , into which you could fit mt . blanc without its summit poking above the surface of the waves . this valley is closed off to the east by a sheer wall 2,000 meters high . we arrived there on may 28 , and the nautilus lay no farther than 150 kilometers from ireland . would captain nemo head up north and beach us on the british isles ? no . much to my surprise , he went back down south and returned to european seas . as we swung around the emerald isle , i spotted cape clear for an instant , plus the lighthouse on fastnet rock that guides all those thousands of ships setting out from glasgow or liverpool .",108
"but the king soon again became dull and indisposed ; his brow was not one of those that long remain clear . he felt that in returning to camp he should re - enter slavery ; nevertheless , he did return .",20
"if the five prisoners who escaped from richmond had been all there , under the piled - up rocks , before this clear , crackling fire on the dry sand , what thanksgiving must they have rendered to heaven !",22
"meanwhile preparations for this daring attempt were getting under way . the nautilus 's powerful pumps forced air down into the tanks and stored it under high pressure . near four o'clock captain nemo informed me that the platform hatches were about to be closed . i took a last look at the dense ice bank we were going to conquer . the weather was fair , the skies reasonably clear , the cold quite brisk , namely -12 degrees centigrade ; but after the wind had lulled , this temperature did n't seem too unbearable .",70
""" ay , ay ! "" said athos , exchanging a smile with d’artagnan and aramis , "" it is very clear you acted nobly with regard to the poor lad ; that is like a good master . """,21
""" also , since the night is clear , i will try , this very evening , to obtain our latitude by calculating the height of the southern cross , that is , from the southern pole above the horizon .",7
""" but it must be clear to them , "" i exclaimed , "" that they 're dealing with human beings . """,5
"if we accept the hypotheses of the microbiologist ehrenberg-- who believes that these underwater depths are lit up by phosphorescent organisms -- nature has certainly saved one of her most prodigious sights for residents of the sea , and i could judge for myself from the thousandfold play of the light . on both sides i had windows opening over these unexplored depths . the darkness in the lounge enhanced the brightness outside , and we stared as if this clear glass were the window of an immense aquarium .",80
"they dispersed about the room , reminding me , by the lightness and buoyancy of their movements , of a flock of white plumy birds . some of them threw themselves in half - reclining positions on the sofas and ottomans : some bent over the tables and examined the flowers and books : the rest gathered in a group round the fire : all talked in a low but clear tone which seemed habitual to them .",70
"this instrument finished , the engineer returned to the beach , but as it was necessary to take the height of the pole from above a clear horizon , that is , a sea horizon , and as claw cape hid the southern horizon , he was obliged to look for a more suitable station .",26
"let the reader add , to complete the picture , refined features ; a complexion , if pale , clear ; and a stately air and carriage , and he will have , at least , as clearly as words can give it , a correct idea of the exterior of miss temple -- maria temple , as i afterwards saw the name written in a prayer - book intrusted to me to carry to church .",19
"meanwhile the mists did n't clear , and by eleven o'clock the sun still had n't made an appearance . its absence disturbed me . without it , no sights were possible . then how could we tell whether we had reached the pole ?",5
"the next day , march 20 , it stopped snowing . the cold was a little more brisk . the thermometer marked -2 degrees centigrade . the mist had cleared , and on that day i hoped our noon sights could be accomplished .",29
"but all at once , as if undergoing the influence of an unspoken thought , the countenance of the cardinal , till then gloomy , cleared up by degrees , and recovered perfect serenity .",25
