text,ind
"but more was to come , when , with a rush through clouds of bone dust , he laid his hand upon a bare skull , and cried with a voice trembling with excitement :",12
"the stream widened as they went further on , till at length it passed under one of the frightful rocks , whose summits seemed to reach the clouds .",27
"breathing that sea breeze , so much more invigorating and balsamic as the land is approached , contemplating all the power of those preparations she was commissioned to destroy , all the power of that army which she was to combat alone -- she , a woman with a few bags of gold -- milady compared herself mentally to judith , the terrible jewess , when she penetrated the camp of the assyrians and beheld the enormous mass of chariots , horses , men , and arms , which a gesture of her hand was to dissipate like a cloud of smoke .",99
"still bright on clouds of suffering dim shines that soft , solemn joy ; nor care i now , how dense and grim disasters gather nigh .",3
"october 16th.--a dull and foggy day with a drizzle of rain . the house is banked in with rolling clouds , which rise now and then to show the dreary curves of the moor , with thin , silver veins upon the sides of the hills , and the distant boulders gleaming where the light strikes upon their wet faces . it is melancholy outside and in . the baronet is in a black reaction after the excitements of the night . i am conscious myself of a weight at my heart and a feeling of impending danger -- ever present danger , which is the more terrible because i am unable to define it .",19
"he seemed about to give up all hope , when he espied , anchored at the battery , a cable 's length off at most , a trading vessel , with a screw , well - shaped , whose funnel , puffing a cloud of smoke , indicated that she was getting ready for departure .",43
"she broke forth as never moon yet burst from cloud : a hand first penetrated the sable folds and waved them away ; then , not a moon , but a white human form shone in the azure , inclining a glorious brow earthward .",9
"the inventory of the articles possessed by these castaways from the clouds , thrown upon a coast which appeared to be uninhabited , was soon made out .",11
""" very dimly -- each is a luminous cloud . """,8
"now , one evening when d’artagnan , who was in the trenches , was not able to accompany them , athos , porthos , and aramis , mounted on their battle steeds , enveloped in their war cloaks , with their hands upon their pistol butts , were returning from a drinking place called the red dovecot , which athos had discovered two days before upon the route to jarrie , following the road which led to the camp and quite on their guard , as we have stated , for fear of an ambuscade , when , about a quarter of a league from the village of boisnau , they fancied they heard the sound of horses approaching them . they immediately all three halted , closed in , and waited , occupying the middle of the road . in an instant , and as the moon broke from behind a cloud , they saw at a turning of the road two horsemen who , on perceiving them , stopped in their turn , appearing to deliberate whether they should continue their route or go back .",152
"i lingered ; the moon shut herself wholly within her chamber , and drew close her curtain of dense cloud : the night grew dark ; rain came driving fast on the gale .",19
""" the third , then , fell from the clouds , i suppose ? """,9
"at noon the sun made a momentary appearance . taking advantage of this rift in the clouds , the chief officer took the orb 's altitude . then the sea grew turbulent , we went below again , and the hatch closed once more .",16
"at six o'clock the day broke suddenly , with that speed unique to tropical regions , which experience no real dawn or dusk . the sun 's rays pierced the cloud curtain gathered on the easterly horizon , and the radiant orb rose swiftly .",30
"nothing else until the moment when , through a rift in the clouds , i saw the daring captain clinging to one of the animal 's fins , fighting the monster at close quarters , belaboring his enemy 's belly with stabs of the dagger yet unable to deliver the deciding thrust , in other words , a direct hit to the heart . in its struggles the man - eater churned the watery mass so furiously , its eddies threatened to knock me over .",12
"i see at intervals the glance of a curious sort of bird through the close - set bars of a cage : a vivid , restless , resolute captive is there ; were it but free , it would soar cloud - high . you are still bent on going ? """,40
and jup gravely puffed out clouds of smoke which seemed to give him great satisfaction .,5
