text,ind
"the officers who arrested him conducted him straight to the bastille , where he passed trembling before a party of soldiers who were loading their muskets .",5
was it not a direct menace against the work which he and his companions had till now conducted so successfully ?,17
"he then conducted cacambo to the old man ; candide acted now only a second character , and attended his valet .",2
""" dicers ’ oaths ! "" said athos , while d’artagnan went to conduct kitty downstairs .",13
""" with all due respect to master , "" conseil replied , "" the nautilus 's commander has invited us , together with master , for a visit tomorrow to ceylon 's magnificent pearl fisheries . he did so in the most cordial terms and conducted himself like a true gentleman . """,45
"i do not know where she is or whither they have conducted her . she is perhaps a prisoner ; she is perhaps dead ! """,11
""" but is it the custom for the officers in the english navy to place themselves at the service of their female compatriots when they land in a port of great britain , and carry their gallantry so far as to conduct them ashore ? """,41
"now then , although the latter hypothesis was completely admissible , it could n't stand up to inquiries conducted in both the new world and the old . that a private individual had such a mechanism at his disposal was less than probable . where and when had he built it , and how could he have built it in secret ?",18
"so , after inquiries conducted in england , france , russia , prussia , spain , italy , america , and even turkey , the hypothesis of an underwater monitor was ultimately rejected .",4
""" however , since you are determined to leave us , i will immediately give orders to the superintendent of my carriages to cause one to be made that will convey you very safely . when they have conducted you to the back of the mountains , nobody can attend you farther ; for my subjects have made a vow never to quit the kingdom , and they are too prudent to break it . ask me whatever else you please . """,38
"the engineer was then informed of all that had passed during the voyage , and under what conditions the search had been conducted ; how the only dwelling in the island had long been abandoned ; how at last a castaway had been captured , who appeared no longer to belong to the human species .",22
"he believed they were come to conduct him to the scaffold ; so that when he saw merely and simply , instead of the executioner he expected , only his commissary of the preceding evening , attended by his clerk , he was ready to embrace them both .",6
"at the end of a quarter of an hour , however , surprised at the length of the journey , she leaned forward toward the door to see whither she was being conducted .",32
"this was certainly a considerable work , and though it was skillfully conducted , it took some time , for the mercy at this place was eighty feet wide .",12
"then i understood it all . to make myself heard , i must speak along this wall , which would conduct the sound of my voice just as wire conducts electricity .",20
"then i understood it all . to make myself heard , i must speak along this wall , which would conduct the sound of my voice just as wire conducts electricity .",29
"in other people 's presence i was , as formerly , deferential and quiet ; any other line of conduct being uncalled for : it was only in the evening conferences i thus thwarted and afflicted him .",19
"meantime , mr . rochester affirmed i was wearing him to skin and bone , and threatened awful vengeance for my present conduct at some period fast coming .",22
"i received orders to go and take charge of you on the sea , and to conduct you to this castle . this order i believe i have accomplished with all the exactness of a soldier , but also with the courtesy of a gentleman .",16
"this wonderful underground conversation , carried on with a distance of four miles and a quarter between us , concluded with these words of hope . i thanked god from my heart , for it was he who had conducted me through those vast solitudes to the point where , alone of all others perhaps , the voices of my companions could have reached me .",39
"this acoustic effect is easily explained on scientific grounds . it arose from the concave form of the gallery and the conducting power of the rock . there are many examples of this propagation of sounds which remain unheard in the intermediate space . i remember that a similar phenomenon has been observed in many places ; amongst others on the internal surface of the gallery of the dome of st . paul 's in london , and especially in the midst of the curious caverns among the quarries near syracuse , the most wonderful of which is called dionysius ' ear .",21
but so irregular was the formation of the valleys that cyrus harding was obliged to conduct the exploration in a strictly methodical manner .,15
"faithful to his mission of vengeance , athos had requested to be conducted to the garden ; and there upon the sand following the light steps of this woman , who left sharp tracks wherever she went , he advanced toward the gate which led into the wood , and causing it to be opened , he went out into the forest .",12
""" sample some , ned my friend , sample all you like . we 're here to conduct experiments , let 's conduct them . """,17
""" sample some , ned my friend , sample all you like . we 're here to conduct experiments , let 's conduct them . """,22
""" a good man . does that mean a respectable well - conducted man of fifty ? or what does it mean ? """,12
"late in the day they passed through the capricious channels of hong kong , and the tankadere , impelled by favourable winds , conducted herself admirably .",23
"after supper the marchioness conducted candide into her dressingroom , and made him sit down under a canopy .",4
often have i observed your conduct .,5
top 's conduct puzzled cyrus harding even more than he cared to acknowledge to himself .,2
