text,ind
"the lake might be considered as a large center basin , which was filled by the water from the red creek .",4
"considering the gravity of the occasion , i permit you to speak , my friend ; but be laconic , i beg .",0
"' it 's a pun ! ' the king added in an offended tone , and everybody laughed , ' let the jury consider their verdict , ' the king said , for about the twentieth time that day .",23
""" and since i am myself poor and obscure , i can offer you but a service of poverty and obscurity . _ you _ may even think it degrading -- for i see now your habits have been what the world calls refined : your tastes lean to the ideal , and your society has at least been amongst the educated ; but _ i _ consider that no service degrades which can better our race .",67
d’artagnan knew it was considered disobliging by an englishman to refuse to pledge him .,4
"consider , monsieur , the thing is absolutely impossible . """,0
""" yes , we . besides , we are men ; and everything considered , it is our lot to risk our lives ; but she , "" asked he , in an undertone .",13
""" we shall consider , "" replied the engineer , "" and if we do not find some substance similar to tinder-- """,3
"however , pencroft had thought of doing so , but cyrus harding having told him that even if he managed to count three hundred grains a minute , or nine thousand an hour , it would take him nearly five thousand five - hundred years to finish his task , the honest sailor considered it best to give up the idea .",53
""" indeed ! i considered it a very natural and necessary one : he had talked of his future wife dying with him .",4
"meanwhile , all things considered and notwithstanding his suspicions , as the wound might be serious , he immediately sent off a mounted man to find a physician .",4
"all this my uncle was going to sacrifice to a bit of old parchment . as an affectionate and attentive nephew i considered it my duty to eat for him as well as for myself , which i did conscientiously .",22
"she could scarcely believe in her happiness ; and d’artagnan was forced to renew with the living voice the assurances which he had written . and whatever might be -- considering the violent character of milady -- the danger which the poor girl incurred in giving this billet to her mistress , she ran back to the place royale as fast as her legs could carry her .",30
"d’artagnan , following the strange custom of the times , considered himself at paris as on a campaign , neither more nor less than if he had been in flanders -- spain yonder , woman here .",10
""" consider that i 've said nothing , "" said fix ; "" and let us drink . """,1
""" well , sir , it was immediately after that our own trouble came to us . and then again , sir , we were both of us very fond of sir charles , as we well might be considering all that he has done for us . to rake this up could n't help our poor master , and it 's well to go carefully when there 's a lady in the case . even the best of us ---- """,39
"candide , however , had one advantage over martin : he lived in the pleasing hopes of seeing miss cunegund once more ; whereas , the poor philosopher had nothing to hope for . besides , candide had money and jewels , and , not withstanding he had lost a hundred red sheep laden with the greatest treasure outside of el dorado , and though he still smarted from the reflection of the dutch skipper 's knavery , yet when he considered what he had still left , and repeated the name of cunegund , especially after meal times , he inclined to pangloss 's doctrine .",81
"he was well known at the hotel of the musketeers , where everyone considered him a good comrade . m. de treville , who had appreciated him at the first glance and who bore him a real affection , never ceased recommending him to the king .",13
""" would he not consider it as too dangerous ? """,4
"now , lord glenarvan promised ayrton that he would return to take him off from tabor island when he considered that his crimes were expiated , and i believe that he will return . """,19
i considered these remarks very clever .,1
"he knew what were the rights of the great land owners . he was profoundly versed in hunting and falconry , and had one day when conversing on this great art astonished even louis xiii himself , who took a pride in being considered a past master therein .",43
"i knew by her stony eye -- opaque to tenderness , indissoluble to tears -- that she was resolved to consider me bad to the last ; because to believe me good would give her no generous pleasure : only a sense of mortification .",20
""" you consider yourselves , gentlemen , under some obligations to me ? """,2
gideon spilett jokingly asked whether these active and merry quadrupeds did not consider him and his companions as degenerate brothers .,12
"any volcano , although considered extinct , may evidently again burst forth . """,4
i considered .,1
"the writer spoke of acute bodily illness — of a mental disorder which oppressed him — and of an earnest desire to see me , as his best and indeed his only personal friend , with a view of attempting , by the cheerfulness of my society , some alleviation of his malady . it was the manner in which all this , and much more , was said — it was the apparent heart that went with his request — which allowed me no room for hesitation ; and i accordingly obeyed forthwith what i still considered a very singular summons .",97
"that sharp peak might hence be considered as the gnomon of a vast sun dial , the shadow projected from which on a certain day would point out the road to the centre of the earth .",6
"he then drew two crowns majestically from his purse and gave them to the host , who accompanied him , cap in hand , to the gate , and remounted his yellow horse , which bore him without any further accident to the gate of st . antoine at paris , where his owner sold him for three crowns , which was a very good price , considering that d’artagnan had ridden him hard during the last stage .",67
"do you not see it , jane ? consider a moment -- your strong sense will guide you . """,8
"and , having paid his passenger what he considered a high compliment , he was going away , when mr . fogg said , "" the vessel now belongs to me ? """,8
"d’artagnan was well known among the honorable corps of the king ’s musketeers , in which it was known he would one day take his place ; he was considered beforehand as a comrade .",29
"in the meanwhile , considering the rapid current , harding was led to suppose that he and his companions were much farther from the western coast than they had at first supposed .",4
""" if de wardes has related all our affair to the cardinal , which is not to be doubted , and if he has recognized me , as is probable , i may consider myself almost as a condemned man , "" said d’artagnan , shaking his head .",33
"alice considered a little , and then said ' the fourth . ''two days wrong ! ' sighed the hatter . ' i told you butter would n't suit the works ! ' he added looking angrily at the march hare .",1
"but cyrus harding considered it of importance that no one should injure his health , for he had need of all his hands , and his advice was followed .",3
""" we have still fifteen days before us , "" said he to his friends , "" well , if at the end of a fortnight i have found nothing , or rather if nothing has come to find me , as i , too good a catholic to kill myself with a pistol bullet , i will seek a good quarrel with four of his eminence ’s guards or with eight englishmen , and i will fight until one of them has killed me , which , considering the number , can not fail to happen .",88
"i shall be absent a fortnight -- take that space of time to consider my offer : and do not forget that if you reject it , it is not me you deny , but god .",13
""" damnation ! "" the canadian shot back . "" considering the amount of gin i 've had these past two months , you 've got nothing to complain about ! """,10
"the bark of the willow has , indeed , been justly considered as a succedaneum for peruvian bark , as has also that of the horse - chestnut tree , the leaf of the holly , the snake - root , etc . it was evidently necessary to make trial of this substance , although not so valuable as peruvian bark , and to employ it in its natural state , since they had no means for extracting its essence .",11
"she considered me attentively for a minute or two , then further added--",1
"' treacle , ' said the dormouse , without considering at all this time .",9
"it was apparently considered out of the question to dive by filling the ballast tanks . perhaps they would n't sufficiently increase the nautilus 's specific gravity . moreover , in order to come back up , it would be necessary to expel the excess water , and our pumps might not have been strong enough to overcome the outside pressure .",3
""" now , "" thought he , when he had eaten heartily , "" i must n't lose my head . i ca n't sell this costume again for one still more japanese . i must consider how to leave this country of the sun , of which i shall not retain the most delightful of memories , as quickly as possible . """,36
""" consider , pencroft , "" resumed harding , "" you can not go alone to tabor island . """,1
"my uncle took a few minutes to consider . for one short moment i felt a ray of hope , speedily to be extinguished . for he soon answered thus :",7
""" and then i have thought that considering three months ’ lodging , about which i have said nothing-- """,7
""" are the english expected by land , or do the musketeers consider themselves superior officers ? """,12
""" be so good , landlord , as not to swear , but remember this : cats were formerly considered , in india , as sacred animals . that was a good time . """,19
"this moment my former notions of deliverance darted into my thoughts , for now i found i was likely to have a little ship at my command ; and my master being gone , i prepared to furnish myself , not for fishing business , but for a voyage ; though i knew not , neither did i so much as consider , whither i should steer — anywhere to get out of that place was my desire .",61
"the present mr . rochester 's mother was a fairfax , and second cousin to my husband : but i never presume on the connection -- in fact , it is nothing to me ; i consider myself quite in the light of an ordinary housekeeper : my employer is always civil , and i expect nothing more . """,36
"i watch your career with interest , because i consider you a specimen of a diligent , orderly , energetic woman : not because i deeply compassionate what you have gone through , or what you still suffer . """,9
""" i mean to say , young man , that he who sleeps over a mine the match of which is already lighted , may consider himself in safety in comparison with you . """,25
"i suppose he had considered that these were all the governess would require for her private perusal ; and , indeed , they contented me amply for the present ; compared with the scanty pickings i had now and then been able to glean at lowood , they seemed to offer an abundant harvest of entertainment and information .",4
"i now began to consider seriously my condition , and the circumstances i was reduced to ; and i drew up the state of my affairs in writing , not so much to leave them to any that were to come after me — for i was likely to have but few heirs — as to deliver my thoughts from daily poring over them , and afflicting my mind ; and as my reason began now to master my despondency , i began to comfort myself as well as i could , and to set the good against the evil , that i might have something to distinguish my case from worse ; and i stated very impartially , like debtor and creditor , the comforts i enjoyed against the miseries i suffered , thus : —",4
""" teeth ! "" i cried , considering the iron bar with more attention .",7
""" i have no cause to do otherwise than like him ; and i believe he is considered a just and liberal landlord by his tenants : but he has never lived much amongst them . """,17
"i must consider . i must visit the mountain . in a few days i shall learn more on this point . """,2
