text,sense,label,ind,new_label
""" but now , my dear cyrus , all this industrial and commercial movement to which you predict a continual advance , does it not run the danger of being sooner or later completely stopped ? ""","('danger', 'danger', 'peligrar')",0,27,0
""" i am at quite a loss how to answer you , i admit , "" said mme . bonacieux . "" my intention was to inform monsieur laporte , through my husband , in order that monsieur laporte might tell us precisely what had taken place at the louvre in the last three days , and whether there is any danger in presenting myself there . ""","('danger', 'danger', 'peligrar')",0,61,0
"the commissary then , instead of continuing to interrogate him , made him a long speech upon the danger there is for an obscure citizen to meddle with public matters .","('danger', 'danger', 'peligrar')",0,18,0
"throughout the night aouda , full of sad forebodings , her heart stifled with anguish , wandered about on the verge of the plains . her imagination carried her far off , and showed her innumerable dangers . what she suffered through the long hours it would be impossible to describe .","('danger', 'danger', 'peligro')",1,36,1
"his dog would have warned him of any danger , and , as top did not bark , it might be concluded that there was nothing to fear at the moment at least , and that the convicts were occupied in another part of the island .","('danger', 'danger', 'peligrar')",0,8,0
"now , as he did not growl , it was because danger was neither near nor approaching .","('danger', 'danger', 'peligrar')",0,11,0
""" no , no , it was a hound . my god , can there be some truth in all these stories ? is it possible that i am really in danger from so dark a cause ? you do n't believe it , do you , watson ? ""","('danger', 'danger', 'peligrar')",0,31,0
""" how sad to be lying now on a sick bed , and to be in danger of dying !","('danger', 'danger', 'peligrar')",0,16,0
"so the nautilus hove before the entrance to the world 's most dangerous strait , a passageway that even the boldest navigators hesitated to clear : the strait that luis vaez de torres faced on returning from the south seas in melanesia , the strait in which sloops of war under captain dumont d'urville ran aground in 1840 and nearly miscarried with all hands . and even the nautilus , rising superior to every danger in the sea , was about to become intimate with its coral reefs .","('danger', 'danger', 'peligro')",1,74,1
""" the man is a public danger . there are lonely houses scattered over the moor , and he is a fellow who would stick at nothing . you only want to get a glimpse of his face to see that . look at mr . stapleton 's house , for example , with no one but himself to defend it . there 's no safety for anyone until he is under lock and key . ""","('danger', 'danger', 'peligrar')",0,6,0
""" my boy ! "" said cyrus harding , "" you ran a great danger , but , perhaps , without that , the poor creature would have still hidden himself from your search , and we should not have had a new companion . ""","('danger', 'danger', 'peligrar')",0,14,0
""" and also , "" said holmes , "" that someone is not ill - disposed towards you , since they warn you of danger . ""","('danger', 'danger', 'peligrar')",0,24,0
"she could scarcely believe in her happiness ; and d’artagnan was forced to renew with the living voice the assurances which he had written . and whatever might be -- considering the violent character of milady -- the danger which the poor girl incurred in giving this billet to her mistress , she ran back to the place royale as fast as her legs could carry her .","('danger', 'danger', 'peligrar')",0,38,0
""" do you mean danger from this family fiend or do you mean danger from human beings ? ""","('danger', 'danger', 'peligrar')",0,4,0
"this last operation cyrus harding had made alone , in a retired place , at a distance from the chimneys , for he feared the danger of an explosion , and when he showed a bottle of this liquid to his friends , he contented himself with saying,-- "" here is nitro - glycerine ! ""","('danger', 'danger', 'peligro')",1,25,1
"gideon spilett ranked among the first of those reporters : a man of great merit , energetic , prompt and ready for anything , full of ideas , having traveled over the whole world , soldier and artist , enthusiastic in council , resolute in action , caring neither for trouble , fatigue , nor danger , when in pursuit of information , for himself first , and then for his journal , a perfect treasury of knowledge on all sorts of curious subjects , of the unpublished , of the unknown , and of the impossible . he was one of those intrepid observers who write under fire , "" reporting "" among bullets , and to whom every danger is welcome .","('danger', 'danger', 'peligro')",1,55,1
"i begged for the honour of lighting the fuse . this duty done , i was to join my companions on the raft , which had not yet been unloaded ; we should then push off as far as we could and avoid the dangers arising from the explosion , the effects of which were not likely to be confined to the rock itself .","('danger', 'danger', 'peligro')",1,44,1
"put an end to my doubts ; i have courage enough for any danger i can foresee , for every misfortune which i understand .","('danger', 'danger', 'peligrar')",0,13,0
the settlers ' domain was now menaced with terrible danger .,"('danger', 'danger', 'peligrar')",0,9,0
""" what danger shall we run , "" said herbert , "" if we take care to be always on our guard ? ""","('danger', 'danger', 'peligrar')",0,2,0
