text,ind
"i could not , in those days , see god for his creature : of whom i had made an idol .",6
"pencroft gave him his directions as a commander to his steersman , and herbert never allowed the "" bonadventure "" to swerve even a point . the night passed quickly , as did the day of the 12th of october .",34
"a short gallop brought them to the road of chaillot ; the day began to decline , carriages were passing and repassing . d’artagnan , keeping at some distance from his friends , darted a scrutinizing glance into every carriage that appeared , but saw no face with which he was acquainted .",12
in the expectation of the next day they could not but feel some emotion .,6
"missis intends you to leave gateshead in a day or two , and you shall choose what toys you like to take with you . """,8
"all these questions , which would no doubt be answered the next day , kept them in suspense , and at the dawn of day they all fixed their gaze on the western horizon .",12
"to say canadian is to say french , and as unsociable as ned land was , i must admit he took a definite liking to me . no doubt it was my nationality that attracted him . it was an opportunity for him to speak , and for me to hear , that old rabelaisian dialect still used in some canadian provinces . the harpooner 's family originated in quebec , and they were already a line of bold fishermen back in the days when this town still belonged to france .",83
"seated on the afterdeck , ned land and i chatted about one thing and another , staring at that mysterious sea whose depths to this day are beyond the reach of human eyes . quite naturally , i led our conversation around to the giant unicorn , and i weighed our expedition 's various chances for success or failure . then , seeing that ned just let me talk without saying much himself , i pressed him more closely .",25
"milady , being well prepared for the reception of felton , was able to erect her batteries for the next day .",20
"several days passed , and the poor boy 's state was happily no worse .",1
"near three o'clock in the afternoon on july 6 , fifteen miles south of shore , the abraham lincoln doubled that solitary islet at the tip of the south american continent , that stray rock dutch seamen had named cape horn after their hometown of hoorn . our course was set for the northwest , and the next day our frigate 's propeller finally churned the waters of the pacific .",58
"business now began , the day 's collect was repeated , then certain texts of scripture were said , and to these succeeded a protracted reading of chapters in the bible , which lasted an hour .",5
"by the time that exercise was terminated , day had fully dawned .",8
"i was now nearly sick from inanition , having taken so little the day before .",13
"at noon the next day , november 5 , the agreed - upon delay expired . after a position fix , true to his promise , commander farragut would have to set his course for the southeast and leave the northerly regions of the pacific decisively behind .",4
"by setting out the next day , the 10th of october , they would arrive on the 13th , for with the present wind it would not take more than forty - eight hours to make this passage of a hundred and fifty miles .",5
noon arrived without the orb of day appearing for a single instant . you could n't even find its hiding place behind the curtain of mist . and soon this mist began to condense into snow .,6
"the blizzard lasted until the next day . it was impossible to stay on the platform . from the lounge , where i was writing up the incidents of this excursion to the polar continent , i could hear the calls of petrel and albatross cavorting in the midst of the turmoil . the nautilus did n't stay idle , and cruising along the coast , it advanced some ten miles farther south amid the half light left by the sun as it skimmed the edge of the horizon .",6
"the torches were now almost consumed , and as they were obliged to return by the passage to reach the summit of the plateau , it was decided to put off the work necessary for the arrangement of their new dwelling till the next day .",44
"they were all three anxious to continue their exploration of the day before , and to search the most secret recesses of the islet !",11
day dawned ; pencroft and his companions immediately proceeded to survey the dwelling .,0
""" is your book interesting ? "" i had already formed the intention of asking her to lend it to me some day .",22
"the next day , march 20 , it stopped snowing . the cold was a little more brisk . the thermometer marked -2 degrees centigrade . the mist had cleared , and on that day i hoped our noon sights could be accomplished .",2
"the next day , march 20 , it stopped snowing . the cold was a little more brisk . the thermometer marked -2 degrees centigrade . the mist had cleared , and on that day i hoped our noon sights could be accomplished .",34
at the same time and on the same day another important personage fell into the hands of the southerners .,8
"at six o'clock day began to break , and with the dawn 's early light , the narwhale 's electric glow disappeared . at seven o'clock the day was well along , but a very dense morning mist shrank the horizon , and our best spyglasses were unable to pierce it . the outcome : disappointment and anger .",3
"the next day , the 22nd of may , the arrangement of their new dwelling was commenced .",2
""" and yet , notwithstanding these precautions , i remained for some time in a terrible agitation of mind . but my fears were this time ill - founded ; i passed the day without experiencing anything of the kind i dreaded .",33
the whole of the next day was spent in preparations for departure . d’artagnan went to take leave of m. de treville .,5
"she seemed the emblem of my past life ; and here i was now to array myself to meet , the dread , but adored , type of my unknown future day .",31
"i found a place near him and waited without speaking . noon arrived , and just as on the day before , the sun did n't put in an appearance .",19
""" because when the orb of day sweeps in such long spirals , it 's difficult to measure its exact altitude above the horizon , and our instruments are open to committing serious errors . """,6
"the next day , march 21 , bright and early at five o'clock in the morning , i climbed onto the platform . i found captain nemo there .",2
i have heard of day - dreams -- is she in a day - dream now ?,4
i have heard of day - dreams -- is she in a day - dream now ?,12
"calm of eye , cool of feature , an old gray - bearded gunner-- i can see him to this day -- approached the cannon , put it in position , and took aim for a good while . there was a mighty explosion , mingled with cheers from the crew .",20
"anne of austria , who , in consequence of the seizure of her letter , expected reproaches , was much astonished the next day to see the king make some attempts at reconciliation with her .",23
"however , to the abraham lincoln 's credit , it must be said that we struggled on with tireless persistence . i estimate that we covered a distance of at least 500 kilometers during this ill - fated day of november 6 . but night fell and wrapped the surging ocean in its shadows .",38
"wood , close your book and take off your surplice ; john green ( to the clerk ) , leave the church : there will be no wedding to - day . """,30
"nevertheless , day dawned without darkness having brought any accident .",2
""" take it back to the coach - house , john , "" said mr . rochester coolly ; "" it will not be wanted to - day . """,27
""" good - morrow , mrs . poole ! "" said mr . rochester . "" how are you ? and how is your charge to - day ? """,27
"what had he seen ? then , lord knows why , the thought of the monster came into my head for the first time . . . ! but even so , that voice . . . ? gone are the days when jonahs took refuge in the bellies of whales !",41
"the next day , the 20th of october , at seven o'clock in the morning , after a voyage of four days , the "" bonadventure "" gently glided up to the beach at the mouth of the mercy .",2
"the next day , the 5th of june , in rather uncertain weather , they set out for the islet .",2
""" buckingham had left england the day before , sent as ambassador to spain , to demand the hand of the infanta for king charles i , who was then only prince of wales .",6
"i perceived that i was sickening from excitement and inanition ; neither meat nor drink had passed my lips that day , for i had taken no breakfast .",20
""" you are very generous , gentlemen of the guards , "" said athos , full of rancor , for jussac was one of the aggressors of the preceding day .",29
"after two hours of work , reentering to snatch some food and rest , i found a noticeable difference between the clean elastic fluid supplied me by the rouquayrol device and the nautilus 's atmosphere , which was already charged with carbon dioxide . the air had n't been renewed in forty - eight hours , and its life - giving qualities were considerably weakened . meanwhile , after twelve hours had gone by , we had removed from the outlined surface area a slice of ice only one meter thick , hence about 600 cubic meters . assuming the same work would be accomplished every twelve hours , it would still take five nights and four days to see the undertaking through to completion .",117
"he was led there without difficulty , and with careful attention , it might , perhaps , be hoped that some day he would be a companion to the settlers in lincoln island .",21
"you know the rest . the day after tomorrow he banishes me , he transports me ; the day after tomorrow he exiles me among the infamous .",6
"you know the rest . the day after tomorrow he banishes me , he transports me ; the day after tomorrow he exiles me among the infamous .",18
"the next day , march 26 , i returned to my miner 's trade , working to remove the fifth meter . the ice bank 's side walls and underbelly had visibly thickened . obviously they would come together before the nautilus could break free . for an instant i was gripped by despair . my pick nearly slipped from my hands . what was the point of this digging if i was to die smothered and crushed by this water turning to stone , a torture undreamed of by even the wildest savages ! i felt like i was lying in the jaws of a fearsome monster , jaws irresistibly closing .",2
"it might be that the fever was not quotidian , but tertian , and that it would return next day .",19
"therefore , he awaited the next day with the greatest anxiety .",6
"meantime , monsieur , who knew that from one day to the other he might expect to be removed from his command by the duc d’angouleme , by bassompierre , or by schomberg , who were all eager for his post , did but little , lost his days in wavering , and did not dare to attempt any great enterprise to drive the english from the isle of re , where they still besieged the citadel st . martin and the fort of la pree , as on their side the french were besieging la rochelle .",48
"by the next day , march 27 , six meters of ice had been torn from the socket . only four meters were left to be removed . that still meant forty - eight hours of work . the air could n't be renewed in the nautilus 's interior . accordingly , that day it kept getting worse .",3
"one of the two guardsmen was engaged that evening , and another the next , so the meeting was fixed for the day after that .",22
""" how are you to - night , helen ? have you coughed much to - day ? """,16
