text,ind
""" exactly so , "" i said , determined not to say a word that might cross my uncle 's prejudices . "" there is even positive pleasure in living in this dense atmosphere . have you observed how intense sound is down here ? """,8
"however , he and his companions were determined to fight to the last gasp .",7
"they were determined to struggle to the last minute , to do anything to retard their fall .",2
"arriving at the summit of this peak , captain nemo carefully determined its elevation by means of his barometer , since he had to take this factor into account in his noon sights .",11
"cyrus harding and his companions were ready to act , but , determined though they were , they must not forget to be prudent .",12
i had prepared an occupation for him ; for i was determined not to spend the whole time in a _ tete - a - tete _ conversation . i remembered his fine voice ; i knew he liked to sing -- good singers generally do .,11
"ned land was determined , conseil calm , i myself nervous and barely in control .",3
""" the common narwhale , or sea unicorn , often reaches a length of sixty feet . increase its dimensions fivefold or even tenfold , then give this cetacean a strength in proportion to its size while enlarging its offensive weapons , and you have the animal we 're looking for . it would have the proportions determined by the officers of the shannon , the instrument needed to perforate the scotia , and the power to pierce a steamer 's hull .",57
"he went therefore to his appointment with athos without a second , determined to be satisfied with those his adversary should choose .",12
"rance sat down on the horsehair sofa , and knitted his brows as though determined not to omit anything in his narrative .",14
they then determined to depart .,2
""" if you are determined , "" said athos , "" do so . """,4
"not a word about the sapphire . was the gascon determined to keep it as a weapon against milady , or else , let us be frank , did he not reserve the sapphire as a last resource for his outfit ?",10
"i know no medium : i never in my life have known any medium in my dealings with positive , hard characters , antagonistic to my own , between absolute submission and determined revolt .",32
""" often ! "" said milady , who , having entered this track , and perceiving that falsehood succeeded , was determined to follow it to the end .",21
"it was he who , after the affair of the black river , determined at any cost to keep his place at the wicket of the telegraph office , and after having announced to his journal the result of the battle , telegraphed for two hours the first chapters of the bible .",13
"i had some fear -- or hope -- that here i should die : but i was soon up ; crawling forwards on my hands and knees , and then again raised to my feet -- as eager and as determined as ever to reach the road .",40
"at length he determined in favor of a poor scholar , who had labored ten years for the booksellers at amsterdam : being of opinion that no employment could be more detestable .",3
