text,ind
"on the day after the morrow , by eleven o’clock , the two diamond studs were finished , and they were so completely imitated , so perfectly alike , that buckingham could not tell the new ones from the old ones , and experts in such matters would have been deceived as he was .",13
"our two inhabitants of the other hemisphere amused themselves greatly with what they saw . the quoits were large , round pieces , yellow , red , and green , which cast a most glorious luster . our travelers picked some of them up , and they proved to be gold , emeralds , rubies , and diamonds ; the least of which would have been the greatest ornament to the superb throne of the great mogul .",57
""" you do n't mean to say , captain , "" interrupted pencroft , "" that we burn diamonds in our stoves in the shape of coal ? """,18
""" then the diamond is safe ? "" said he , timidly .",3
"have you traded it for your diamond ? "" "" no .",6
""" i am quite ready now , "" was his tranquil response . "" diamonds are trumps : be so good as to play , gentlemen . """,14
"the ceiling lights were off , yet the lounge was still brightly lit . this was due to the reflecting power of the walls of ice , which threw the beams of our beacon right back at us . words can not describe the effects produced by our galvanic rays on these huge , whimsically sculpted blocks , whose every angle , ridge , and facet gave off a different glow depending on the nature of the veins running inside the ice . it was a dazzling mine of gems , in particular sapphires and emeralds , whose jets of blue and green crisscrossed . here and there , opaline hues of infinite subtlety raced among sparks of light that were like so many fiery diamonds , their brilliance more than any eye could stand . the power of our beacon was increased a hundredfold , like a lamp shining through the biconvex lenses of a world - class lighthouse .",125
"his eyes were fixed upon those of the queen , and a smile of terrible joy passed over his lips ; the queen did not wear her diamond studs .",27
"the king opened it , and found in it two diamond studs .",10
"it is true that the habit of a huntress became her admirably . she wore a beaver hat with blue feathers , a surtout of gray - pearl velvet , fastened with diamond clasps , and a petticoat of blue satin , embroidered with silver .",32
"on her left shoulder sparkled the diamond studs , on a bow of the same color as the plumes and the petticoat .",6
"then the cardinal added , "" a propos , sire , do not forget to tell her majesty the evening before the fete that you should like to see how her diamond studs become her . """,31
it was the second time the cardinal had mentioned these diamond studs to the king .,10
""" madame , "" said he , with dignity , "" there will shortly be a ball at the hotel de ville . i wish , in order to honor our worthy aldermen , you should appear in ceremonial costume , and above all , ornamented with the diamond studs which i gave you on your birthday .",48
""" i must beg your eminence to observe , "" said milady , "" that since the affair of the diamond studs , about which the duke always suspected me , his grace distrusts me . """,20
""" and , miss eyre , so much was i flattered by this preference of the gallic sylph for her british gnome , that i installed her in an hotel ; gave her a complete establishment of servants , a carriage , cashmeres , diamonds , dentelles , & c.",44
"d’artagnan placed his hand upon the queen ’s diamond , which he wore , and quickly turned the stone inward ; but it was too late .",8
