text,ind
""" 192,000 years , my gallant conseil , which significantly extends the biblical days of creation . what 's more , the formation of coal-- in other words , the petrification of forests swallowed by floods-- and the cooling of basaltic rocks likewise call for a much longer period of time . i might add that those ' days ' in the bible must represent whole epochs and not literally the lapse of time between two sunrises , because according to the bible itself , the sun does n't date from the first day of creation . """,10
"extending over an expanse of 100 leagues north to south , and over 90 leagues east to west , this island group lies between latitude 2 degrees and 6 degrees south , and between longitude 174 degrees and 179 degrees west . it consists of a number of islands , islets , and reefs , among which we noted the islands of viti levu , vanua levu , and kadavu .",0
"it appeared as if it were , little by little , collapsing , and that its case was lengthening and extending , passing from a spherical to an oval form .",20
""" exactly . i fancy the yew alley , though not marked under that name , must stretch along this line , with the moor , as you perceive , upon the right of it . this small clump of buildings here is the hamlet of grimpen , where our friend dr . mortimer has his headquarters . within a radius of five miles there are , as you see , only a very few scattered dwellings . here is lafter hall , which was mentioned in the narrative . there is a house indicated here which may be the residence of the naturalist -- stapleton , if i remember right , was his name . here are two moorland farm - houses , high tor and foulmire . then fourteen miles away the great convict prison of princetown . between and around these scattered points extends the desolate , lifeless moor . this , then , is the stage upon which tragedy has been played , and upon which we may help to play it again . """,146
"it was the ocean , without any visible limits , even for those whose gaze , from their commanding position , extended over a radius of forty miles .",21
"at this period of the year , when the trees were dried up by a tropical heat , the forest caught fire instantaneously , in such a manner that the conflagration extended itself both by the trunks of the trees and by their higher branches , whose interlacement favored its progress .",31
"and there i was , fantasizing about sharks , envisioning huge jaws armed with multiple rows of teeth and capable of cutting a man in half . i could already feel a definite pain around my pelvic girdle . and how i resented the offhand manner in which the captain had extended his deplorable invitation ! you would have thought it was an issue of going into the woods on some harmless fox hunt !",51
""" you have not spoiled my pleasure in meeting you , mr . gray , "" said lord henry , stepping forward and extending his hand . "" my aunt has often spoken to me about you . you are one of her favourites , and , i am afraid , one of her victims also . """,23
"when d’artagnan arrived in sight of the bare spot of ground which extended along the foot of the monastery , athos had been waiting about five minutes , and twelve o’clock was striking .",12
"in fact , as regards practical effect , the transit described by the ball ought to be as extended as possible , and this tension could only be obtained under the condition that the projectile should be impelled with a very great initial velocity .",18
"during these excursions , which were not extended far from the brick - field , the hunters could discern the recent passage of animals of a large size , armed with powerful claws , but they could not recognize the species .",7
"when passepartout heard what this last voyage was going to cost , he uttered a prolonged "" oh ! "" which extended throughout his vocal gamut .",21
"on arriving at the end of one of these gloomy caverns , extending several hundred feet into the interior of the mountain , he was surprised to hear a deep rumbling noise , increased in intensity by the sonorousness of the rocks .",12
""" oh , i could produce the air needed on board , but it would be pointless , since i can rise to the surface of the sea whenever i like . however , even though electricity does n't supply me with breathable air , it at least operates the powerful pumps that store it under pressure in special tanks ; which , if need be , allows me to extend my stay in the lower strata for as long as i want . """,70
"one day solon was conversing with some elderly wise men in the egyptian capital of sais , a town already 8,000 years of age , as documented by the annals engraved on the sacred walls of its temples . one of these elders related the history of another town 1,000 years older still . this original city of athens , ninety centuries old , had been invaded and partly destroyed by the atlanteans . these atlanteans , he said , resided on an immense continent greater than africa and asia combined , taking in an area that lay between latitude 12 degrees and 40 degrees north . their dominion extended even to egypt . they tried to enforce their rule as far as greece , but they had to retreat before the indomitable resistance of the hellenic people . centuries passed . a cataclysm occurred -- floods , earthquakes . a single night and day were enough to obliterate this atlantis , whose highest peaks ( madeira , the azores , the canaries , the cape verde islands ) still emerge above the waves .",109
