text,ind
""" exactly . i fancy the yew alley , though not marked under that name , must stretch along this line , with the moor , as you perceive , upon the right of it . this small clump of buildings here is the hamlet of grimpen , where our friend dr . mortimer has his headquarters . within a radius of five miles there are , as you see , only a very few scattered dwellings . here is lafter hall , which was mentioned in the narrative . there is a house indicated here which may be the residence of the naturalist -- stapleton , if i remember right , was his name . here are two moorland farm - houses , high tor and foulmire . then fourteen miles away the great convict prison of princetown . between and around these scattered points extends the desolate , lifeless moor . this , then , is the stage upon which tragedy has been played , and upon which we may help to play it again . """,4
"then , resuming his mild air , "" you are deceived , gentlemen , "" said he , "" this handkerchief is not mine , and i can not fancy why monsieur has taken it into his head to offer it to me rather than to one of you ; and as a proof of what i say , here is mine in my pocket . """,29
"milady was so beautiful at this moment , the religious ecstasy in which she appeared to be plunged gave such an expression to her countenance , that felton was so dazzled that he fancied he beheld the angel whom he had only just before heard .",33
""" no human creature ? "" replied my uncle in a lower voice . "" you are wrong , axel . look , look down there ! i fancy i see a living creature similar to ourselves : it is a man ! """,28
""" little darling!--with her long curls and her blue eyes , and such a sweet colour as she has ; just as if she were painted!--bessie , i could fancy a welsh rabbit for supper . """,29
"dorian gray stepped up on the dais with the air of a young greek martyr , and made a little moue of discontent to lord henry , to whom he had rather taken a fancy . he was so unlike basil . they made a delightful contrast . and he had such a beautiful voice . after a few moments he said to him , "" have you really a very bad influence , lord henry ? as bad as basil says ? """,34
"it puzzles me now to remember with what absurd sincerity i doated on this little toy , half fancying it alive and capable of sensation . i could not sleep unless it was folded in my night - gown ; and when it lay there safe and warm , i was comparatively happy , believing it to be happy likewise .",18
""" that paper must be torn to pieces , "" said d’artagnan , who fancied he read in it his sentence of death .",14
do not fancy that i do you a favor ; i use either hand easily . and it will be even a disadvantage to you ; a left - handed man is very troublesome to people who are not prepared for it .,2
""" i have no doubt it was not an accident , dorian , though it must be put in that way to the public . it seems that as she was leaving the theatre with her mother , about half - past twelve or so , she said she had forgotten something upstairs . they waited some time for her , but she did not come down again . they ultimately found her lying dead on the floor of her dressing - room . she had swallowed something by mistake , some dreadful thing they use at theatres . i do n't know what it was , but it had either prussic acid or white lead in it . i should fancy it was prussic acid , as she seems to have died instantaneously . """,121
