text,ind,sense,label
"de winter followed his look , observed his feelings , and guessed all .",8,"('feeling', 'souffrance', 'sufrimiento')",0
i used to look at my master 's face to see if it were sad or fierce ; but i could not remember the time when it had been so uniformly clear of clouds or evil feelings .,36,"('feeling', 'sentiment', 'inclinación')",1
"cyrus harding listened smiling , and pencroft with an indescribable feeling of pride .",10,"('feeling', 'sentiment', 'sensación')",2
"the cardinal listened with a smile to this vociferous manifestation of the feelings of m. bonacieux ; and then , when bonacieux ’s cries were no longer audible , "" good ! "" said he , "" that man would henceforward lay down his life for me . """,12,"('feeling', 'sentiment', 'sentimiento')",3
""" only this time it was no longer an inert body , without feeling , that the villain had to deal with .",13,"('feeling', 'sentiment', 'sentimiento')",3
"the cut bled , the pain was sharp : my terror had passed its climax ; other feelings succeeded .",17,"('feeling', 'sentiment', 'sentimiento')",3
"the four countenances expressed four different feelings : that of porthos , tranquillity ; that of d’artagnan , hope ; that of aramis , uneasiness ; that of athos , carelessness .",6,"('feeling', 'sentiment', 'sentimiento')",3
wild was the wrestle which should be paramount ; but another feeling rose and triumphed : something hard and cynical : self - willed and resolute : it settled his passion and petrified his countenance : he went on--,11,"('feeling', 'sentiment', 'sentimiento')",3
""" with me , "" said i , "" it is fully as much a matter of feeling as of conscience : i must indulge my feelings ; i so seldom have had an opportunity of doing so .",17,"('feeling', 'sentiment', 'sentimiento')",3
""" with me , "" said i , "" it is fully as much a matter of feeling as of conscience : i must indulge my feelings ; i so seldom have had an opportunity of doing so .",26,"('feeling', 'sentiment', 'sentimiento')",3
"again she regarded me so icily , i felt at once that her opinion of me -- her feeling towards me -- was unchanged and unchangeable .",18,"('feeling', 'sentiment', 'sentimiento')",3
""" sir , even though you 've cut yourself off from humanity , i can see that you have n't disowned all human feeling . we 're castaways whom you 've charitably taken aboard , we 'll never forget that . speaking for myself , i do n't rule out that the interests of science could override even the need for freedom , which promises me that , in exchange , our encounter will provide great rewards . """,23,"('feeling', 'sentiment', 'sentimiento')",3
"but amid all this he perceived , with a feeling of real joy , that the queen must have discovered the prison in which poor mme . bonacieux was explaining her devotion , and that she had freed her from that prison ; and the letter he had received from the young woman , and her passage along the road of chaillot like an apparition , were now explained .",9,"('feeling', 'sentiment', 'sentimiento')",3
"i suppose i should now entertain none but fatherly feelings for you : do you think so ? come -- tell me . """,9,"('feeling', 'sentiment', 'sentimiento')",3
"and this feeling had been more painfully perceived by young d’artagnan -- for so was the don quixote of this second rosinante named -- from his not being able to conceal from himself the ridiculous appearance that such a steed gave him , good horseman as he was . he had sighed deeply , therefore , when accepting the gift of the pony from m. d’artagnan the elder .",2,"('feeling', 'sensation', 'sensación')",4
"then she continued her singing with inexpressible fervor and feeling . it appeared to her that the sounds spread to a distance beneath the vaulted roofs , and carried with them a magic charm to soften the hearts of her jailers .",9,"('feeling', 'sentiment', 'sentimiento')",3
