text,ind
""" well , my friend , someday the earth will be just such a cold corpse . like the moon , which long ago lost its vital heat , our globe will become lifeless and unlivable . """,4
"then , on the anniversary of the day on which i had been insulted , i hung my cassock on a peg , assumed the costume of a cavalier , and went to a ball given by a lady friend of mine and to which i knew my man was invited .",39
""" it is much better both for you and for me to stop where we are , "" answered the wounded man . "" corbleu -- i am more your friend than you think -- for after our very first encounter , i could by saying a word to the cardinal have had your throat cut ! """,30
"the matter was all explained to him , and the friends gave him to understand that among all his high connections he must find a place for kitty .",10
""" this is lord henry wotton , dorian , an old oxford friend of mine . i have just been telling him what a capital sitter you were , and now you have spoiled everything . """,12
"the painter laughed . "" i do n't think there will be any difficulty about that . sit down again , harry . and now , dorian , get up on the platform , and do n't move about too much , or pay any attention to what lord henry says . he has a very bad influence over all his friends , with the single exception of myself . """,61
""" it 's absurd ! "" cried stuart , who was beginning to be annoyed at the persistency of his friend . "" come , let 's go on with the game . """,20
"he hoped , by means of loyal excuses , to make a friend of athos , whose lordly air and austere bearing pleased him much .",12
""" monsieur , "" said athos , "" i have engaged two of my friends as seconds ; but these two friends are not yet come , at which i am astonished , as it is not at all their custom . """,14
"thus encouraged , our scientific friend drew his papers from his pocket , and presented the whole case as he had done upon the morning before . sir henry baskerville listened with the deepest attention , and with an occasional exclamation of surprise .",5
""" friend , "" said athos , gravely , "" remember that it is the dead alone with whom we are not likely to meet again on this earth .",1
"turning towards athos and his friends , "" gentlemen , "" said he , "" allow me to correct your words , if you please .",5
""" but ned my friend , "" conseil answered , "" if it were n't an underwater passageway , the nautilus could n't enter it ! """,4
""" since that time many things have happened to you . you were walking one day behind the chartreux , when it would have been better if you had been elsewhere . then you took with your friends a journey to the waters of forges ; they stopped on the road , but you continued yours .",37
""" yes , of friends , "" i answered rather hesitatingly : for i knew i meant more than friends , but could not tell what other word to employ .",4
""" yes , of friends , "" i answered rather hesitatingly : for i knew i meant more than friends , but could not tell what other word to employ .",19
""" he gave me his hand , and called me his friend . his friend !",11
""" he gave me his hand , and called me his friend . his friend !",14
""" ah , my poor friends ! "" murmured d’artagnan ; "" where are you ? and that you should fail me ! """,5
"iceland ! but what next ? the day for our departure arrived . the day before it our kind friend m. thomsen brought us letters of introduction to count trampe , the governor of iceland , m. picturssen , the bishop 's suffragan , and m. finsen , mayor of rejkiavik . my uncle expressed his gratitude by tremendous compressions of both his hands .",19
""" truth , my friend .",4
""" let us give it the name of a great citizen , my friend ; of him who now struggles to defend the unity of the american republic !",13
""" no , no , "" said i. "" only a humble commoner , but his friend . my name is dr . watson . """,16
""" we came here on business , "" said stamford , sitting down on a high three - legged stool , and pushing another one in my direction with his foot . "" my friend here wants to take diggings , and as you were complaining that you could get no one to go halves with you , i thought that i had better bring you together . """,34
""" oh , very well , "" answered m. fridrikssen , who was kind enough not to pursue the subject when he had noticed the embarrassment of his friend . "" i hope you will not leave our island until you have seen some of its mineralogical wealth . """,28
""" that ’s well said , "" cried the king , who had heard all these compliments through the open door ; "" only tell him , treville , since he wishes to be considered your friend , that i also wish to be one of his , but he neglects me ; that it is nearly three years since i have seen him , and that i never do see him unless i send for him .",36
""" my dear harry , my dear basil , you must both congratulate me ! "" said the lad , throwing off his evening cape with its satin - lined wings and shaking each of his friends by the hand in turn . "" i have never been so happy . of course , it is sudden-- all really delightful things are . and yet it seems to me to be the one thing i have been looking for all my life . "" he was flushed with excitement and pleasure , and looked extraordinarily handsome .",36
""" but , my dear friend , put yourself in my place , "" replied the musketeer . "" i was hipped to death ; and still further , upon my honor , i do n’t like english horses .",5
""" to tell the truth , friend land , i know little more about it than you do . """,6
""" look you , my friends ! "" cried d’artagnan , "" a horrible suspicion crosses my mind ! can this be another vengeance of that woman ? """,5
""" except that ! "" my friend answered , pointing at the pathway . "" if a herd of buffaloes had passed along there could not be a greater mess . no doubt , however , you had drawn your own conclusions , gregson , before you permitted this . """,6
""" now he is gone , it is your turn to get out , "" said mme . bonacieux . "" courage , my friend , but above all , prudence , and think what you owe to the queen . """,24
"but m. de treville had always been so thoroughly his friend , had always been so devoted to the king and queen , and hated the cardinal so cordially , that the young man resolved to tell him everything .",10
"felton , my brother , my friend , i conjure you ! """,6
""" madame bonacieux ! ah , that ’s true ! "" said athos . "" my poor friend , i had forgotten you were in love . """,17
""" now that i know everything , my friend ! ah ! that 's very good . but go on , go on . first , though , let me tell you that those gentlemen have put themselves to a useless expense . """,8
"top and jup were good friends and played willingly together , but jup did everything solemnly .",5
"this time aramis was not angry , but assumed the most modest air and replied in a friendly tone , "" my dear friend , do not forget that i wish to belong to the church , and that i avoid all mundane opportunities .",23
""" a musketeer for a time , my friend , as the cardinal says , a musketeer against my will , but a churchman at heart , believe me .",8
"as to the rest , the life of the four young friends was joyous enough . athos played , and that as a rule unfortunately .",11
""" i know you , gentlemen , "" said the cardinal , "" i know you . i know you are not quite my friends , and i am sorry you are not so ; but i know you are brave and loyal gentlemen , and that confidence may be placed in you .",24
"monsieur athos , do me , then , the honor to accompany me ; you and your two friends , and then i shall have an escort to excite envy in his majesty , if we should meet him . """,18
"then the inconvenience became distress . the hungry friends , followed by their lackeys , were seen haunting the quays and guard rooms , picking up among their friends abroad all the dinners they could meet with ; for according to the advice of aramis , it was prudent to sow repasts right and left in prosperity , in order to reap a few in time of need .",8
"porthos had six occasions , and contrived in the same manner that his friends should partake of them ; aramis had eight of them .",13
""" old woman be damned ! "" said sherlock holmes , sharply . "" we were the old women to be so taken in . it must have been a young man , and an active one , too , besides being an incomparable actor . the get - up was inimitable . he saw that he was followed , no doubt , and used this means of giving me the slip . it shows that the man we are after is not as lonely as i imagined he was , but has friends who are ready to risk something for him . now , doctor , you are looking done - up . take my advice and turn in . """,93
"athos went close to it , and distinguished some words that appeared to merit so great an interest that he made a sign to his friends to be silent , remaining himself bent with his ear directed to the opening of the lower orifice .",25
""" there were several gentlemen who knew my sad history and united to help me . one was mr . stapleton , a neighbour and intimate friend of sir charles 's . he was exceedingly kind , and it was through him that sir charles learned about my affairs . """,26
"how could i possibly prefer the spoilt pet of a wealthy family , who would hate her governess as a nuisance , to a lonely little orphan , who leans towards her as a friend ? """,34
"there were moments , indeed , at night , when , lying sleepless in his own delicately scented chamber , or in the sordid room of the little ill - famed tavern near the docks which , under an assumed name and in disguise , it was his habit to frequent , he would think of the ruin he had brought upon his soul with a pity that was all the more poignant because it was purely selfish . but moments such as these were rare . that curiosity about life which lord henry had first stirred in him , as they sat together in the garden of their friend , seemed to increase with gratification . the more he knew , the more he desired to know . he had mad hungers that grew more ravenous as he fed them .",109
"why is it , dorian , that a man like the duke of berwick leaves the room of a club when you enter it ? why is it that so many gentlemen in london will neither go to your house or invite you to theirs ? you used to be a friend of lord staveley . i met him at dinner last week . your name happened to come up in conversation , in connection with the miniatures you have lent to the exhibition at the dudley . staveley curled his lip and said that you might have the most artistic tastes , but that you were a man whom no pure - minded girl should be allowed to know , and whom no chaste woman should sit in the same room with . i reminded him that i was a friend of yours , and asked him what he meant . he told me . he told me right out before everybody . it was horrible !",51
"why is it , dorian , that a man like the duke of berwick leaves the room of a club when you enter it ? why is it that so many gentlemen in london will neither go to your house or invite you to theirs ? you used to be a friend of lord staveley . i met him at dinner last week . your name happened to come up in conversation , in connection with the miniatures you have lent to the exhibition at the dudley . staveley curled his lip and said that you might have the most artistic tastes , but that you were a man whom no pure - minded girl should be allowed to know , and whom no chaste woman should sit in the same room with . i reminded him that i was a friend of yours , and asked him what he meant . he told me . he told me right out before everybody . it was horrible !",141
""" seeing you constantly surrounded by musketeers of a very superb appearance , and knowing that these musketeers belong to monsieur de treville , and were consequently enemies of the cardinal , i thought that you and your friends , while rendering justice to your poor queen , would be pleased to play his eminence an ill turn . """,38
""" you wanted to see something , ned my friend ; well , now you have something to see ! """,9
""" true . well , if i ca n't take you as a servant , i can as a clown . you see , my friend , in france they exhibit foreign clowns , and in foreign parts french clowns . """,25
"at the name of lord de winter , who was known to be one of his grace ’s most intimate friends , the officer of the post gave orders to let felton pass , who , besides , wore the uniform of a naval officer .",20
"possibly the canadian was familiar with this distinction , but conseil knew far more about it ; and since he and ned were now fast friends , he just had to show off . so he told the harpooner :",25
""" ned my friend , you 're a slayer of fish , a highly skilled fisherman . you 've caught a large number of these fascinating animals . but i 'll bet you do n't know how they 're classified . """,3
""" years ago , when i was a boy , "" said dorian gray , crushing the flower in his hand , "" you met me , flattered me , and taught me to be vain of my good looks . one day you introduced me to a friend of yours , who explained to me the wonder of youth , and you finished a portrait of me that revealed to me the wonder of beauty . in a mad moment that , even now , i do n't know whether i regret or not , i made a wish , perhaps you would call it a prayer . . . . """,48
""" ah , conseil my friend , you saved the best for last , in my opinion anyhow ! and that 's all of ' em ? """,5
""" all right , conseil my friend , "" the harpooner said , leaning toward the glass panel , "" here come a couple of your varieties now ! """,6
""" well , conseil my friend , identify them ! start naming them ! "" ned land exclaimed .",5
""" many people , ned my friend , "" i said .",6
""" you ! well , i do n't see that it would make much matter to you , anyhow . you ai n't even a friend of ours . """,25
""" there , i did n't mean that , "" she said ; "" of course , you are a friend now . you must come and see us . now i must push along , or father wo n't trust me with his business any more . good - bye ! """,20
""" and where do you live ? where are your friends ? """,10
