text,ind
"before i could reply , white smoke streamed from the battleship 's bow . then , a few seconds later , the waters splashed astern of the nautilus , disturbed by the fall of a heavy object . soon after , an explosion struck my ears .",35
"passing near these unusual animals , i could examine them at my leisure since they did n't stir . their hides were rough and heavy , a tan color leaning toward a reddish brown ; their coats were short and less than abundant . some were four meters long . more tranquil and less fearful than their northern relatives , they posted no sentinels on guard duty at the approaches to their campsite .",24
""" professor , "" captain nemo then told me , "" there are pearl fisheries in the bay of bengal , the seas of the east indies , the seas of china and japan , plus those seas south of the united states , the gulf of panama and the gulf of california ; but it 's off ceylon that such fishing reaps its richest rewards . no doubt we 'll be arriving a little early . fishermen gather in the gulf of mannar only during the month of march , and for thirty days some 300 boats concentrate on the lucrative harvest of these treasures from the sea . each boat is manned by ten oarsmen and ten fishermen . the latter divide into two groups , dive in rotation , and descend to a depth of twelve meters with the help of a heavy stone clutched between their feet and attached by a rope to their boat . """,145
"a few moments afterwards the footlights flared up and the curtain rose on the third act . dorian gray went back to his seat . he looked pale , and proud , and indifferent . the play dragged on , and seemed interminable . half of the audience went out , tramping in heavy boots and laughing . the whole thing was a fiasco . the last act was played to almost empty benches . the curtain went down on a titter and some groans .",53
no light could pierce through the heavy piles of clouds on the horizon .,6
"so i had to resign myself to my fate and get ready to escape . my baggage was n't heavy . my notes , nothing more .",19
"as the dawn was just breaking , he found himself close to covent garden . the darkness lifted , and , flushed with faint fires , the sky hollowed itself into a perfect pearl . huge carts filled with nodding lilies rumbled slowly down the polished empty street . the air was heavy with the perfume of the flowers , and their beauty seemed to bring him an anodyne for his pain . he followed into the market and watched the men unloading their waggons . a white - smocked carter offered him some cherries . he thanked him , wondered why he refused to accept any money for them , and began to eat them listlessly . they had been plucked at midnight , and the coldness of the moon had entered into them .",52
"a long line of boys carrying crates of striped tulips , and of yellow and red roses , defiled in front of him , threading their way through the huge , jade - green piles of vegetables . under the portico , with its grey , sun - bleached pillars , loitered a troop of draggled bareheaded girls , waiting for the auction to be over . others crowded round the swinging doors of the coffee - house in the piazza . the heavy cart - horses slipped and stamped upon the rough stones , shaking their bells and trappings . some of the drivers were lying asleep on a pile of sacks . iris - necked and pink - footed , the pigeons ran about picking up seeds .",83
"i was left alone . but how was it possible for a man of my undecided turn of mind to argue successfully with so irascible a person as the professor ? with this persuasion i was hurrying away to my own little retreat upstairs , when the street door creaked upon its hinges ; heavy feet made the whole flight of stairs to shake ; and the master of the house , passing rapidly through the dining - room , threw himself in haste into his own sanctum . but on his rapid way he had found time to fling his hazel stick into a corner , his rough broadbrim upon the table , and these few emphatic words at his nephew :",54
"the voyagers , clinging to the net , were still too heavy for it , and soon , half plunged into the sea , they were beaten by the furious waves .",11
