text,sense,label,ind,new_label
""" i say , sir , you sir , who are hiding yourself behind that shutter -- yes , you , sir , tell me what you are laughing at , and we will laugh together ! ""","('hide', 'cacher', 'ocultar')",0,11,0
"the honest sailor did not hide his regret at being reduced for dinner to the singing pheasants , but fortune once more showed itself obliging to him .","('hide', 'cacher', 'ocultar')",0,5,0
"i stayed in my stateroom . i wanted to avoid the captain , to hide from his eyes the agitation overwhelming me . what an agonizing day i spent , torn between my desire to regain my free will and my regret at abandoning this marvelous nautilus , leaving my underwater research incomplete ! how could i relinquish this ocean--""my own atlantic , "" as i liked to call it -- without observing its lower strata , without wresting from it the kinds of secrets that had been revealed to me by the seas of the east indies and the pacific ! i was putting down my novel half read , i was waking up as my dream neared its climax ! how painfully the hours passed , as i sometimes envisioned myself safe on shore with my companions , or , despite my better judgment , as i sometimes wished that some unforeseen circumstances would prevent ned land from carrying out his plans .","('hide', 'cacher', 'ocultar')",0,14,0
""" no doubt , "" i ventured to reply , "" but what interest would he have in thus hiding so marvellous a discovery ? ""","('hide', 'cacher', 'ocultar')",0,19,0
"however , as the bank of trees hid the shore , it was possible that a vessel , especially if deprived of her masts , might lie close to the land and thus be invisible to herbert .","('hide', 'cacher', 'ocultar')",0,7,0
""" look here , "" said neb , who wished to hide his ill - luck , "" we wo n't speak about it . ""","('hide', 'cacher', 'ocultar')",0,11,0
"the boat then skirted the shore , which , extending to the extreme point , hid all tadorn 's fens .","('hide', 'cacher', 'ocultar')",0,15,0
"' speak english ! ' said the eaglet . ' i do n't know the meaning of half those long words , and , what 's more , i do n't believe you do either ! ' and the eaglet bent down its head to hide a smile : some of the other birds tittered audibly .","('hide', 'cacher', 'ocultar')",0,45,0
""" yes , yes ; now it is all clear , now it is all unravelled ; and i see why saknussemm , put into the index expurgatorius , and compelled to hide the discoveries made by his genius , was obliged to bury in an incomprehensible cryptogram the secret-- ""","('hide', 'cacher', 'ocultar')",0,32,0
"however that may be , we ought to do everything we can to hide our presence here .","('hide', 'cacher', 'ocultar')",0,13,0
